,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,0.059261288065883586,-84.2208080825364,-90.241407995816,6.020599913279611,0.005,0.9718470148229112,-96.51839375291779,-113.9835306687238,17.465136915806013,0.005,0.37971624740075643,-93.10181187091894,-108.49371955828035,15.39190768736141,0.005,0.024558564271973046,-91.35530281735424,-100.50656047572474,9.151257658370497
1.0,0.01,0.9996892652760939,-21.588434570949666,-40.612555656344355,19.02412108539469,0.005,0.9999386466268737,-41.05084068064561,-59.37946345040034,18.32862276975473,0.005,0.9997615528033871,-26.900803150196907,-42.61086295110267,15.71005980090576,0.005,0.9996477629508344,-26.488661945571877,-62.858721838344024,36.37005989277215
2.0,0.0225,0.999799472154557,-12.722828107597186,-28.401038727058307,15.67821061946112,0.01,0.9999736096272214,-21.414939213268468,-35.93618277278673,14.521243559518261,0.0125,0.9997806943518306,-18.451180720379593,-30.177813567130816,11.726632846751222,0.015,0.9994272519347694,-18.592518105905583,-57.2167009929202,38.62418288701462
3.0,0.01,0.9998088435604643,-20.18467508008111,-35.38690506502828,15.20222998494717,0.01,0.9998801429733755,-23.899205478338004,-38.00514473727316,14.105939258935159,0.01,0.9998651542184934,-20.75945681065575,-25.535483997327916,4.776027186672167,0.005,0.9937479333003775,-44.09024714911663,-61.49738606751062,17.40713891839399
4.0,0.01,0.9996967692465698,-21.559614989984862,-31.282935640880307,9.723320650895445,0.005,0.9993833603476819,-28.64116112348797,-83.3082974916147,54.66713636812673,0.01,0.9998794103588139,-25.076268432155256,-68.20216845856976,43.1259000264145,0.005,0.9962144604545936,-52.77419906290551,-93.52094794371737,40.746748880811865
5.0,0.01,0.9999117331498228,-21.82909246784358,-30.705241023630844,8.876148555787264,0.005,0.9997837097251485,-28.757024216870978,-50.274987366289366,21.51796314941839,0.0075,0.9999337656726872,-25.06659511389951,-27.435017966679943,2.3684228527804336,0.005,0.9958265445551322,-56.95575334039748,-78.74575452120355,21.790001180806073
6.0,0.0075,0.999833601720756,-23.025754672885213,-32.95118657676213,9.92543190387692,0.005,0.9997569445587575,-29.71118737075703,-32.19914377693076,2.48795640617373,0.0075,0.9999537755493183,-25.476236157688966,-37.402235367860996,11.92599921017203,0.005,0.9959450351480785,-59.64132527068574,-87.64504047192148,28.003715201235735
7.0,0.0075,0.9998075165295193,-24.24690502759772,-39.18804398438604,14.941138956788322,0.005,0.9993245384843312,-32.22351326798757,-36.48222633706682,4.258713069079249,0.005,0.9999492870616105,-26.658894435055778,-43.18392804765959,16.525033612603814,0.005,0.9991874010900043,-43.58945652251136,-75.12732338947858,31.537866866967214
8.0,0.0075,0.9999145725691213,-24.716768626349136,-38.397872774324384,13.681104147975248,0.005,0.9999558543514162,-30.241555650089435,-64.16378757878643,33.92223192869699,0.005,0.9998927958903733,-29.765846583769793,-48.55186937134899,18.7860227875792,0.005,0.9984913204890645,-39.131867012484854,-58.568847246348184,19.43698023386333
9.0,0.005,0.9998639265082511,-29.257047190156662,-50.87174915730668,21.61470196715002,0.005,0.99990778335512,-34.031871445725926,-50.96097898948209,16.929107543756167,0.005,0.9999170768390033,-32.476378452835135,-45.74857672030163,13.272198267466493,0.005,0.9982852502688897,-51.874099728114906,-68.02479983310789,16.150700104992985
10.0,0.005,0.9995334427470032,-30.488082917148365,-38.64573610673929,8.157653189590928,0.005,0.9991584997597991,-35.084938375719105,-50.40318007348794,15.318241697768833,0.005,0.9997177570869866,-35.89135950986899,-45.58395062451972,9.692591114650732,0.005,0.9951895496839914,-64.42318101540225,-78.55202806066981,14.128847045267563
11.0,0.005,0.9997518389135007,-32.41065878433373,-39.06723683491045,6.6565780505767265,0.005,0.99975476856045,-36.36728799533315,-40.72198545149096,4.354697456157808,0.005,0.9998429451682229,-37.06000315552299,-49.32362280979363,12.263619654270641,0.005,0.9934723990771586,-62.74392087156174,-81.19265416367439,18.44873329211265
