,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.9240820875666705,-71.22414851040786,-74.74597369152148,3.521825181113627,0.005,0.9416711626521553,-88.73143969647161,-93.14008565755444,4.408645961082826,0.005,0.11462894838032243,-91.52744473830273,-91.96943258988463,0.44198785158189935,0.005,0.010878938186800965,-87.13025025977223,-95.86446494554038,8.734214685768151
1.0,0.0025,0.9410126387853467,-60.20599913279624,-63.86461280451597,3.658613671719735,0.005,0.9744912883142894,-78.85558139207899,-104.29070781376892,25.43512642168993,0.005,0.06293004529286345,-80.25770484786645,-88.6776119831035,8.419907135237054,0.005,0.1991690031126327,-79.30088319582795,-100.28221878113207,20.981335585304123
2.0,0.0025,0.7874168912575118,-61.68172341601461,-68.72537377824186,7.043650362227247,0.005,0.9236030543999882,-80.84126118246745,-84.74483614380864,3.9035749613411923,0.005,0.06283624789955138,-78.86583384204074,-96.73841227518938,17.872578433148632,0.005,0.13222721141612234,-79.2580468443938,-88.5272045634041,9.269157719010295
3.0,0.0275,0.9723974498306112,-10.669909809794886,-11.850339568090124,1.1804297582952383,0.0075,0.9824564463897191,-21.887088057125126,-21.9185351654888,0.03144710836367537,0.0175,0.9060775349773783,-15.478923886594922,-19.584319322021074,4.105395435426152,0.005,0.5995594776677384,-44.506773131482824,-66.77089097721061,22.26411784572779
4.0,0.035,0.9931632524349753,-9.269749703533417,-23.440826823117206,14.171077119583789,0.035,0.9987625306292722,-9.547919328500482,-19.02860976084386,9.480690432343378,0.0225,0.968040820574952,-13.22926871017425,-42.00077443429612,28.77150572412187,0.005,0.0419696619824104,-51.215715200716176,-73.36818545909081,22.152470258374635
5.0,0.0125,0.991257236792172,-16.61568141867714,-22.58258722131343,5.9669058026362904,0.015,0.9976291827444563,-16.780076701049968,-27.84727354795421,11.067196846904242,0.005,0.7867282983415369,-28.718439035562238,-41.81508861209686,13.09664957653462,0.005,0.6924659966205144,-51.12033385154176,-64.71602519438662,13.595691342844859
6.0,0.01,0.9896417194851398,-22.586156520577987,-29.9266728902529,7.340516369674912,0.01,0.9970046963372742,-24.95136187968391,-26.212943285281696,1.2615814055977879,0.005,0.9225292177523119,-29.90110178224534,-37.832654671840885,7.931552889595544,0.005,0.22699936785065813,-50.605418232038545,-64.12953653110296,13.524118299064412
7.0,0.0075,0.9743879267833165,-24.530606585959823,-39.80810255845745,15.277495972497626,0.005,0.9976542691931064,-26.242401539574203,-50.30000116879169,24.057599629217485,0.005,0.9636592743066204,-29.97771788767404,-76.90097555367646,46.92325766600242,0.005,-0.01769899835908482,-54.06260877872413,-62.85429549184093,8.791686713116796
8.0,0.005,0.9877613938670854,-28.25346640152553,-32.959648942013324,4.706182540487795,0.005,0.9625479352974913,-45.54507137220731,-57.27058742974585,11.725516057538542,0.005,0.9888100361721676,-27.56499683254146,-27.56499683254146,0.0,0.005,0.6930348376769143,-56.01752302212382,-80.54930940167498,24.531786379551157
9.0,0.005,0.9889116329345308,-27.380235993478866,-33.16234877056899,5.7821127770901235,0.005,0.9494790617932785,-47.72014597199221,-70.74627578689753,23.026129814905318,0.005,0.9899199535412191,-27.5471172273215,-34.813999985602,7.266882758280502,0.005,0.0225196109386777,-55.36255044653964,-62.18050146045574,6.817951013916094
