,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.3639882939546393,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.6685856135099025,-89.38007657581089,-101.77071368894617,12.390637113135284,0.005,-0.04513179312882286,-85.78449466688872,-88.46411473712253,2.6796200702338098,0.005,-0.17480334696435315,-82.21259787110766,-90.66951036764287,8.45691249653521
1.0,0.035,0.9834943221018934,-8.278181248027375,-20.162677897666086,11.884496649638711,0.0075,0.9998623598665408,-20.14371935355234,-27.436621644904125,7.292902291351787,0.025,0.9829622633066757,-11.100587260176901,-17.38551921278262,6.284931952605717,0.0175,0.953192947587083,-15.978653874175603,-30.088371690825447,14.109717816649844
2.0,0.0475,0.8095079802245082,-6.86219522669809,-32.88922242398285,26.02702719728476,0.0175,0.9942528529699269,-16.183175875812967,-18.3446422082671,2.1614663324541326,0.03,0.6771577362412888,-11.323225035509502,-35.93529256692619,24.612067531416685,0.0225,0.6826696439069615,-13.747344637095056,-19.923380429456966,6.17603579236191
3.0,0.03,0.46409136506147614,-10.476504008514251,-34.63092711373966,24.15442310522541,0.015,0.9894424253611264,-18.361370204089493,-57.229112578618846,38.86774237452936,0.025,0.31969152306126125,-12.287400164957386,-35.18425360664351,22.896853441686122,0.0175,0.2654466497634794,-15.79908725085566,-29.561382458705886,13.762295207850226
4.0,0.0275,0.3411286809953515,-11.481751984959134,-27.78637055395467,16.304618568995537,0.005,0.9250051368703986,-26.278103831949167,-48.72470537144327,22.446601539494104,0.025,0.31089610947143675,-12.117881446657732,-18.80542583786179,6.687544391204058,0.015,0.32364931297284294,-17.46647840669038,-20.702855835305467,3.2363774286150857
5.0,0.0275,0.3357570736832571,-11.944196894766057,-53.16234877056899,41.21815187580293,0.005,0.9285212955207577,-28.829557443615386,-38.68584050485508,9.856283061239694,0.025,0.34392213538063277,-13.720693697974786,-22.78542846292671,9.064734764951924,0.0175,0.08926888230039692,-15.873653524431663,-26.718583489841564,10.8449299654099
6.0,0.0225,-0.09024214619589686,-13.55722993448413,-29.8521864816638,16.29495654717967,0.005,0.23027398044636685,-30.990679985579675,-37.40882799762693,6.418148012047254,0.02,-0.08793905114410933,-14.930444919151062,-24.45673998253533,9.526295063384266,0.01,-0.16520568253867604,-21.18981682565218,-24.982734430617416,3.7929176049652362
7.0,0.0225,-0.030974940486692592,-13.803073410575157,-23.35459435851359,9.551520947938434,0.005,0.6890105422105727,-29.436330364831672,-36.30690723277344,6.870576867941768,0.0225,-0.03708570185104445,-13.940402235799391,-21.656493618040077,7.716091382240686,0.01,-0.14118785303068024,-21.1155346455689,-31.70966102528105,10.59412637971215
8.0,0.02,-0.035680357735351935,-14.859630638128749,-25.46811391180334,10.60848327367459,0.005,0.2976561219528112,-32.74048944602964,-37.17482699340211,4.434337547372465,0.015,-0.016534330898815966,-16.98698538582229,-24.046996520828905,7.060011135006615,0.01,-0.18037116637204192,-21.125289256994932,-32.90630748190447,11.781018224909538
9.0,0.0225,0.10956139781845234,-13.669045154476432,-24.715659818225248,11.046614663748816,0.005,0.8201310425289484,-28.976856181377855,-45.38856104651988,16.411704865142028,0.02,0.12942526432685394,-14.090353458097125,-24.896146220388864,10.80579276229174,0.01,-0.2505647052097675,-21.862218270191505,-40.28225473631337,18.420036466121864
