,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.24903907328014607,-68.03013165305762,-72.24719895935547,4.217067306297849,0.005,0.6889990249906245,-85.38834327840298,-86.7494321425845,1.3610888641815109,0.005,0.17214882667528397,-79.65329712170744,-82.96939050290491,3.3160933811974758,0.005,0.1496751808059086,-73.88319061326222,-93.64132031928571,19.758129706023496
1.0,0.005,0.21160663184712875,-59.18294868384861,-80.76657360480111,21.583624920952502,0.005,0.4218600880439354,-74.45700890824659,-81.38489507792202,6.927886169675432,0.005,0.18585466394895472,-70.26496592490999,-77.89821749121029,7.633251566300302,0.005,0.23265342094136743,-65.84173831032584,-72.79733267890641,6.955594368580577
2.0,0.005,0.3391382870023856,-58.26779887263511,-62.3501985257536,4.082399653118486,0.005,0.4477597361731307,-69.02774153352141,-73.91440818682248,4.886666653301077,0.005,0.3947002674933774,-67.60663621485067,-73.71348661855656,6.1068504037058915,0.005,0.2686745749620916,-64.09736480831982,-72.11407849594175,8.01671368762193
3.0,0.005,0.9905992333873569,-32.601774298564116,-37.24474842368748,4.6429741251233665,0.005,0.9938713056059357,-39.568026271063175,-41.52693596559055,1.958909694527378,0.005,0.9946183647624766,-35.734643869643286,-40.46391608905318,4.729272219409893,0.005,0.9645393439069596,-37.81426745142643,-49.41776524087729,11.603497789450856
4.0,0.005,0.9876022001774956,-31.64938226073039,-40.680146129148255,9.030763868417864,0.005,0.9866486112871411,-40.137874785529135,-57.26434916917605,17.126474383646915,0.005,0.9917266399495689,-33.662333975911494,-62.91458873983804,29.252254763926544,0.005,0.9244674855575713,-42.901166350205315,-65.57152019512826,22.670353844922943
5.0,0.005,0.9028976535299693,-39.42763781218884,-46.33585696010591,6.908219147917066,0.005,0.9442842004095305,-48.14095352369754,-51.53091551761296,3.3899619939154206,0.005,0.9295656329437811,-43.419810931397194,-48.32598832009446,4.906177388697266,0.005,0.7418274467553838,-54.58040661511443,-92.06660443024202,37.486197815127596
6.0,0.005,0.8240271509580132,-39.03937699130614,-42.59687322722811,3.557496235921967,0.005,0.9162434848169888,-49.15386869932317,-86.7081525205564,37.55428382123323,0.005,0.7877851643629465,-40.28065301280341,-59.183546167120944,18.902893154317532,0.005,0.7041598533016352,-51.497661976331784,-65.39824088906585,13.900578912734062
7.0,0.005,0.9639908173533048,-30.92068045211473,-41.74630281861858,10.82562236650385,0.005,0.930490799088596,-44.92042548277504,-46.836863824876254,1.916438342101216,0.005,0.9741122007998315,-33.101605639637015,-37.01493770036577,3.913332060728756,0.005,0.9698692422536401,-38.006897686287466,-49.52956052842333,11.522662842135865
8.0,0.005,0.9853564753782944,-27.70232332929423,-52.92436430457484,25.222040975280606,0.005,0.9905773189925462,-39.595871217792514,-44.23370532534271,4.637834107550198,0.005,0.9869927846098501,-29.579428503147124,-38.77383079546824,9.194402292321119,0.005,0.9669549956871606,-38.26315350516144,-48.03476918028484,9.7716156751234
9.0,0.005,0.9833345935250066,-29.125306346566934,-42.88764145375963,13.762335107192694,0.005,0.9910683888846116,-41.35328070585312,-56.26902841176408,14.91574770591096,0.005,0.9835844628006692,-30.270083021151283,-60.56464865091968,30.294565629768396,0.005,0.9440707159411126,-43.37050402753147,-64.16021662534045,20.789712597808986
10.0,0.005,0.9589981214045924,-30.573564013869458,-39.67942035834925,9.10585634447979,0.005,0.9518357767190834,-43.876946868488254,-53.28765537668171,9.410708508193458,0.005,0.9665538915173133,-31.576184898777,-64.61221007910757,33.03602518033057,0.005,0.8605443626736694,-46.18488948943625,-59.547944275642436,13.363054786206185
11.0,0.025,-0.07700418227197517,-12.051809195947259,-13.993460293227102,1.941651097279843,0.0075,0.08395843228220981,-23.57239972413351,-30.29524181902265,6.722842094889138,0.02,-0.005005177262038188,-14.186958311705109,-15.812493495335733,1.6255351836306247,0.0075,0.042277769556061454,-21.05859106430266,-44.2012234431746,23.142632378871937
12.0,0.03,0.5437903670108624,-10.698023911998945,-43.989591790056004,33.29156787805706,0.0175,0.7609987907850969,-16.450000309245908,-18.319791152251117,1.8697908430052088,0.0225,0.2095195929863346,-12.44344036479372,-31.40207059798234,18.95863023318862,0.01,0.1484451491423016,-22.259992385953304,-37.93426545682725,15.674273070873944
13.0,0.02,0.48398916442447265,-15.257275124386172,-28.783473591110003,13.52619846672383,0.0125,0.6971991679336789,-18.34590757652515,-44.23708648419414,25.891178907668987,0.015,0.4026881003239351,-18.399986869774573,-20.485978309012943,2.08599143923837,0.0075,0.05372414193258904,-24.998702011940473,-43.870011432122155,18.87130942018168
14.0,0.015,0.26108013954422604,-17.621468817427,-21.824437285274758,4.202968467847757,0.005,-0.0008897555743131494,-30.39336496510022,-33.07511688788432,2.681751922784102,0.015,0.3660205049461532,-19.054950511358065,-19.689530521082123,0.6345800097240577,0.005,0.11437143771313797,-29.162428161886375,-44.83333220001721,15.670904038130836
15.0,0.0175,0.08907092616077572,-16.138881080089618,-25.75640570777418,9.617524627684563,0.005,-0.4237701612332705,-26.2200489089016,-30.977726324453133,4.757677415551534,0.015,0.46861076194817425,-18.974775721958846,-39.50400268244679,20.529226960487943,0.005,0.04725981629076814,-28.95991943817359,-36.74458223146514,7.784662793291549
16.0,0.015,0.3245404012181574,-16.510396618829997,-23.523946018540368,7.013549399710371,0.005,-0.41305277362961607,-26.49809323718634,-34.46771652966235,7.969623292476008,0.015,0.46397174784415757,-18.660182936218824,-19.515418912684236,0.855235976465412,0.005,0.0848024655697026,-31.085098981989965,-44.09775012057024,13.012651138580274
17.0,0.0175,0.33866955776230606,-16.23801273442975,-37.20623000296671,20.968217268536964,0.005,-0.04129881318326097,-27.0599208529634,-49.93426104492439,22.87434019196099,0.015,0.43065609513971304,-16.703014333388246,-34.73957477664011,18.036560443251865,0.005,0.02375767663910643,-33.812375394657934,-50.07002137699025,16.257645982332313
18.0,0.0175,0.409638856585414,-16.43270162140602,-31.844118326588827,15.411416705182805,0.005,0.36251300828747546,-30.23050397394019,-40.76244209867547,10.53193812473528,0.0175,0.4815275058373266,-16.400740941545756,-33.87337475533134,17.472633813785585,0.005,0.058475821523247595,-32.28485582509079,-55.367378375705165,23.082522550614378
