,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.06411677756189982,-84.26849562378021,-84.26849562378021,0.0,0.005,0.9300855393887876,-98.38312955578736,-99.22659086844747,0.8434613126601107,0.005,0.24660727271744845,-95.11234853628585,-99.14217893942049,4.029830403134639,0.005,0.054155691808586016,-89.48238874604507,-109.45167514207839,19.96928639603331
1.0,0.005,0.12804310577223238,-53.63891703986009,-62.6848707028277,9.045953662967612,0.005,-0.3582513549000742,-71.71915480720503,-77.05680127479553,5.337646467590503,0.005,0.20308516377560015,-66.6213846209143,-83.960577606924,17.339192986009706,0.005,0.22811640987523243,-60.515347215589436,-60.515347215589436,0.0
2.0,0.03,-0.23284447578278833,-10.736452189503181,-29.750262698251596,19.013810508748413,0.01,-0.09807884042922939,-21.136075751264475,-22.812287521397106,1.6762117701326318,0.0175,-0.13081041037528118,-15.538814489701018,-24.340551743163488,8.80173725346247,0.015,-0.07791762589216063,-16.559460838631107,-30.269634975632766,13.710174137001658
3.0,0.045,-0.14394402965639322,-6.656224889883004,-16.59757413699303,9.941349247110026,0.0175,-0.08556943309351364,-15.807279995907578,-30.083926457836256,14.276646461928678,0.035,-0.22969615377742494,-9.655147213041298,-20.81724453462011,11.16209732157881,0.015,-0.045724625634407184,-16.48704378474359,-30.015908251740832,13.528864466997241
4.0,0.035,0.10550891084302325,-9.23367835395639,-19.378005062926068,10.144326708969677,0.0125,0.40695847820187553,-18.973328506703986,-39.77619132039261,20.802862813688627,0.0275,-0.011305099927982072,-10.87501654155081,-20.076967506586996,9.201950965036186,0.015,-0.13026915942218897,-18.64086638012463,-39.598766366666034,20.957899986541403
5.0,0.03,0.25715659362054766,-10.690847692177615,-27.7405202727692,17.049672580591583,0.01,0.7154003146592361,-20.55940558912344,-33.69567416445753,13.136268575334089,0.0275,0.14489258806788552,-11.677308350423035,-26.932268059506434,15.2549597090834,0.0125,0.0022751180946193566,-18.5772009582962,-23.245095892967306,4.667894934671107
6.0,0.0275,0.35494813948196097,-11.984265816460626,-27.68241978148069,15.698153965020063,0.01,0.8749064730030773,-21.7158595073168,-26.94367805123362,5.227818543916818,0.02,0.28302279360492577,-14.469038062778324,-34.38676771690665,19.917729654128323,0.0125,0.035589373180375236,-19.983583218059866,-44.275023245421835,24.29144002736197
7.0,0.0225,0.545960790120727,-12.311302510843223,-30.185485270651114,17.87418275980789,0.01,0.9458854536560515,-22.148956192202405,-33.523904936419825,11.37494874421742,0.02,0.4673338282815504,-15.025276843103438,-30.852908800854163,15.827631957750725,0.01,0.06818570767019731,-21.7359196586381,-31.721014103840098,9.985094445201998
8.0,0.0225,0.6203141285299458,-13.394582678634597,-35.30983803939795,21.915255360763354,0.01,0.9139187938361314,-22.89246639431362,-24.058274416536772,1.1658080222231533,0.0175,0.5459801637569611,-15.76117176065143,-28.73103851393802,12.96986675328659,0.01,0.09679373569229655,-22.877747679524177,-37.988410886101924,15.110663206577748
9.0,0.02,0.6085187982672864,-14.646812487157277,-50.55366063873105,35.906848151573776,0.01,0.8992149050553065,-23.346968565208254,-28.567743316316697,5.2207747511084435,0.0175,0.5368320407346543,-16.016424034307374,-47.52628245874156,31.50985842443419,0.01,0.11127489792517788,-25.274111458405606,-48.045644976809086,22.77153351840348
10.0,0.015,0.636335916295082,-16.563521682984614,-26.984209096464742,10.420687413480128,0.01,0.9192937188511991,-25.356340084156823,-30.48216490702742,5.125824822870598,0.015,0.5970444482519438,-16.71315553812235,-32.68462329658349,15.971467758461138,0.005,0.012688935895550202,-26.14426485375276,-41.24752954906146,15.103264695308702
11.0,0.015,0.6270540321552495,-16.595778340247232,-21.999656275565606,5.4038779353183735,0.01,0.9339420326111664,-25.646942717433276,-35.72052233578582,10.073579618352547,0.015,0.588893039993343,-17.064338210421184,-25.850927359462826,8.786589149041642,0.01,0.017019913174198167,-25.36583178289583,-32.08779150739682,6.721959724500991
12.0,0.015,0.5822374780417617,-16.667890810836013,-24.506238882117305,7.838348071281292,0.005,0.9088559885297526,-26.67723572031449,-36.33408824888917,9.656852528574678,0.015,0.5452864463194453,-17.439892186221243,-38.232593514611764,20.79270132839052,0.005,0.0252143441077577,-26.61639102349918,-48.79813187955462,22.181740856055438
13.0,0.0175,0.5540281213339393,-15.748035646204556,-57.03393908309249,41.285903436887935,0.005,0.8998939629354836,-27.22833055666073,-49.17134072063868,21.943010163977952,0.0125,0.4952439105652614,-18.554741251641527,-29.24942784873345,10.694686597091923,0.005,0.2049385115399471,-29.00738170440155,-32.6539002176101,3.6465185132085516
14.0,0.015,0.5690062339163212,-17.97009423778527,-25.22718394236317,7.257089704577901,0.005,0.8914114422095542,-27.39412677741975,-40.01861499054725,12.6244882131275,0.0125,0.5028130882512651,-18.220921596549296,-29.669126395771777,11.44820479922248,0.005,0.14036026366266113,-29.007146071026035,-31.47024010904817,2.4630940380221347
15.0,0.015,0.5539569114935736,-18.18946275712715,-46.48246181359256,28.29299905646541,0.005,0.8659872937059201,-28.102641173364628,-50.34863806562936,22.24599689226473,0.015,0.5011667866534758,-18.93125825998666,-36.90998361436725,17.97872535438059,0.005,0.11783881483407543,-30.644377675482048,-50.173984924393366,19.52960724891132
16.0,0.015,0.5356401259544895,-17.300450937912338,-47.87761728860423,30.57716635069189,0.005,0.8547473345493396,-28.36826416015667,-45.560569642220855,17.192305482064185,0.0125,0.4620589764958517,-18.271600594170025,-27.27511476913729,9.003514174967265,0.005,0.21120574483170396,-30.31061956356058,-47.86734163322485,17.556722069664268
