,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.20370868881206508,-63.074441978842486,-74.74597369152148,11.671531712678998,0.005,0.39209676819829986,-79.13598094415553,-84.02831336046066,4.892332416305123,0.005,0.28955879682362246,-74.3568826100159,-88.80464199380894,14.447759383793041,0.005,0.25210898936238685,-71.95231755792679,-79.11130420970699,7.1589866517801966
1.0,0.005,0.14753345522315006,-59.67942035834925,-78.2677988726351,18.58837851428585,0.005,0.11876769678345234,-71.23965516091401,-85.2325730319585,13.992917871044483,0.005,0.21536703257133494,-67.48749002135986,-69.85575954766315,2.368269526303294,0.005,0.17281312246663322,-65.72734674303861,-81.0592031656286,15.331856422589993
2.0,0.095,0.9796552412310467,0.0,-16.05937194315598,16.05937194315598,0.0075,0.9911547140279298,-25.339263237299946,-27.828454393986707,2.4891911566867613,0.085,0.9812055998747328,-0.6583418731379754,-16.509726373021447,15.851384499883471,0.0525,0.973014362357495,-5.03392314605161,-16.751455061218696,11.717531915167086
3.0,0.0725,0.9706034743838007,-2.8570176792868174,-13.250863523255285,10.393845843968467,0.005,0.9816665479942867,-26.674633256464176,-52.34603206028602,25.671398803821845,0.065,0.973802605834875,-3.390834058121489,-23.47047971068912,20.07964565256763,0.0375,0.9529656263060424,-9.005175697557231,-23.911122365515812,14.905946667958581
4.0,0.045,0.9622808511587176,-7.3814760376865625,-15.968910558383415,8.587434520696853,0.005,0.3367820253620001,-47.20625582026134,-51.34670492514201,4.140449104880666,0.035,0.9697937602475355,-10.029573066907378,-17.060925250405774,7.031352183498395,0.025,0.9327617659497335,-13.013527160109712,-31.143443156634202,18.12991599652449
5.0,0.03,0.9563100119747971,-10.786586333198047,-29.24742982952596,18.46084349632791,0.005,0.8086762471454818,-48.25546510933843,-60.28071023245117,12.02524512311274,0.0225,0.9633227303604585,-13.452138861798842,-37.094397994621566,23.642259132822723,0.02,0.92764521442106,-15.76919484255323,-27.154182427489268,11.384987584936038
6.0,0.02,0.943402491585251,-14.105693008331366,-37.14877076605211,23.043077757720745,0.005,0.9460004056735303,-51.16347060552644,-79.38943377450788,28.225963168981437,0.02,0.9529648561685072,-15.13057139104439,-31.626595805402417,16.496024414358025,0.01,0.9197608243500099,-20.75833277268962,-34.5013019654717,13.742969192782077
7.0,0.015,0.9394363135051507,-17.718768015185294,-27.676625412211845,9.957857397026551,0.005,0.5744376613132625,-59.28951502924491,-75.55405809982369,16.26454307057878,0.01,0.9458880435504781,-20.67961608624751,-26.490406924613236,5.810790838365726,0.01,0.912237449250166,-24.977406451813835,-37.815454304144595,12.83804785233076
8.0,0.01,0.9445104073458891,-21.049066458633234,-40.4537909186576,19.40472446002437,0.005,0.8570070405695874,-56.48452925177132,-60.79435600552885,4.309826753757527,0.01,0.9539085115618047,-22.78484687475903,-32.75461544748484,9.969768572725808,0.0075,0.9052336778286794,-25.978401533942517,-41.805466485442935,15.827064951500418
9.0,0.01,0.9702488751551459,-21.4187345725135,-38.7821716950785,17.363437122565003,0.005,0.8407554203086629,-59.058888871237784,-66.68408562503664,7.6251967537988605,0.005,0.9795568579533782,-26.626180431958577,-38.03674269917886,11.410562267220282,0.005,0.9437103537486285,-26.997837258933615,-43.80842488874045,16.810587629806832
10.0,0.01,0.9757952500469895,-24.97966079038953,-33.519437751710385,8.539776961320854,0.005,0.8632616999884757,-60.2305901043884,-70.05866566855603,9.828075564167634,0.005,0.9838158161814679,-27.85325096259241,-56.176586770168264,28.323335807575855,0.005,0.960587768136011,-30.595175768004495,-48.844218283767695,18.2490425157632
11.0,0.005,0.9720387074132352,-28.308484097037105,-64.73392668013777,36.42544258310066,0.005,0.853993357842191,-60.91024118320025,-73.90309393346814,12.992852750267893,0.005,0.9809067444062212,-31.22507963363097,-37.92035892183285,6.695279288201881,0.005,0.950980657739424,-34.4535149614975,-66.45739352899167,32.003878567494176
12.0,0.005,0.973404745194468,-31.214502879613097,-42.49029655712677,11.275793677513672,0.005,0.7762736131881142,-61.939438523808874,-68.86236098089196,6.922922457083089,0.005,0.9804361621662423,-33.37117393290259,-42.47935050947211,9.10817657656952,0.005,0.9594571574664398,-36.43615425072534,-52.69494468893586,16.258790438210525
13.0,0.005,0.9784373089651243,-31.802756869201367,-46.39100565100968,14.58824878180831,0.005,0.6521206456654618,-61.9324486972525,-75.46609223038162,13.533643533129123,0.005,0.9862187528096585,-34.18813395983092,-42.48547701698691,8.297343057155992,0.005,0.9573419750070868,-38.70151719699001,-44.65875544819818,5.957238251208167
14.0,0.005,0.9754738530436688,-35.629012968426615,-48.510896470406394,12.881883501979779,0.005,0.2721537614107952,-65.28338690627072,-74.21364173905067,8.930254832779951,0.005,0.9847338402925784,-37.87316891305566,-44.83363676688587,6.96046785383021,0.005,0.956774426925489,-39.49745540096626,-53.86450924153237,14.367053840566108
