,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.15413062929607796,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.936027816322672,-96.93891600811722,-103.18191446474376,6.2429984566265375,0.005,0.16655143447876544,-91.72860493851032,-106.65884990829537,14.93024496978505,0.005,-0.005296055084228601,-84.25921223929751,-90.83566288696534,6.576450647667826
1.0,0.005,0.9655971216768616,-42.110336232568464,-55.34523815907035,13.234901926501884,0.005,0.8628073578940588,-73.22366431479229,-82.44258245597317,9.218918141180879,0.005,0.988271844248488,-42.3165290857642,-47.978330641749594,5.661801555985392,0.005,0.7183274347455069,-54.700279172862956,-72.04721006745379,17.346930894590834
2.0,0.0225,0.9990503936759073,-12.656231465273585,-22.20207149568018,9.545840030406595,0.0175,0.998735507997123,-16.21389388839524,-20.893970918463808,4.680077030068567,0.01,0.9994492268438999,-20.405269197147,-31.73874596800883,11.333476770861829,0.005,0.9885715508887449,-43.220035710299285,-67.75966377322281,24.539628062923526
3.0,0.0225,0.9988062657816374,-13.421940772976491,-17.82335678248099,4.401416009504498,0.015,0.998978288417978,-17.08598927649386,-24.393814586059733,7.3078253095658745,0.015,0.9992518870371123,-19.2955555499759,-38.68034381513122,19.384788265155322,0.005,0.9910624926463483,-45.3138739531432,-59.74233786069783,14.42846390755463
4.0,0.0175,0.998938891637948,-16.140580696500102,-36.522821516721955,20.382240820221853,0.01,0.9982512855700605,-20.794791781735796,-32.83001401318732,12.035222231451527,0.0125,0.999241734886077,-18.265380295353893,-26.401294272397276,8.135913977043383,0.005,0.9786107452151646,-44.059521304688786,-48.41440902696178,4.354887722272991
5.0,0.0125,0.9895110843442426,-17.922957181682193,-27.202277949893123,9.27932076821093,0.01,0.983015077603636,-24.12751579578792,-33.18417805941951,9.056662263631587,0.0125,0.9972645452426977,-18.14579440921769,-27.454693583670476,9.308899174452787,0.005,0.6335017762367882,-45.06709547548989,-53.000554929998,7.93345945450811
6.0,0.0175,0.7512019330073905,-15.84152735881467,-19.292206597878657,3.4506792390639873,0.01,0.7883786892518087,-25.894245045295502,-38.92979699668277,13.035551951387266,0.015,0.8646883727991252,-15.928911810307287,-28.680790842970346,12.751879032663059,0.005,0.4856364589874883,-42.71978106816513,-68.97543014449627,26.25564907633114
7.0,0.0175,0.7194311674040652,-15.398134659233875,-17.694340842850426,2.296206183616551,0.005,0.44963420343663113,-26.595779415357697,-32.82973593126047,6.233956515902776,0.0175,0.7019289877417939,-15.878732655341496,-17.245888681049458,1.3671560257079616,0.005,0.22725197044294823,-35.49534073886736,-64.80446706684728,29.309126327979918
8.0,0.0275,0.7365287992747449,-11.097680642830403,-24.21057546117652,13.112894818346119,0.005,0.46680699650774415,-26.82647536829301,-54.92417365922869,28.097698290935682,0.0225,0.8298767476763387,-13.242898739680784,-20.659375819678804,7.416477079998019,0.015,0.42212956240580235,-19.06010541898941,-19.9222828808159,0.8621774618264908
9.0,0.055,0.7517655245706545,-5.606513418805125,-12.044381276923147,6.437867858118022,0.0175,0.5808822524677844,-16.077373209623765,-22.99272491095589,6.915351701332124,0.0475,0.7899468922896725,-6.785248994062054,-17.287095892177195,10.50184689811514,0.015,0.3161586299075832,-18.094161662851903,-27.07063400948538,8.976472346633479
10.0,0.055,0.7605304006048008,-4.728899462296318,-18.102184470151222,13.373285007854903,0.01,0.3340652196638094,-20.86801819511893,-31.498203896108514,10.630185700989585,0.0525,0.8076033277606623,-4.732994629586669,-17.780790564807727,13.047795935221059,0.015,0.2728121767758748,-18.1214499955544,-41.30839813520361,23.18694813964921
11.0,0.045,0.7593004197217302,-6.511335446256008,-14.578229089238308,8.0668936429823,0.01,0.29741098274095185,-20.83487852710125,-27.07634292679586,6.24146439969461,0.04,0.8275856266550379,-8.95325290820765,-18.21290359395975,9.259650685752101,0.015,0.47258000470386835,-18.365011647503366,-28.266401799435855,9.901390151932489
12.0,0.04,0.672387408633364,-7.899494365263849,-9.320761481772756,1.4212671165089068,0.01,0.2893692074272368,-23.06321752215469,-36.575156683922486,13.511939161767796,0.035,0.7148514727420382,-9.149436079018255,-25.158496648357822,16.009060569339567,0.01,0.32481378835309666,-21.271236968724804,-42.20366035658968,20.932423387864876
13.0,0.0425,0.656222134362566,-6.897897528770188,-26.55294592482597,19.655048396055783,0.0075,0.626340872260501,-25.378742187277965,-44.379820288297665,19.0010781010197,0.0425,0.6756958171005044,-6.594300699446909,-12.63352895927428,6.039228259827371,0.01,0.1717028512905842,-21.77795450549175,-70.82096243053402,49.043007925042275
14.0,0.0375,0.6798460127368781,-8.624624964409582,-19.941352388287477,11.316727423877895,0.01,0.7392203704599407,-23.538859745589274,-27.55080065906406,4.011940913474785,0.0375,0.6985859644437826,-8.072469126287885,-23.75093835658406,15.678469230296177,0.01,0.14627483135202377,-21.797390630107593,-28.53347131085311,6.736080680745516
15.0,0.035,0.7496484087042291,-9.397063261842781,-27.417514547002032,18.02045128515925,0.01,0.7115427913872356,-23.936798109372855,-29.965226714633374,6.028428605260519,0.0375,0.7697879418841801,-8.649313584477047,-15.463525659243746,6.814212074766699,0.01,0.11840406446930124,-21.839053749679213,-44.075883088806165,22.236829339126952
16.0,0.035,0.7861224455641485,-9.344048063114876,-19.039376991306145,9.69532892819127,0.01,0.7403116533728662,-25.59059308809506,-29.5938442117951,4.003251123700043,0.035,0.7974027408093746,-8.782045647855565,-25.531920260898605,16.74987461304304,0.015,0.6391422892956226,-19.205433945318845,-44.820449589451094,25.61501564413225
17.0,0.03,0.8272851968142731,-10.797605541321115,-16.193434442622404,5.3958289013012894,0.005,0.827424507521599,-26.071964841843943,-53.99884437268862,27.92687953084468,0.0275,0.8330177542553371,-11.683291620239986,-18.095512384923605,6.412220764683619,0.01,0.47869572778226144,-24.116401393548927,-47.494714762419186,23.37831336887026
18.0,0.0275,0.8793864370230219,-11.301701611671895,-14.459764072255343,3.158062460583448,0.005,0.8799138578122732,-26.561546106136692,-40.23328862587243,13.67174251973574,0.0275,0.8929735225594605,-11.935273153175158,-19.996916344156965,8.061643190981806,0.01,0.4025843105412552,-24.865734459297375,-44.78723460601599,19.921500146718618
19.0,0.0275,0.8858648319909379,-11.201016966409016,-14.430398563740665,3.229381597331649,0.005,0.8431567528383938,-26.84390209099414,-44.534913346343174,17.691011255349036,0.03,0.9016995786297226,-9.499525324435425,-34.8115254035976,25.312000079162175,0.0075,0.3761327055912727,-25.740096547188422,-38.61881909300491,12.878722545816487
20.0,0.05,0.7116961305541545,-5.946169336040802,-28.64611583633331,22.699946500292505,0.0075,0.4270226668459544,-24.360423320447005,-38.52348222811279,14.163058907665786,0.035,0.749719836884487,-9.232571641960519,-26.522640186101167,17.29006854414065,0.015,0.48157645856391773,-18.173980253392273,-67.94824630618693,49.77426605279466
21.0,0.035,0.705401241716062,-7.990800261653143,-18.28518804688769,10.294387785234548,0.005,0.5197933154217177,-26.86677225972089,-30.30025040618801,3.4334781464671202,0.0325,0.7343136278954154,-10.133775190463039,-18.65125591398356,8.517480723520523,0.01,0.4943200042080154,-21.63132420949387,-29.34741526768817,7.716091058194301
22.0,0.0325,0.7113553543572702,-9.721323145490164,-18.38585708087091,8.664533935380746,0.005,0.7720844814746073,-29.46347456755758,-31.56349472212427,2.100020154566689,0.03,0.7287522081904448,-10.782970794126733,-21.821706987447783,11.03873619332105,0.01,0.456036698984584,-25.04850144894817,-39.91721795935278,14.868716510404614
23.0,0.0375,0.7654735344488006,-8.730442025579965,-14.856697702210939,6.126255676630974,0.005,0.8674734032815135,-27.967506696030803,-34.66051176729366,6.69300507126286,0.03,0.80073459111772,-11.845665795815762,-18.108564949262814,6.2628991534470515,0.0125,0.4335324522824905,-17.683816247387142,-27.599604427708346,9.915788180321204
24.0,0.0275,0.7872435767214904,-11.481751984959134,-19.228912278956297,7.7471602939971635,0.005,0.8866088285346142,-27.715142129405844,-32.57517196475185,4.860029835346008,0.025,0.7631624530871038,-13.434099502609481,-16.167755441891337,2.7336559392818565,0.01,0.4567595181124303,-22.050963767221695,-36.19646511093192,14.145501343710222
25.0,0.025,0.7643971264776792,-12.058181043381609,-23.652153359307327,11.593972315925718,0.005,0.899963322045863,-27.383823640145284,-36.64343142450684,9.25960778436156,0.025,0.7725173681563666,-13.364247122731571,-23.80987054100288,10.445623418271309,0.01,0.48118622224233487,-24.963193638321926,-59.06687060722142,34.10367696889949
26.0,0.0325,0.7593059052963828,-10.051410955768564,-18.940270410856648,8.888859455088085,0.005,0.8302012367647157,-27.36947570346144,-34.13965770398352,6.770182000522077,0.0275,0.7778708456055605,-11.183804387182594,-23.820203074352197,12.636398687169603,0.0125,0.3709981322239675,-19.604409038539206,-24.75856825345847,5.1541592149192645
27.0,0.035,0.7122572540432937,-9.081457215316608,-17.158320948034632,8.076863732718024,0.005,0.17175805421925625,-26.033094131292223,-33.83086877519348,7.797774643901256,0.03,0.7817421089933088,-11.096743414925571,-24.866907366292878,13.770163951367307,0.015,0.37455746944404367,-18.116796057830996,-33.489620894137516,15.37282483630652
