,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.15435506615657008,-80.51075962119785,-84.03258446718213,3.521824845984284,0.005,0.9891002705666179,-94.82666368649211,-112.32122427873493,17.49456059224282,0.005,0.3988904693165305,-92.32579232152082,-122.1740831806266,29.848290859105774,0.005,0.06268617696941883,-91.97226479409326,-99.00036827013382,7.028103476040556
1.0,0.005,0.9580464279503091,-53.15122378125423,-80.51075962119785,27.359535839943618,0.005,0.8915946070042002,-91.99094735716378,-100.6000548568425,8.609107499678728,0.005,0.9963667268110815,-65.50834331794545,-118.47555096298589,52.967207645040446,0.005,0.9931661842095568,-55.39034664979304,-103.65399566345424,48.2636490136612
2.0,0.005,0.9990684252488022,-43.69191775854408,-54.06637369460239,10.374455936058311,0.005,0.999736179296551,-54.23550767864675,-54.33271318783529,0.09720550918854087,0.005,0.9996731699655669,-45.37475279544815,-67.64728245337496,22.272529657926803,0.005,0.9940986932108222,-54.009418993878135,-69.47864324829149,15.469224254413355
3.0,0.02,0.9997662836148693,-15.287088553141563,-37.505867571090064,22.2187790179485,0.005,0.9996143621364562,-31.830430768614917,-38.18290694514171,6.3524761765267925,0.015,0.999845834170994,-16.838121345322904,-20.55886066332715,3.720739318004245,0.01,0.9987308066723773,-20.408458401892563,-50.69633660815611,30.287878206263546
4.0,0.02,0.9997565023533106,-14.4887117642196,-20.736608562764687,6.247896798545087,0.01,0.9998487754549646,-22.901804705478174,-40.6648248765807,17.76302017110253,0.0175,0.9998240695746765,-14.697761270956214,-33.35720442909858,18.659443158142366,0.005,0.9984140141694098,-26.69857653670837,-58.070267479786146,31.371690943077777
5.0,0.0175,0.9997486851684696,-15.236460162258929,-26.041645961298016,10.805185799039087,0.005,0.9997367804668368,-26.154336830688578,-32.455101171605534,6.300764340916956,0.0175,0.9998071395296553,-14.87103327176812,-65.59168773178398,50.72065446001586,0.005,0.9978468149187711,-31.15004718911618,-59.3827613739029,28.232714184786722
6.0,0.0175,0.9998873936375657,-15.983918105590313,-29.958161132402232,13.97424302681192,0.005,0.9999323337676811,-26.238203811714147,-37.87840780375213,11.640203992037986,0.015,0.9999214396031161,-17.07313471960028,-31.425588894975434,14.352454175375154,0.005,0.9989063134918166,-28.281781434781358,-44.50701474764933,16.22523331286797
7.0,0.015,0.9997507560257238,-17.70059813285489,-37.77634794049419,20.0757498076393,0.005,0.9996863254487907,-26.33071524909252,-27.57524423208851,1.2445289829959911,0.0125,0.9998072504338169,-18.045681491672052,-20.135358458356013,2.0896769666839603,0.005,0.9988853841370814,-28.864949549611573,-40.62186752353095,11.756917973919379
8.0,0.015,0.9997489997043533,-17.522271315852397,-29.547066912027944,12.024795596175547,0.005,0.9997245947517209,-26.467679711802635,-32.610186386107436,6.142506674304801,0.015,0.9997807357291258,-18.5931782937018,-31.250567948609948,12.657389654908147,0.005,0.9989564004980795,-28.773992025521014,-55.9283851442353,27.154393118714285
9.0,0.015,0.9997885792540322,-17.514065328018454,-26.760180249640946,9.246114921622492,0.005,0.9999456273857533,-26.172202636315575,-30.160331534339605,3.98812889802403,0.015,0.9997969671910782,-19.243713465783067,-41.69796088816672,22.454247422383652,0.005,0.9991612514603184,-30.50047149137086,-45.66705588704741,15.166584395676551
