,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.8635887053084194,-70.30899869919435,-90.30899869919435,20.0,0.005,0.9560398419874983,-86.57930813489301,-86.57930813489301,0.0,0.005,0.9831165544174273,-74.5678565376389,-74.5678565376389,0.0,0.005,0.8138449938098864,-76.6163009625035,-97.78511160998468,21.16881064748118
1.0,0.005,0.6981438539098007,-56.86704154048,-72.24719895935547,15.38015741887547,0.005,0.6474840501051147,-70.54720933824878,-70.54720933824878,0.0,0.005,0.6037473890192233,-63.04006432328519,-65.92083824055878,2.8807739172735864,0.005,0.6547419973271017,-64.90208443084568,-72.73583838539811,7.833753954552435
2.0,0.015,0.8929404920643247,-17.563207745630866,-31.82341297795672,14.260205232325855,0.005,0.9648621747420477,-31.759102861913014,-35.11396090996708,3.3548580480540693,0.01,0.9163639735782867,-21.319843232895717,-31.259135666302384,9.939292433406667,0.01,0.926146995724408,-21.94356668438042,-36.777207011263044,14.833640326882623
3.0,0.065,0.6959438573806798,-3.775728564700776,-14.179972234249114,10.404243669548338,0.0175,0.9098006477210253,-16.44854976732253,-29.190545911267346,12.741996143944817,0.0475,0.6821034344812906,-6.617145089090577,-9.553535809164027,2.936390720073449,0.0325,0.6267913451604024,-10.008965170503641,-19.733375009666563,9.724409839162922
4.0,0.065,0.7662435819971237,-3.8221147204135453,-14.27818057538799,10.456065854974446,0.02,0.9464892863408613,-15.666417020068089,-18.836437499217137,3.1700204791490485,0.0475,0.7684623160814938,-6.408946438140846,-25.33089067531714,18.921944237176294,0.0325,0.7035473382485403,-10.44064839672357,-30.452885293667226,20.012236896943655
5.0,0.0525,0.7841497424849683,-5.229161442950937,-19.053627838863974,13.824466395913038,0.02,0.9966994289797779,-14.435773837771439,-36.079754499608235,21.643980661836796,0.0375,0.7257831472227837,-8.472043657019825,-15.261312182251231,6.789268525231407,0.02,0.6247787992964992,-14.850786591539503,-27.022761918350344,12.171975326810841
6.0,0.055,0.8090480277077561,-5.748181406401712,-35.88928381611958,30.141102409717867,0.02,0.992905204983943,-15.077327129506335,-20.538534971410648,5.461207841904313,0.0375,0.7666933700650734,-8.26845392407708,-14.52071393243936,6.2522600083622795,0.0175,0.5474905454149526,-15.615548272661373,-30.066353266745654,14.450804994084281
7.0,0.045,0.7927457961704254,-6.756537466567254,-17.31451498060391,10.557977514036656,0.0175,0.9894984188859144,-15.953211187972565,-27.732695818464236,11.779484630491671,0.03,0.7464880124882923,-11.029163451163576,-33.1371745326676,22.108011081504024,0.01,0.5567360523557342,-20.10441492977123,-30.736332282077594,10.631917352306363
8.0,0.0375,0.6952994338966672,-9.0588631950207,-31.948391963496753,22.889528768476055,0.015,0.9942439880683044,-18.156171320455712,-21.73258791481946,3.5764165943637494,0.0275,0.6138542860902431,-10.584006116466432,-14.690576565693792,4.106570449227361,0.01,0.6494743354577212,-20.814994011393818,-50.043853813153554,29.228859801759736
9.0,0.035,0.6862247665541744,-9.550911552946284,-28.82730491862948,19.276393365683198,0.01,0.9946420486236168,-20.152524098027683,-48.85820162929107,28.705677531263383,0.035,0.6328686908234921,-8.90942092089871,-16.491867062744397,7.582446141845688,0.01,0.7064519842287555,-20.730668141557608,-46.015800399674525,25.285132258116917
10.0,0.035,0.6848954796187774,-9.250505025039788,-26.51919242520701,17.268687400167224,0.01,0.9784425062137043,-23.301464705068483,-24.390206837767238,1.088742132698755,0.0325,0.6443124276947038,-9.803020306225093,-14.438745435099271,4.635725128874178,0.01,0.739007400282279,-22.041150352537894,-29.913327003586172,7.872176651048278
11.0,0.0325,0.7886061985701778,-10.108939216653162,-23.425084381765657,13.316145165112495,0.01,0.9936569965806136,-22.298463487091993,-27.433496117316523,5.135032630224529,0.0275,0.7581933133668661,-11.796956272792203,-23.108351705001073,11.31139543220887,0.01,0.806901042403959,-23.12214477183543,-28.868549964374907,5.746405192539477
12.0,0.025,0.9144139592777345,-12.633499472089191,-17.977388097476638,5.3438886253874465,0.01,0.9952039150419555,-22.311851527403203,-48.46487069389562,26.153019166492417,0.0225,0.9010893301500391,-12.915173871228818,-20.794279619751933,7.879105748523115,0.01,0.8073308982278596,-21.752850215862093,-41.83760056424055,20.08475034837846
13.0,0.02,0.9125087182582307,-14.185399219516611,-21.37514937176381,7.1897501522472,0.01,0.9948498147796393,-22.78566179297959,-37.868613478559915,15.082951685580326,0.02,0.908341005578697,-14.365705095396294,-21.06326130903733,6.697556213641036,0.005,0.8650302753010836,-27.69569830069657,-59.011869191711774,31.316170891015204
14.0,0.02,0.8916082368954852,-14.676763049331354,-19.328933458678602,4.652170409347248,0.01,0.9951507584583824,-23.73913001354869,-26.459949087537616,2.7208190739889275,0.02,0.8779812429257214,-15.396777410194819,-33.63583395318847,18.239056542993648,0.005,0.7868304381830152,-29.21164343838855,-90.33474188126924,61.12309844288069
15.0,0.02,0.8660814028293103,-15.737053831525724,-32.37847434940325,16.641420517877524,0.0075,0.9941327835293607,-24.672952416175583,-29.411974741251786,4.739022325076203,0.0175,0.8562279099786524,-15.730631213843001,-23.485415825925237,7.754784612082236,0.005,0.7942986312367497,-30.733779851968947,-33.911758596347006,3.177978744378059
16.0,0.02,0.7490361372899069,-14.555539405444497,-17.326197416309977,2.77065801086548,0.01,0.8858510375853466,-24.450772826444783,-45.30086950477256,20.850096678327773,0.02,0.7155069522634248,-14.779517325748426,-20.900788923488044,6.121271597739618,0.005,0.7591363623220032,-28.79727078125442,-61.17636158225328,32.37909080099886
17.0,0.0225,0.8136055674991963,-13.961658373442473,-18.350709275143792,4.389050901701319,0.0075,0.9072832558964968,-25.091739825134898,-43.24984467544403,18.158104850309133,0.0175,0.7995208457561634,-15.941984360664865,-45.72292819381601,29.780943833151145,0.005,0.7871342765873749,-28.81961816064004,-41.962290464454284,13.142672303814244
18.0,0.0175,0.8158517297536863,-14.408091290771857,-24.93276062439875,10.524669333626893,0.005,0.9411559243399071,-27.152048437759472,-33.774410629515124,6.622362191755652,0.015,0.8074258190310931,-16.54489412942408,-40.385686430593594,23.840792301169515,0.005,0.7459540151911721,-31.555065295168816,-40.707645263907764,9.152579968738948
19.0,0.02,0.8295926215134796,-14.793877942312397,-25.30059865301648,10.506720710704082,0.005,0.9731695179478987,-26.815503665892727,-28.825506402393565,2.0100027365008373,0.015,0.8032215575735471,-17.214165922534075,-20.83291722347923,3.6187513009451564,0.005,0.6877106147194153,-31.08490171101011,-39.51726074222846,8.432359031218347
20.0,0.045,0.7483359521802916,-6.920212719615536,-22.92097042526187,16.000757705646336,0.01,0.8324848965726221,-21.54452770423186,-31.160148054838128,9.615620350606267,0.0275,0.7836339782672538,-11.072860937192585,-17.869748400860168,6.7968874636675825,0.0225,0.6493672291195872,-13.768503851766658,-29.711095684942958,15.9425918331763
21.0,0.0575,0.6206027700143236,-4.808763943634132,-9.291354485913768,4.482590542279636,0.01,0.7453868059931302,-20.13510879812454,-21.609725520154285,1.4746167220297437,0.045,0.6138357801709102,-7.449662594118682,-26.711568018602463,19.261905424483782,0.035,0.5964325966348948,-9.353155856937473,-12.936906987439741,3.583751130502268
