,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.02725427152738769,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,0.8570030703880481,-87.48617046351491,-100.28083629479853,12.794665831283623,0.005,-0.04716210334584548,-77.77321804525421,-81.2468168018478,3.4735987565935886,0.005,-0.20240617630200144,-77.77383405124735,-92.04383785232167,14.270003801074324
1.0,0.02,0.99995057839972,-14.024046784555955,-26.03333271248827,12.009285927932316,0.005,0.9999618697888423,-45.48307858630398,-45.70373211226681,0.22065352596283105,0.015,0.9999744927031775,-19.300057513258793,-30.03334782338916,10.733290310130368,0.0175,0.9999461802410197,-15.488456057041555,-58.95610452460887,43.467648467567315
2.0,0.0375,0.999959498307281,-8.651138033430769,-34.67389120614498,26.02275317271421,0.005,0.9999816697628945,-32.395205140439614,-37.56058111284896,5.165375972409343,0.0175,0.9999395171406824,-15.582673492725192,-33.34574300180612,17.76306950908093,0.025,0.999958950604162,-10.58692751199219,-44.868802857779485,34.2818753457873
3.0,0.01,0.9999644187612803,-22.94326100115174,-35.88928381611958,12.94602281496784,0.005,0.9999868720210132,-29.772463859860764,-48.997432052316576,19.224968192455812,0.005,0.9995396009072341,-33.5866403418039,-62.299452411762445,28.712812069958545,0.005,0.9994757144980856,-29.73712269471205,-60.68344345618368,30.946320761471632
4.0,0.005,0.9998119593968885,-30.995559274792225,-63.46054508275023,32.464985807958,0.005,0.9999927817810202,-28.138310752736952,-39.96458432883713,11.826273576100174,0.005,0.9974534598578764,-45.797789395553934,-51.41609324442854,5.6183038488746035,0.005,0.9920919468347719,-49.926460366314444,-68.6675945251651,18.741134158850656
5.0,0.005,0.9999322390683464,-32.738562789170224,-47.89752007507736,15.158957285907135,0.005,0.9999514645886985,-39.998466140375484,-56.98771789274403,16.989251752368546,0.005,0.997553032780175,-45.82666254628126,-66.61849216475538,20.791829618474118,0.005,0.993665422985396,-49.45413583709805,-71.56175093126149,22.107615094163435
6.0,0.0125,0.9999324194646968,-19.365816272646008,-33.102238567774485,13.736422295128477,0.005,0.9999917708004951,-35.93130227853387,-57.185332945715395,21.254030667181524,0.01,0.9999353435359689,-25.564199482191277,-48.5642211132578,23.000021631066524,0.0075,0.9999062896217178,-23.163839441701768,-68.52565888701746,45.36181944531569
7.0,0.005,0.999890190654571,-31.528603170221025,-37.53921356010161,6.010610389880583,0.005,0.9999698104214639,-38.88744024042592,-43.739665368345904,4.852225127919986,0.005,0.9978214232908164,-43.2628792343964,-65.256534505432,21.9936552710356,0.005,0.9942901996507688,-50.624992496315244,-82.46271637945343,31.83772388313818
8.0,0.005,0.9994488528061768,-34.76046225140812,-54.745973691521485,19.985511440113363,0.005,0.999988796986324,-37.16928747752999,-45.74504722274469,8.575759745214697,0.005,0.9967157485890107,-46.17311745905149,-52.331099698830606,6.157982239779116,0.005,0.9932910764576515,-51.023280807424584,-69.25741295070621,18.234132143281627
9.0,0.005,0.996742349062779,-43.421153225492134,-50.573564013869465,7.152410788377331,0.005,0.9999473192374225,-45.76229359219358,-52.50923534570509,6.746941753511514,0.005,0.9974991902954577,-48.12415997959799,-70.15200284953822,22.02784286994023,0.005,0.9944274174586811,-48.61912804462769,-59.7576257867155,11.138497742087807
