,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.002861307981316394,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.9630860286774927,-99.02887440657184,-110.19191516587281,11.16304075930097,0.005,0.28371457796694594,-93.06835825443332,-111.48917549411111,18.42081723967779,0.005,0.061300518448591336,-87.77785740177146,-106.83011898224527,19.05226158047381
1.0,0.005,0.6673368781379564,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,0.8424059352182767,-86.81585686048558,-88.43162556899388,1.6157687085082983,0.005,0.5640866679997057,-80.65346981891842,-88.3760378636805,7.72256804476207,0.005,0.1600176699946579,-83.13731074623053,-109.26805751518592,26.13074676895539
2.0,0.01,0.9895682691859,-21.267133718839727,-30.7636744506485,9.496540731808775,0.005,0.9981577431607679,-27.05605488981641,-27.05605488981641,0.0,0.005,0.9774672923911925,-26.070721819669803,-33.4043288992055,7.3336070795357,0.005,0.9895949006472374,-31.29635394536855,-41.065638327058565,9.769284381690014
3.0,0.01,0.9747326192228323,-22.45154379115277,-53.40703789890922,30.955494107756454,0.01,0.9908519289967669,-24.96886627231609,-45.43404427147511,20.465177999159017,0.005,0.9617134103066849,-27.622152438942233,-34.58755048871248,6.965398049770247,0.005,0.9358001112720764,-35.733903278118106,-65.39563053556896,29.66172725745085
4.0,0.0075,0.983032464055652,-23.32344814983525,-34.65954621586863,11.33609806603338,0.005,0.9892554210018122,-27.997483969642204,-36.30362384491003,8.306139875267824,0.005,0.9644118271948674,-30.140008031675926,-62.50857990828113,32.3685718766052,0.005,0.7478252938816133,-52.593773434074045,-63.02443422344173,10.430660789367685
5.0,0.005,0.956133110220537,-29.186153458013308,-43.381939210181585,14.195785752168277,0.005,0.9914433642584577,-30.21035300313222,-48.335438959714956,18.125085956582737,0.005,0.9415263811516431,-32.15137501907223,-36.88623267775358,4.734857658681349,0.005,0.716723325043112,-52.45147061823136,-61.9794124760558,9.527941857824437
6.0,0.0125,0.9892519893148862,-18.947312072886476,-26.758268700597117,7.810956627710642,0.005,0.9957687649806801,-27.009952862305138,-33.42471015894248,6.414757296637344,0.01,0.982795039596921,-23.848218157695364,-31.589500108521275,7.741281950825911,0.01,0.9830715185063735,-24.920822937766456,-42.25728672432985,17.336463786563396
7.0,0.015,0.9795405636463801,-18.121379814180216,-37.439945169470604,19.31856535529039,0.0075,0.9847493051112298,-24.513839135668263,-36.42455778541853,11.910718649750265,0.0125,0.9823025288731834,-19.002510553579047,-52.98212998087001,33.97961942729097,0.005,0.9532832707914306,-27.327292318738728,-56.24509552781471,28.917803209075984
8.0,0.015,0.9824995055606967,-16.784274363928127,-24.227809374842373,7.443535010914246,0.005,0.9812492006854793,-27.107923211487854,-53.568158818386244,26.46023560689839,0.015,0.9843279506002215,-19.317427427260107,-27.600219650334715,8.282792223074608,0.005,0.9745320479507791,-30.06131825619512,-61.57289950187184,31.51158124567672
9.0,0.0125,0.9832718766634522,-19.072665412815205,-27.62545654765903,8.552791134843826,0.005,0.9862050491686146,-31.87725052126744,-43.054260542135914,11.177010020868472,0.01,0.9825019362038695,-20.69609150755268,-36.65621162634873,15.960120118796048,0.005,0.9607812047102924,-31.44415770584483,-44.85638594045586,13.412228234611028
10.0,0.035,0.9048207432571262,-9.626059157073446,-31.350526302559825,21.72446714548638,0.01,0.9954782097116209,-22.170082438202606,-25.939939968336287,3.769857530133681,0.025,0.8918931946120238,-12.478832695710587,-36.60837596892706,24.12954327321647,0.0175,0.8723033097881242,-16.362806833841436,-26.670209855824233,10.307403021982797
11.0,0.03,0.8993425883748206,-11.103389410461517,-15.409065218423157,4.30567580796164,0.0225,0.9972258589038879,-13.767764716949333,-41.06297851419076,27.295213797241427,0.02,0.683869505710019,-15.637165211243422,-27.084595060302995,11.447429849059573,0.01,0.605894738440856,-20.706056742794633,-47.964372939057974,27.25831619626334
12.0,0.0275,0.8400993960398996,-11.460899882072225,-27.43621399370349,15.975314111631265,0.015,0.9960023298382987,-17.131630619579152,-28.746579127690968,11.614948508111816,0.0125,0.6227310955765563,-18.861860711638595,-35.06838043907298,16.206519727434387,0.01,0.3703936630034081,-24.286848028277426,-73.48433462183804,49.19748659356062
13.0,0.0175,0.5806176061776223,-16.072854118370536,-23.4882260656439,7.415371947273364,0.005,0.9898710981042971,-26.225058881613744,-44.93297595572871,18.707917074114963,0.015,0.6255913122476476,-18.454894474459284,-24.60797159688113,6.153077122421845,0.005,0.20954314191772536,-28.894172256471627,-39.17210675647024,10.277934499998615
14.0,0.0525,0.6320772340701081,-5.684195720292852,-11.873188986030618,6.188993265737766,0.0075,0.943535334773145,-24.96880159979741,-29.525826313207624,4.557024713410215,0.0475,0.579435821800544,-6.80702890145812,-23.123086866263517,16.316057964805395,0.0175,0.6723029117567572,-15.982370269077283,-26.562212945360347,10.579842676283064
15.0,0.0375,0.7891233034840296,-8.680612216495678,-36.32959861247398,27.6489863959783,0.01,0.964087867464211,-20.425391420769884,-41.853153222209876,21.427761801439992,0.0325,0.8133240983994457,-10.381562174819322,-13.745759183909389,3.3641970090900664,0.02,0.6854182453157381,-15.154136792245483,-23.969045765714835,8.814908973469352
16.0,0.0325,0.774497746167273,-10.432341366914635,-31.185630089687088,20.753288722772453,0.01,0.9759230728516711,-23.775081647139377,-39.219514347445866,15.44443270030649,0.025,0.7987125660237782,-13.073574895524985,-29.00174906026322,15.928174164738234,0.015,0.590254815677229,-16.780344663050876,-34.31113221910044,17.530787556049567
17.0,0.0275,0.7929336660467255,-10.670815297378514,-14.668150366783275,3.9973350694047607,0.005,0.9763862872105112,-27.7373391836783,-62.23849829918649,34.50115911550819,0.02,0.8015271155749539,-14.010608108958216,-25.284035704606968,11.273427595648752,0.01,0.7053136248455328,-20.60804145793849,-40.6251057106638,20.017064252725312
18.0,0.0225,0.8410279916625013,-13.426914085244091,-62.009531739778,48.582617654533905,0.005,0.9904088093758716,-26.246194946237523,-27.671946750650058,1.4257518044125348,0.0175,0.815894573046505,-15.620313900008117,-27.189342664632697,11.56902876462458,0.015,0.8641389166109947,-18.40714024535658,-75.15504225290786,56.74790200755128
19.0,0.0125,0.8247224606106862,-19.535011108346218,-41.522344822589105,21.987333714242887,0.0075,0.9691578774565174,-24.508379363007045,-40.052481416593366,15.544102053586322,0.01,0.7441503004930881,-23.12165997720632,-25.178116720740995,2.0564567435346746,0.005,0.669959951550892,-29.40103587947354,-50.82839084150024,21.427354962026698
20.0,0.01,0.7253295030337651,-24.24507755078458,-72.24719895935547,48.00212140857089,0.005,0.9782651624230211,-28.65668535764457,-40.35212186118532,11.695436503540748,0.0075,0.6439720126054763,-25.35382625050829,-64.44288594463443,39.089059694126135,0.005,0.2100239321057575,-33.5704497379757,-52.29161954142256,18.721169803446863
21.0,0.0075,0.6752561005299488,-25.964585586303983,-32.77309917518034,6.808513588876359,0.005,0.970352475340414,-34.2034569919983,-48.959727076864894,14.756270084866593,0.005,0.6062592087233384,-29.632483030174804,-34.01946761788936,4.386984587714558,0.005,0.1285976919169872,-37.00960091805746,-44.66729251273779,7.65769159468033
22.0,0.035,0.22529930518775584,-9.436252507342948,-22.733775192866894,13.297522685523946,0.005,0.9849747542844823,-26.48079732426043,-45.3448047012511,18.86400737699067,0.03,0.18785325949115314,-11.328505073096327,-27.0504184430853,15.721913369988972,0.01,0.16201482128539507,-22.752638048555887,-32.38390384452148,9.63126579596559
23.0,0.03,0.29105798292801605,-9.985888460165267,-49.72132314549016,39.73543468532489,0.01,0.9708933146179228,-22.471256356411097,-34.05508120503288,11.58382484862178,0.025,0.15145996127493108,-12.36065521036754,-40.752237883983994,28.391582673616455,0.01,0.11313103104029158,-22.253464142480045,-44.87573610853923,22.622271966059184
24.0,0.015,0.5403927870609073,-19.343667795779453,-32.4005477784062,13.056879982626747,0.005,0.9911969033566843,-28.628752343728085,-45.161271192480726,16.53251884875264,0.01,0.4614986217199856,-21.21361839312856,-29.13810401744093,7.924485624312371,0.005,0.14707495122453965,-33.31397645051504,-47.943591253531864,14.629614803016821
25.0,0.01,0.7637281728594562,-21.331781787045543,-26.03333271248827,4.701550925442728,0.005,0.9500057548036479,-33.94657549141383,-58.28402964450802,24.337454153094185,0.01,0.7777147411177465,-21.623901139056038,-34.05026133857797,12.42636019952193,0.005,0.3316010646199632,-33.110352805648034,-45.66087327390143,12.550520468253396
26.0,0.0625,0.8904178582539878,-3.0048566945578936,-32.31258865065243,29.307731956094536,0.01,0.9840560867957364,-21.604659363387768,-46.165076151235,24.56041678784723,0.0425,0.8523170193555211,-6.661590263900638,-20.89340808787954,14.2318178239789,0.035,0.9335667990880919,-8.587892828619042,-25.9834131804149,17.39552035179586
27.0,0.055,0.7499969622336682,-4.529266963361784,-18.207209461562748,13.677942498200963,0.015,0.9812269301719738,-18.6345633025162,-45.170333725587014,26.535770423070815,0.0425,0.6586348372708117,-6.133813319606557,-20.4722930870436,14.338479767437043,0.03,0.8715429347887016,-10.736347747894637,-25.92821357725561,15.191865829360975
28.0,0.0325,0.77274028505651,-9.539774775623085,-19.823673323854784,10.283898548231699,0.005,0.969641791654217,-26.64705078117132,-33.48038257010518,6.833331788933858,0.025,0.719518852165216,-12.344195319400175,-23.75598151182072,11.411786192420546,0.0175,0.910268637633072,-15.821608420230497,-55.560701872835054,39.73909345260456
29.0,0.025,0.7906378681481097,-12.916151806162464,-30.855686853872136,17.939535047709672,0.005,0.9785024690197303,-29.1393657188257,-40.59029214434745,11.45092642552175,0.0225,0.75232846646254,-13.710503063450625,-22.869849149475236,9.15934608602461,0.0125,0.9144513193929201,-19.513036283224817,-23.269693205606114,3.7566569223812962
30.0,0.02,0.7636392816706287,-14.396959101310763,-32.842586662886376,18.445627561575613,0.005,0.9832782032082779,-31.922215468360932,-35.84853924971926,3.9263237813583274,0.0175,0.739884088644048,-15.9534438542359,-29.65535506500202,13.70191121076612,0.01,0.8997038852199002,-20.857082039201362,-38.40649331242734,17.549411273225974
31.0,0.02,0.8827753830526495,-14.809904917591584,-21.279410596697122,6.469505679105538,0.005,0.9706851952934014,-33.31845934168662,-49.12850506180174,15.81004572011512,0.0175,0.8756453144518507,-16.353021421970965,-21.543284635755423,5.190263213784458,0.01,0.8999745905018054,-22.76609849779282,-40.91505850534321,18.14896000755039
32.0,0.02,0.9207084587442456,-13.94316088319444,-28.219256472946455,14.276095589752016,0.005,0.9726802904135053,-35.32918112933863,-44.31135910274889,8.98217797341026,0.015,0.9355015808645559,-18.78182852158915,-44.56770375059209,25.785875229002936,0.01,0.8963824865820329,-23.075639692720497,-40.111344072679955,17.03570437995946
33.0,0.0175,0.9366118694727399,-16.039187837315506,-27.251006771319407,11.211818934003901,0.005,0.9606154756212983,-37.06400131409501,-43.041037939906005,5.977036625810996,0.0125,0.9524503395024395,-19.478360934802843,-28.34527887698456,8.866917942181715,0.0075,0.8948341645646288,-25.777671494398966,-37.57750731211357,11.799835817714602
34.0,0.025,0.6475378077199845,-12.67217933269581,-20.041982723075215,7.3698033903794045,0.005,0.9878839009482402,-29.679935911756708,-30.88337397219218,1.2034380604354737,0.02,0.5997743354832675,-14.769296842734862,-29.77480684216466,15.0055099994298,0.01,0.79040267940171,-21.17131384943374,-35.8883924696717,14.71707862023796
35.0,0.02,0.563307435977897,-15.071944809866695,-33.633311206064775,18.561366396198082,0.0075,0.9854785547027987,-25.660095329602896,-30.530345284583255,4.870249954980359,0.015,0.45497347218965356,-17.934009387774946,-25.809916523211793,7.875907135436847,0.01,0.7161052699646447,-22.026769208420667,-37.866351627981686,15.839582419561019
36.0,0.015,0.5444592268847258,-17.31062432448597,-50.939339728115655,33.628715403629684,0.01,0.9838538811684012,-25.448083521485124,-29.01956464461774,3.5714811231326173,0.0125,0.457501264319252,-19.51618626074498,-41.518777540307646,22.002591279562665,0.005,0.7101232443574554,-27.42084190477304,-50.824080570125844,23.403238665352802
37.0,0.0125,0.5012738395793969,-18.399074262682873,-30.205388449118754,11.80631418643588,0.005,0.9914487373006596,-28.06469398810936,-45.148850016306234,17.084156028196873,0.01,0.42468775789528357,-20.23895761228518,-23.516672382649865,3.2777147703646854,0.005,0.7474551263622845,-30.078725555242816,-36.04985848092149,5.971132925678678
38.0,0.04,0.8907649037946453,-8.191985211491486,-28.62462496440958,20.432639752918092,0.0075,0.9968241781773745,-21.28871720748895,-21.8775725798085,0.58885537231955,0.0275,0.8486863252332698,-10.716117562073324,-14.997831762579214,4.28171420050589,0.0225,0.9719707478660791,-13.16250621161579,-27.58641436114807,14.423908149532279
39.0,0.045,0.7982867471661369,-6.87505455421764,-14.849369692295083,7.974315138077443,0.0125,0.9896301082100669,-19.540527640167028,-34.99591696550917,15.45538932534214,0.035,0.7583446749240138,-10.155499445621265,-13.970004887801641,3.8145054421803763,0.0225,0.9793581774509809,-13.836372399106319,-24.312346467508274,10.475974068401955
40.0,0.0275,0.7491678691143422,-11.343674301588448,-90.30899869919435,78.9653243976059,0.01,0.9827527780581119,-25.061407118078677,-30.614225546781682,5.552818428703006,0.0225,0.6854812731419361,-13.098963013250122,-21.09086860048815,7.991905587238028,0.015,0.9729636220531365,-19.445670327042517,-42.717133750134806,23.27146342309229
41.0,0.02,0.9030038355311248,-15.026971169669782,-29.648569805536145,14.621598635866363,0.005,0.9852450787262966,-26.74419912876827,-43.11947150750699,16.375272378738718,0.0175,0.8919664178186294,-16.28004086184449,-20.120585667747847,3.840544805903356,0.01,0.9633376003830397,-23.806918526534815,-44.48141361197001,20.674495085435197
42.0,0.0275,0.9195422323875828,-11.710407497502601,-27.956944865392668,16.246537367890067,0.005,0.9865025802176798,-30.093811950800355,-35.501944450816744,5.408132500016389,0.015,0.9141502009758894,-16.657336788646216,-31.26138698648818,14.604050197841964,0.01,0.9594893500708324,-22.658909734327292,-36.66333214997509,14.004422415647799
43.0,0.0225,0.9655714294896134,-13.368656740487273,-21.640002823962433,8.27134608347516,0.01,0.9863186734272286,-22.68545317968343,-38.44808785511464,15.762634675431212,0.015,0.9565245211594804,-16.59503027930404,-29.489005411978813,12.893975132674772,0.01,0.9503850657984984,-21.43379609140231,-48.828113857621176,27.394317766218865
