,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.07251881870774521,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,0.8052813087290862,-94.2975408791728,-106.69732328369383,12.399782404521034,0.005,0.3033497943226841,-82.65400913593669,-88.29075601859005,5.636746882653355,0.005,0.0516893107566249,-78.92793087204441,-87.39444798955651,8.466517117512097
1.0,0.005,0.9981269457470353,-43.61992367617574,-52.92436430457484,9.3044406283991,0.005,0.9882938081221504,-75.7969443559985,-92.16381713103024,16.366872775031737,0.005,0.9986298438931173,-43.883015914131406,-56.302807036841436,12.41979112271003,0.005,0.9367368088544437,-65.94800445501056,-73.95927990768504,8.011275452674482
2.0,0.005,0.9810254800975021,-42.455059634001046,-49.32463824579072,6.869578611789677,0.005,0.9422231819030417,-74.12175457207633,-86.1947364425796,12.07298187050327,0.005,0.9811542372123906,-41.8354092834553,-60.23703564751379,18.401626364058494,0.005,0.9630034886541039,-65.71693066863078,-73.20431291128115,7.487382242650369
3.0,0.005,0.9809454518402648,-43.700723232210535,-80.76657360480111,37.065850372590575,0.005,0.9418077128242631,-73.97985572155264,-91.15551360775457,17.175657886201932,0.005,0.9813144633424273,-42.60496646895221,-77.77116322831357,35.166196759361355,0.005,0.9398063963722696,-65.77588862952749,-74.60607710157879,8.830188472051304
4.0,0.005,0.9877837683503049,-42.59687322722811,-57.63962958760263,15.042756360374518,0.005,0.9388673259451414,-72.04832178303027,-82.20847362882138,10.160151845791106,0.005,0.9879926533267966,-42.1048996270556,-75.55186191453815,33.44696228748255,0.005,0.9871451336227932,-59.19539132615312,-66.21606117810273,7.020669851949613
5.0,0.005,0.9485836370050496,-40.01804364598864,-55.823481307178575,15.805437661189934,0.005,0.9298977296397984,-70.33123273371802,-86.26249667861678,15.93126394489876,0.005,0.9492312155131146,-41.41876156577314,-44.66053170632452,3.241770140551381,0.005,0.9623789261236844,-60.27647179985643,-73.01429525537527,12.737823455518843
6.0,0.005,0.9884325514497099,-34.25352419335484,-39.402856369877874,5.149332176523032,0.005,0.9490917273596022,-64.2805104518426,-80.89821200981265,16.61770155797005,0.005,0.9882693888484996,-34.444361833950715,-53.2725502530369,18.82818841908618,0.005,0.9530626492240232,-60.742691755852746,-64.28156785679963,3.5388761009468794
7.0,0.005,0.9891932343043262,-34.09091308582035,-43.989591790056004,9.898678704235657,0.005,0.9558909065658264,-61.436874080026236,-61.517267014556516,0.08039293453028051,0.005,0.9899279760805594,-33.394867096974096,-49.13266565436162,15.73779855738752,0.005,0.886397678133381,-56.39277876517262,-66.29991980154419,9.90714103637157
8.0,0.005,0.9856797762526369,-31.83375948262035,-38.944964217854455,7.111204735234104,0.005,0.9213406647462368,-61.5368321438677,-69.19543435298297,7.658602209115273,0.005,0.9856442665903359,-32.690820307016224,-49.57022941469522,16.879409107678995,0.005,0.9839578312272789,-53.3957007245056,-57.192678886177205,3.7969781616716034
9.0,0.005,0.9847917536926551,-29.959984108983633,-38.465463551277026,8.505479442293392,0.005,0.9733512008221056,-56.58113402768504,-60.00877948748609,3.427645459801049,0.005,0.9851118908843512,-30.794693472157256,-43.906604237909534,13.111910765752278,0.005,0.9653266432859032,-52.490658072253325,-57.941099500211976,5.450441427958651
10.0,0.005,0.9791377588776431,-26.341356099028474,-45.54807663661845,19.206720537589973,0.005,0.9772189352603249,-43.956279060651084,-47.17265131225878,3.2163722516076945,0.005,0.9791222350653687,-28.630815970530108,-41.81363032199548,13.182814351465375,0.005,0.9885499415384913,-46.90929351452859,-59.71990566540808,12.810612150879486
11.0,0.01,0.91027403126657,-20.02601600968561,-31.38978462764298,11.363768617957373,0.005,0.9052039266059148,-43.9599187743473,-47.522527120757644,3.562608346410343,0.01,0.9105166081963391,-20.91306289775254,-24.347771505834757,3.434708608082218,0.005,0.9441457806070495,-47.69890657293729,-57.014181614446215,9.315275041508926
12.0,0.01,0.7540425813157853,-20.737668787317492,-30.736259731504866,9.998590944187374,0.005,0.5827676503620862,-45.46198137860724,-64.63885967382619,19.17687829521895,0.01,0.7550099284993843,-20.852684690592,-26.938169055280596,6.085484364688597,0.005,0.7185835712232761,-46.64909555603161,-60.5126166033004,13.86352104726879
13.0,0.0075,0.5493782904795368,-25.669418162564273,-39.03937699130614,13.369958828741868,0.005,0.045666551835434464,-48.14082288840975,-51.70041649590846,3.5595936074987122,0.0075,0.5617316431868299,-25.90825585458212,-30.046859556990654,4.138603702408535,0.005,0.8655390126637712,-47.95467395944017,-60.405888477702604,12.451214518262432
14.0,0.0075,0.8602046152703756,-24.784359540757684,-35.13076085123488,10.346401310477198,0.005,-0.0868286808482576,-50.999460818756496,-66.29808060677574,15.298619788019245,0.0075,0.8610472954350319,-25.57204124823375,-33.141957357553096,7.569916109319347,0.005,0.8024135460308424,-48.42045814142608,-57.161471796647454,8.741013655221373
15.0,0.01,0.7393416449676211,-22.20207149568018,-30.892766481744005,8.690694986063825,0.005,0.06106273713997608,-53.31088777944129,-70.76926109539943,17.45837331595814,0.01,0.7412716117945806,-23.095590861499183,-30.75516750127095,7.6595766397717675,0.005,0.8986209329187966,-49.7071820316158,-62.88204457517584,13.174862543560039
16.0,0.01,0.8860321178041196,-21.646408347584646,-26.620848990947955,4.974440643363309,0.005,0.3229106880712486,-49.520714869387234,-74.54659642247465,25.025881553087416,0.01,0.8876067730713613,-22.03872149741285,-31.204425128861757,9.165703631448906,0.005,0.8239138621585789,-48.57006923002906,-56.42961399229756,7.859544762268499
17.0,0.01,0.9352546714791828,-21.187754210095328,-31.62913542256951,10.441381212474184,0.005,0.5061289166702722,-52.57739918022036,-55.975027753688295,3.3976285734679337,0.01,0.9341645589189274,-21.44223120296584,-26.288431151781676,4.846199948815837,0.005,0.7654868642719821,-50.50677835704982,-53.80582505025018,3.29904669320036
18.0,0.01,0.8549518165917367,-22.561202172419765,-47.20227794989312,24.641075777473358,0.005,0.5030631813530239,-50.8505659749451,-68.68461943633702,17.834053461391917,0.01,0.8560344207417174,-22.99108161495294,-29.070094794453162,6.0790131795002225,0.005,0.6170558220672766,-49.61408500814842,-82.71339905213283,33.09931404398441
19.0,0.01,0.7774623322544307,-22.891338363642237,-27.83196587985264,4.940627516210402,0.005,0.4400800803225359,-55.20518471203207,-70.89555890610636,15.690374194074288,0.01,0.7749006482781904,-23.216830269617397,-24.28705881694469,1.070228547327293,0.005,0.6579871137347196,-53.708414992307695,-78.43780772002616,24.729392727718462
20.0,0.01,0.8506191401147597,-21.840804144532488,-27.937091394719115,6.096287250186627,0.005,0.8096073181606176,-55.24918377747869,-67.12018559009788,11.871001812619184,0.01,0.8506751167994465,-22.10810957222362,-25.780860625437473,3.6727510532138545,0.005,0.9247208250237158,-51.66477786713098,-53.1884333619069,1.523655494775923
21.0,0.01,0.8147852628029538,-23.199968296664007,-23.93521330023944,0.7352450035754323,0.005,0.6856417656720392,-58.0104089225658,-73.01674664036315,15.00633771779735,0.01,0.8138223094762611,-23.326191090137446,-25.248133333173755,1.921942243036309,0.005,0.8287244167411747,-51.834885243067035,-64.7416906392452,12.906805396178171
22.0,0.01,0.7322269488207015,-22.395482993795635,-26.40761876982255,4.012135776026916,0.005,0.6290645377288814,-58.64362873924438,-81.49878189013727,22.85515315089289,0.01,0.7356383202259404,-22.746741468479293,-26.654729609564516,3.907988141085223,0.005,0.8144848848996942,-50.24645045348885,-59.305647923648415,9.059197470159567
23.0,0.01,0.4335975269428667,-24.724788447166453,-29.46536680887903,4.740578361712576,0.005,0.8744006377177919,-52.697498186027886,-61.0842702908443,8.386772104816416,0.01,0.43702117317296485,-24.782665426863545,-33.79681489187212,9.014149465008572,0.005,0.9480684976709127,-44.78589667673758,-51.58772801485229,6.8018313381147095
24.0,0.015,0.8573161789886548,-16.592373206673084,-18.923862032622154,2.3314888259490694,0.005,0.9590266268292705,-39.916729083710514,-50.958323008764154,11.04159392505364,0.015,0.8524172637887848,-18.011730347158657,-34.220268001249075,16.208537654090417,0.005,0.8662988485540127,-42.83971211258223,-48.20639400182231,5.366681889240084
25.0,0.02,0.8560310123152165,-15.295745776513241,-40.79557493270576,25.49982915619252,0.005,0.5954897891100833,-43.838580970709565,-60.454766231274746,16.61618526056518,0.0175,0.8645887408550106,-14.677350916842721,-30.90741171626601,16.230060799423292,0.005,0.8143719220054898,-45.18965575988002,-56.13304782206516,10.94339206218514
26.0,0.0125,0.7141896204847675,-18.015271853554108,-32.83096674190513,14.815694888351022,0.005,0.16122202258895224,-43.3919873000012,-48.497266494401245,5.1052791944000475,0.015,0.7122176250424301,-18.76173911382523,-29.562720856012177,10.800981742186949,0.005,0.8173324894753551,-43.7537563675679,-63.43124165241211,19.67748528484421
27.0,0.01,0.5410425280759531,-24.951490312816404,-31.5988533827001,6.647363069883696,0.005,0.19331563890339995,-47.27098110536059,-56.243957697665664,8.972976592305073,0.0075,0.5174821676633943,-23.98693948173574,-24.978751361694012,0.9918118799582736,0.005,0.6182632610444068,-44.90316373375693,-50.65721140446762,5.7540476707106905
28.0,0.01,0.7951641411070807,-23.188481555331904,-37.14877076605211,13.960289210720205,0.005,0.6275973184172632,-47.76117609025935,-57.06780971545102,9.306633625191672,0.01,0.8012498865598483,-22.015194330255298,-30.16139136046474,8.146197030209443,0.005,0.9374095910201099,-45.055212751444444,-58.473264735986554,13.41805198454211
29.0,0.0125,0.8703514519626689,-19.50240920337688,-34.51738445590585,15.014975252528966,0.005,0.5770713383190289,-50.04711516599918,-54.61929149722626,4.572176331227077,0.01,0.8679871429063545,-20.011797953349273,-25.54891753431874,5.537119580969467,0.005,0.5706972584331236,-47.35237488798917,-59.94577918742068,12.593404299431512
30.0,0.015,0.8372369029305453,-19.756400681767584,-78.2677988726351,58.51139819086751,0.005,0.4132903512056395,-48.17702677247378,-58.820555846719884,10.643529074246104,0.0125,0.8394930435396156,-19.22481988780638,-38.845961678732735,19.621141790926355,0.005,0.4357658686363202,-47.394836442762895,-64.42737919585821,17.032542753095314
31.0,0.01,0.54732409916221,-24.078159531170456,-35.597020705230754,11.518861174060298,0.005,0.8543067487511611,-51.379840419960054,-85.28771481013676,33.90787439017671,0.01,0.5429273694989696,-24.218905233666774,-42.74911365357421,18.53020841990744,0.005,0.6497225590800821,-51.497693215842645,-54.37240569991194,2.874712484069292
32.0,0.0075,0.5607151533742364,-25.06472458966602,-27.990135160413253,2.925410570747232,0.005,0.4632272678183625,-50.83633927333523,-58.263175427067615,7.426836153732388,0.01,0.5709493415247973,-25.254844862701763,-52.21854396551882,26.963699102817056,0.005,0.6792632201915819,-52.05939966967094,-71.55256706078372,19.493167391112777
33.0,0.01,0.37975766912879455,-23.496151147980253,-27.20835412337495,3.712202975394696,0.005,0.4448906973410666,-52.9959558829629,-64.36570899380615,11.369753110843249,0.01,0.3830660426069563,-23.430962591263246,-26.923422257325132,3.4924596660618867,0.005,0.8235926698977825,-51.54959826855599,-67.10014156965508,15.55054330109909
34.0,0.01,0.5090330805999793,-24.42408437643199,-44.37569489396373,19.951610517531744,0.005,0.5913569871344815,-53.9249911489658,-57.6982180515833,3.7732269026174947,0.01,0.4994219085081923,-23.57342969601134,-35.29259006309516,11.719160367083823,0.005,0.9350712239976956,-47.18172910442885,-51.09641090932473,3.914681804895885
35.0,0.0075,0.30846100537334425,-25.83388962604953,-46.84527333094888,21.011383704899348,0.005,0.6490237129809033,-53.656304806754555,-63.49144623459119,9.835141427836632,0.005,0.3160676763890058,-26.607230139887793,-30.88764623205476,4.280416092166966,0.005,0.9624702260916863,-44.12763544153452,-51.80647079762796,7.678835356093437
36.0,0.01,0.4742530225592853,-22.733775192866894,-56.86704154048,34.13326634761311,0.005,0.6643137466133924,-53.43791855037423,-70.5602610182459,17.12234246787167,0.01,0.467286304579738,-22.063371717829355,-24.702689843455286,2.6393181256259304,0.005,0.9587749995382083,-43.5009715451659,-47.70469489321309,4.203723348047184
37.0,0.015,0.654046025114532,-18.907484592762277,-56.32959861247397,37.4221140197117,0.005,0.9737255673967482,-39.03518710158789,-48.45710862872275,9.421921527134863,0.0125,0.6493816943649178,-18.624974580633832,-25.031456507915927,6.406481927282094,0.005,0.9761769990374841,-41.178791299325646,-58.83014704000837,17.651355740682725
38.0,0.0125,0.6270849411321066,-19.267808015436668,-55.98893182649837,36.7211238110617,0.005,0.6668790310021349,-42.751010914326784,-47.14330128550651,4.392290371179726,0.0125,0.6296140387564176,-18.519611957263976,-32.18203825468901,13.662426297425036,0.005,0.9024877592565013,-40.10357160354096,-49.05758716146604,8.954015557925075
39.0,0.0125,0.6364873573925411,-19.279998739736854,-39.78221315139747,20.502214411660617,0.005,0.32120055972550643,-44.82264124385139,-53.30687520065851,8.484233956807117,0.015,0.6335336919660474,-19.912260489602684,-34.09853330868862,14.18627281908594,0.005,0.9190438560366782,-41.008683450661394,-65.98526450018802,24.97658104952663
40.0,0.0125,0.5822123192025933,-19.71013066602097,-49.56046874038188,29.85033807436091,0.005,-0.13089275752129684,-48.748009580133925,-50.09728357465168,1.3492739945177519,0.0125,0.583809856178865,-19.82775678148904,-30.44408283619857,10.616326054709532,0.005,0.8651611614605532,-46.94170695516182,-48.20581076771326,1.2641038125514399
41.0,0.01,0.6474266644634042,-21.013248306275617,-32.04332066398599,11.03007235771037,0.005,0.6701675659286592,-48.06144309923759,-50.29921689295983,2.2377737937222335,0.0125,0.6413479476344701,-19.937938737157324,-29.198188896993873,9.260250159836549,0.005,0.7276225750098789,-45.83822769676825,-46.264019558934834,0.4257918621665837
42.0,0.01,0.7440723483211179,-21.63360202069704,-24.279717236328363,2.6461152156313226,0.005,0.5871439959464989,-46.29278015322767,-65.59009406292799,19.29731390970032,0.01,0.7497326601935641,-22.039282887233206,-33.06110720681994,11.021824319586734,0.005,0.7892412249628956,-45.44383589586198,-50.82458145459319,5.380745558731213
43.0,0.015,0.8594537148515959,-17.643670476085866,-23.922712617384114,6.279042141298248,0.005,0.6117122342363569,-47.17770412962601,-67.9871319204172,20.80942779079119,0.015,0.8598791124340639,-17.63434707339557,-33.06874062680282,15.43439355340725,0.005,0.3861554758307905,-48.91935302360768,-69.34352587054141,20.424172846933736
44.0,0.01,0.7049607364732032,-20.45937849661682,-33.58251638505932,13.1231378884425,0.005,0.5536493084924208,-50.26350102830758,-54.65110258242046,4.387601554112877,0.01,0.7098673185788024,-21.001102981857905,-28.199375605943434,7.198272624085529,0.005,0.7796940804234282,-44.85568249286754,-68.85980921749886,24.004126724631327
45.0,0.0075,0.4378170315185545,-25.359353485653273,-38.82837334463998,13.469019858986705,0.005,0.56354863285102,-52.77620724262804,-59.99399315888609,7.217785916258052,0.0075,0.43983108464899623,-25.035301158418658,-31.799122842775425,6.763821684356767,0.005,0.1330266383406327,-49.33689404463122,-55.42667811133999,6.089784066708766
46.0,0.0075,-0.14516696895518752,-25.165030176407463,-50.05225420509091,24.88722402868345,0.005,0.3848532909199613,-50.23743939587316,-58.03641684343816,7.798977447565001,0.01,-0.14184879063070593,-24.791986991527345,-55.828489476585645,31.0365024850583,0.005,0.5727263275729276,-48.44361257949039,-60.2625043071944,11.818891727704006
47.0,0.01,-0.09023958591309778,-21.36894072987111,-24.05698991396917,2.688049184098059,0.005,0.27538509249334797,-54.881677826477144,-65.85039776108815,10.968719934611002,0.01,-0.1191271456509827,-21.4492411730639,-24.749121663335067,3.2998804902711676,0.005,0.6593998096442764,-50.997179200540344,-54.113754426990326,3.1165752264499815
48.0,0.0125,0.276557045925663,-19.620860716436816,-25.031545161889884,5.410684445453068,0.005,0.7187828260225038,-51.850297213005454,-60.315291188341924,8.46499397533647,0.01,0.2807047061845217,-20.359298085326508,-40.940829414962195,20.581531329635688,0.005,0.9519841457810113,-43.730777416481594,-51.212529978774526,7.481752562292932
49.0,0.015,0.3393278739331369,-19.787384863153758,-35.54925217252573,15.761867309371976,0.005,0.7751115628705816,-52.65092585977166,-54.715739450669915,2.064813590898254,0.0125,0.34289551246831,-19.225406047771834,-25.389703259056343,6.164297211284509,0.005,0.8629285007398736,-47.29303820107839,-50.05350165128742,2.7604634502090306
50.0,0.0175,0.6974392733193352,-15.60820459851994,-20.977577251467274,5.369372652947334,0.005,0.9702501361904794,-38.2882435982325,-51.947243320984356,13.658999722751858,0.015,0.6911810660760189,-16.58224022813068,-32.580582198812834,15.998341970682155,0.005,0.9502414468367079,-40.40179013999549,-53.58118368271888,13.179393542723389
51.0,0.02,0.748190382973099,-14.891958466351474,-29.520716315671613,14.62875784932014,0.005,0.7967791745066465,-37.632839269839714,-49.63697199537801,12.004132725538298,0.02,0.7505568316159493,-14.783693155810369,-27.99228647929975,13.208593323489382,0.005,0.934953054193406,-40.167414681577405,-54.24356491607081,14.076150234493404
52.0,0.015,0.6818513415647708,-18.766059002643857,-71.22414851040786,52.458089507764,0.005,0.485903875915927,-42.5184750109826,-52.865467543206904,10.346992532224306,0.015,0.6833168286064406,-19.48949990883245,-33.11909756291157,13.62959765407912,0.005,0.8195181099413847,-41.02314894465984,-73.60576465104467,32.58261570638483
53.0,0.015,0.826045059838306,-16.684173951682613,-30.23978805700423,13.555614105321617,0.005,-0.10628248681036344,-42.64131279689363,-50.439910703536555,7.798597906642925,0.015,0.8244702585262247,-16.661937211505546,-32.16823079709307,15.506293585587521,0.005,0.8669933835101099,-42.08052047802879,-50.76885601572282,8.68833553769403
54.0,0.015,0.8444367158217548,-17.099278383495,-33.80047634383789,16.701197960342892,0.005,0.482475968562667,-46.9020533106503,-54.380201557889094,7.478148247238792,0.015,0.8475722188690908,-17.557219180249405,-22.543266588707095,4.98604740845769,0.005,0.8971262775753157,-39.48107917599321,-61.78038166680962,22.29930249081641
55.0,0.02,0.8470484119608284,-14.906692803452323,-26.90376439129521,11.997071587842886,0.005,0.6369418955721063,-45.22132143003895,-48.01139299776858,2.7900715677296333,0.02,0.8461046266266278,-14.457412140916448,-16.45389112867424,1.9964789877577918,0.005,0.8289626612763685,-39.56846911267985,-48.05053461176355,8.482065499083703
56.0,0.03,0.9470487446765375,-11.084374758301097,-28.391669629623504,17.307294871322405,0.005,0.6788890663648308,-43.90896834931829,-68.54051180651054,24.631543457192244,0.03,0.9473084988560805,-10.819380524557706,-12.91705363949095,2.0976731149332437,0.005,0.7517764355236722,-40.085141720679125,-64.96853199585986,24.883390275180737
57.0,0.0275,0.9048554404093316,-11.943148444087246,-25.088502019346407,13.145353575259161,0.005,0.3695740574892383,-48.545106276039306,-64.06623537304765,15.521129097008341,0.0275,0.9060173516769502,-11.898686443012824,-18.42404193370607,6.525355490693247,0.005,0.7562959773442142,-39.737931671936046,-42.03085589773346,2.292924225797414
58.0,0.015,0.7335137887070262,-16.9375533155032,-19.40038210988733,2.46282879438413,0.005,0.6617542465792199,-51.517294497838854,-54.692711387780975,3.1754168899421202,0.015,0.7368863780776156,-16.64933961848596,-20.681065587213272,4.0317259687273115,0.005,0.7201670812062773,-40.9713490638125,-59.64090164935562,18.669552585543123
59.0,0.02,0.6509482180738465,-14.615226709165931,-16.147382489829727,1.5321557806637962,0.005,0.5069685568897112,-47.91362513989198,-75.94867853428941,28.035053394397437,0.02,0.6510210897003353,-14.716421487888212,-18.271686938185596,3.5552654502973837,0.005,0.6498124395694937,-45.62264669302494,-58.22354940934478,12.600902716319837
60.0,0.02,0.6232913673470744,-14.181328662711003,-18.259117323048738,4.077788660337735,0.005,-0.07606697583242433,-53.37396692176504,-73.01440566019893,19.640438738433893,0.02,0.6209488636846613,-14.130750655142819,-17.83141224770399,3.700661592561172,0.005,0.8682288304175471,-43.82203272369131,-53.83843838100687,10.016405657315559
61.0,0.02,0.544254906538181,-15.539729909955309,-20.45379091865761,4.914061008702301,0.005,0.6927917928878763,-50.61933168556357,-55.59751245287572,4.978180767312146,0.02,0.5489816785521816,-15.536414593455328,-23.695893633133398,8.15947903967807,0.005,0.8228526903948051,-44.85693745409036,-60.87758485277522,16.020647398684865
62.0,0.015,0.14253095626092224,-17.357427614945255,-28.178381622746727,10.820954007801472,0.005,0.7006027103510145,-50.66069819025802,-54.6057707900615,3.9450725998034812,0.015,0.1418301382524245,-17.59559043627805,-22.65886441947019,5.06327398319214,0.005,0.7007024199410872,-44.98585962765517,-85.8808116156249,40.89495198796974
63.0,0.015,0.17807698209915981,-16.631854591187427,-25.948797839507087,9.31694324831966,0.005,0.8520655419829986,-43.40309307218242,-47.32067295097562,3.917579878793198,0.015,0.17909301605590208,-17.347434938691823,-44.20282746812926,26.855392529437434,0.005,0.9489712150972227,-39.035514769543795,-53.09317617887815,14.057661409334358
64.0,0.0225,0.4406872087053009,-12.597251575401236,-24.112138604872943,11.514887029471707,0.005,0.8717597755765486,-34.620498213409874,-67.08058849547406,32.460090282064186,0.0225,0.43351643059837547,-13.97703269827591,-26.127255945922066,12.150223247646156,0.005,0.7737682152335289,-40.515898811587874,-47.14513745387868,6.629238642290808
65.0,0.03,0.58150259262547,-10.554779836588242,-16.633653470688124,6.078873634099882,0.005,0.36758897002794144,-41.38605414342577,-43.86253390134105,2.4764797579152855,0.03,0.5770189709357119,-10.636301572301923,-18.93836256126036,8.302060988958436,0.005,0.9087275863919059,-37.88956197120725,-50.62961916202035,12.740057190813097
66.0,0.02,0.5861595843830741,-14.10300387839098,-23.146492993661383,9.043489115270402,0.005,-0.07212524138389588,-43.723491139003414,-53.47390398406966,9.750412845066244,0.0225,0.5946487647520377,-13.447803689504518,-38.254831701993346,24.80702801248883,0.005,0.83860728489832,-40.60412414649322,-58.60478252411703,18.000658377623807
67.0,0.015,0.5346545654071487,-18.35509498068411,-24.019014139731325,5.663919159047214,0.005,0.5587607259059847,-47.772590031512564,-52.36922515288199,4.596635121369424,0.015,0.5343841519364707,-18.56333644811813,-26.64633435102168,8.08299790290355,0.005,0.8036982676113084,-39.442966329357134,-42.92337509149304,3.4804087621359088
68.0,0.025,0.7277956825814623,-12.844912513653544,-13.23503446367087,0.39012195001732586,0.005,0.6983810383368002,-44.26184812423238,-55.4601814425463,11.19833331831392,0.025,0.718518055703155,-13.15393925416489,-23.102870767777418,9.948931513612528,0.005,0.851168453750299,-37.80753689644434,-47.80591461632798,9.998377719883642
69.0,0.0375,0.9300362757420272,-8.284370963380379,-11.107197341095967,2.8228263777155878,0.005,0.6699769719836648,-44.507632863436086,-48.1069395412343,3.599306677798211,0.04,0.929597832930693,-8.541080842605403,-9.900267208624662,1.3591863660192587,0.005,0.9309665910328866,-36.37149027449443,-62.962213029562264,26.590722755067837
