,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.09916022671334218,-65.45266461437465,-73.1596825799298,7.7070179655551385,0.005,0.533708033174054,-93.64838449259146,-95.35620851571238,1.7078240231209207,0.005,-0.03046710424069848,-87.78091783655121,-106.76579772443213,18.984879887880922,0.005,0.06353024956170104,-70.72690413359571,-74.41966204917922,3.6927579155835133
1.0,0.005,0.9505663310388256,-53.284661515463995,-90.06164280514776,36.77698128968376,0.005,0.9794386702172477,-67.45440234452433,-74.63327121584123,7.178868871316908,0.005,0.9784431912252357,-59.43258278198098,-60.315840842087134,0.8832580601061508,0.005,0.9647640807678087,-56.10031848803889,-73.03470446380774,16.934385975768855
2.0,0.005,0.9794913742377225,-35.708233624228214,-80.51921838166622,44.81098475743801,0.005,0.9561577136133399,-64.61527183740773,-72.00290969305,7.387637855642268,0.005,0.9733689430564961,-48.73806219614021,-56.92261576355202,8.184553567411804,0.005,0.9822752966513748,-38.432575144813576,-49.20396271843218,10.771387573618604
3.0,0.005,0.9757071104559683,-35.74157624210333,-46.59791768005149,10.85634143794816,0.005,0.9658097977334906,-61.946911408665486,-66.0670011527378,4.120089744072317,0.005,0.9859092776781027,-39.79843658447809,-44.42402646307947,4.625589878601382,0.005,0.9714648880410343,-36.595594011629245,-40.40092868124859,3.8053346696193415
4.0,0.005,0.9702047831391473,-29.69595687976635,-40.4903137625585,10.794356882792151,0.005,0.9473481657817158,-61.05769140127649,-67.71540379008698,6.657712388810488,0.005,0.9743717069096199,-39.90712964363749,-65.44926254979393,25.54213290615644,0.005,0.9704940157296569,-32.128009980262014,-41.299706541803744,9.17169656154173
5.0,0.005,0.9633450605073757,-27.295589014551396,-55.41376805596286,28.118179041411466,0.005,0.9778592338629758,-54.832138577205214,-66.33138269299677,11.499244115791555,0.005,0.9665574415284435,-35.88017097146838,-62.25939979184772,26.37922882037934,0.005,0.9635207748792957,-27.735536935604358,-34.40845192496293,6.672914989358574
6.0,0.0075,0.9637677938518859,-25.146456282422175,-39.43206489052891,14.285608608106738,0.005,0.890100880708734,-57.055528473192055,-65.84417951588472,8.788651042692663,0.005,0.9639854215735443,-36.21105171356525,-47.7299673040297,11.518915590464452,0.005,0.9644665324724707,-26.311187520496272,-55.25623732964691,28.945049809150635
7.0,0.01,0.9640920993928611,-21.469827199306785,-47.01587608757692,25.546048888270136,0.005,0.9580129831174067,-52.987075553989946,-53.677757451144984,0.6906818971550379,0.005,0.9637645167680385,-33.593697594703684,-60.131976920481506,26.538279325777822,0.01,0.9646579743925906,-22.191235277743957,-45.252797480949134,23.061562203205177
8.0,0.005,0.9558197430561444,-27.461404172778536,-40.040457776669676,12.57905360389114,0.005,0.9212851166724702,-52.6378713889829,-64.13550551826216,11.497634129279263,0.005,0.9664721572462996,-34.31132218658827,-50.62208445177788,16.31076226518961,0.005,0.9517282951236923,-28.68653198334083,-41.36935493373318,12.682822950392346
9.0,0.005,0.8642384829741795,-34.733386579764336,-74.4986184683866,39.76523188862226,0.005,0.9508341388833984,-56.0252127916943,-61.156046525992295,5.130833734297994,0.005,0.9122675830983856,-37.61224465097142,-63.036539409035804,25.424294758064384,0.005,0.7559433629102679,-39.72339804144955,-71.72096979860973,31.99757175716018
