,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,-0.06571798789184341,-74.56382768968233,-80.58442760296195,6.020599913279625,0.005,-0.38507540459859824,-88.41768962407562,-132.66632423533463,44.24863461125901,0.005,0.17084661808585405,-84.9305235382846,-95.62323499659104,10.692711458306434,0.005,0.07405124374602272,-89.29129838526505,-96.77475011751955,7.483451732254494
1.0,0.005,-0.09070070069385437,-46.60502789478342,-55.975449732075646,9.370421837292227,0.005,-0.01340398119938058,-67.93767074227927,-79.19118081345817,11.253510071178908,0.005,-0.3616473213758335,-44.93001789349282,-46.22568053992774,1.29566264643492,0.005,0.070163290921553,-79.91444221447544,-88.89487855480532,8.980436340329874
2.0,0.005,0.28489298520060763,-35.85704219895601,-42.89229612983079,7.035253930874781,0.005,0.811539994812884,-45.947154315536764,-54.3203603492752,8.373206033738434,0.005,-0.2893757556280445,-38.77762580394426,-50.55362093951779,11.775995135573531,0.005,0.016251942648339256,-69.96666301654295,-97.08549908343313,27.118836066890182
3.0,0.005,-0.07162641929754392,-39.09785308727419,-63.6824669958104,24.584613908536213,0.005,0.7600926529300978,-42.167845406281415,-71.53774760182836,29.369902195546942,0.005,-0.384502623851534,-37.90071273972849,-51.76398237577641,13.863269636047917,0.005,0.057986358129814945,-71.07366086695065,-75.19649800803562,4.122837141084972
4.0,0.005,0.17835946117311235,-38.12919175181745,-48.328750699385424,10.199558947567972,0.005,0.8248684876307161,-43.12440470212535,-50.78907743716039,7.66467273503504,0.005,-0.33031145426214337,-39.336002617474335,-98.00927887590711,58.67327625843278,0.005,0.07240531397683778,-71.41944461210143,-100.87203001400006,29.45258540189863
5.0,0.005,-0.10673137208593866,-37.043322186538624,-40.4693810963346,3.4260589097959766,0.005,0.4764671867812187,-44.4643471445234,-52.15520064742603,7.690853502902627,0.005,-0.32029929154557807,-37.65676967100826,-37.65676967100826,0.0,0.005,0.030490210371933165,-69.88497499446159,-91.01571489200067,21.130739897539087
6.0,0.005,0.27818048900508663,-36.19972518110674,-62.52262786312308,26.322902682016334,0.005,0.7375809821706286,-41.09033995838949,-61.02136108563309,19.931021127243596,0.005,-0.17706487469277316,-37.70310710099887,-61.0563778818252,23.35327078082633,0.005,0.10321718186741188,-70.9996585485653,-85.65107534220408,14.651416793638788
7.0,0.005,0.1399197189899206,-34.19536668535813,-47.58475699237482,13.38939030701669,0.005,0.5348172201724364,-45.69126982248492,-45.74808807203492,0.056818249549998256,0.005,-0.08865343843508194,-36.94280521813511,-48.32043435535353,11.377629137218413,0.005,0.035036136146282246,-70.9051384507768,-83.77169821488975,12.86655976411295
8.0,0.005,0.34390661991758276,-36.53829513279393,-72.0650532955001,35.52675816270618,0.005,0.7192255169389671,-44.181403535182746,-46.91428118122083,2.7328776460380837,0.005,-0.1178437130165806,-37.93605887236096,-57.83610278340845,19.90004391104749,0.005,0.048073481951691366,-71.09215895401098,-83.05049216695592,11.958333212944936
9.0,0.005,0.26609076261210013,-35.256657378383444,-55.16309235036478,19.906434971981334,0.005,0.7150185665971879,-43.423885768423204,-49.96020832222483,6.536322553801625,0.005,-0.12032664377798828,-38.30207125312665,-56.92236606102858,18.620294807901935,0.005,0.02078906534138352,-72.02498325097402,-79.2966321364731,7.271648885499076
