,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.08783267082891086,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.8813374013066195,-94.86782813111901,-94.86782813111901,0.0,0.005,0.4314318495159585,-93.79925892571003,-107.52273280430288,13.723473878592841,0.005,0.02653629885495292,-92.13227630226514,-102.82078420670288,10.688507904437742
1.0,0.005,0.6765996113383339,-62.3501985257536,-65.70002027162887,3.349821745875275,0.005,0.8896063560507966,-67.85915315688891,-73.39162905040968,5.532475893520768,0.005,0.46984332177951116,-70.69061739473402,-100.95978081165552,30.2691634169215,0.005,0.26687904349404107,-75.67017872944498,-116.62800710643212,40.95782837698714
2.0,0.005,0.21259544261081725,-58.94496421785445,-69.48114499602985,10.536180778175407,0.005,0.5453145204649889,-66.79946776108017,-69.22139587542154,2.4219281143413696,0.005,0.45100079151035055,-63.49078759444631,-69.03521881475375,5.5444312203074375,0.005,0.5156392058003884,-61.07514258985554,-74.3790265793463,13.303883989490764
3.0,0.005,0.600697677816767,-55.34523815907035,-68.03013165305762,12.684893493987275,0.005,0.6906529073259823,-59.25596577542949,-64.04178415889724,4.785818383467756,0.005,0.4663513389267501,-61.03587485955818,-95.24898705843293,34.213112198874754,0.005,0.4623043396303637,-61.43306883423297,-79.97163894107436,18.53857010684139
4.0,0.005,0.7505800668171205,-34.847904831909105,-73.40703789890921,38.559133067000104,0.005,0.9549036720504972,-52.98773625293048,-63.7733278035919,10.785591550661415,0.005,0.892785207907801,-53.328886478631084,-55.7969509971136,2.468064518482514,0.005,0.30211175111623184,-39.88550867900683,-101.05062005557612,61.165111376569286
5.0,0.01,0.2817928412841836,-22.219166344020636,-35.145906259846555,12.92673991582592,0.005,0.16438622755377502,-28.860399659425596,-30.982853611965922,2.122453952540326,0.005,-0.04889025644367278,-33.22907510354739,-45.24487204314437,12.015796939596981,0.005,0.18203409991777508,-26.661374282771813,-56.21846904913774,29.557094766365925
6.0,0.015,0.5209378342678092,-19.2970945494078,-32.13929832162136,12.842203772213562,0.005,0.6055563827756829,-30.226372755940318,-31.326210790543886,1.099838034603568,0.0075,0.5966591057153994,-24.85382592421974,-27.225217659681185,2.3713917354614438,0.01,0.3631291102072034,-21.45764860090801,-37.85435165537857,16.396703054470564
7.0,0.02,0.8292254607667141,-14.028044279282367,-37.053842065562876,23.025797786280506,0.01,0.8413278272202337,-22.134773319661996,-37.237222849557845,15.10244952989585,0.015,0.8127318117653871,-16.615521488680272,-20.364795562107826,3.7492740734275536,0.005,0.2732682767783423,-28.569926637419844,-50.602853817427516,22.032927180007672
8.0,0.03,0.5755393203342559,-10.762759231255837,-25.65415744477962,14.891398213523784,0.01,0.45432913007929654,-22.7340214640174,-30.867595232146332,8.133573768128933,0.0325,0.6060597833518085,-10.20811889849325,-32.101074847066165,21.892955948572915,0.0075,0.42543820756463585,-25.815756069703273,-37.35810968195535,11.542353612252075
9.0,0.035,0.6858779736626989,-9.876117977445496,-42.9246815509915,33.048563573546005,0.01,0.36608691485288236,-24.916553915574156,-26.979755528466214,2.0632016128920583,0.0325,0.7207743917729963,-9.531525236418409,-16.219114948905442,6.687589712487034,0.005,0.548357655819133,-29.227436377424226,-68.55804425343513,39.3306078760109
10.0,0.0375,0.7176873298230694,-8.400032168431913,-19.962441053306886,11.562408884874973,0.0075,0.5971489911467169,-23.374765679025632,-28.871212715224214,5.496447036198582,0.03,0.7328800908363607,-10.36302348152563,-26.311818962030117,15.948795480504486,0.005,0.44409127737438403,-30.096102205326808,-43.22060765096271,13.124505445635904
11.0,0.035,0.7939684430514259,-9.020587730522486,-20.640105737223653,11.619518006701167,0.01,0.7289565026978798,-21.81380090365267,-34.25563697922292,12.44183607557025,0.03,0.8037294485511418,-10.430301378673468,-21.528960650088433,11.098659271414965,0.005,0.5188853500367513,-34.54167828378483,-56.93427806357506,22.392599779790224
12.0,0.0325,0.820854547363821,-8.733339495255091,-16.05937194315598,7.326032447900889,0.01,0.8404261349280395,-22.42799107203739,-65.686486373141,43.25849530110361,0.03,0.834106911156052,-10.326665971813947,-28.280629874576498,17.953963902762553,0.005,0.5643309362142582,-32.928357035155884,-47.311554375760196,14.383197340604312
13.0,0.0275,0.8503271208543306,-11.201016966409016,-24.570891639746858,13.369874673337842,0.01,0.796811744766094,-20.947581822028845,-30.475184696090935,9.52760287406209,0.0275,0.8581500154340738,-11.308892715874464,-28.394914177483685,17.08602146160922,0.005,0.7342873474094352,-32.652256072859124,-47.08024256278149,14.427986489922368
14.0,0.03,0.8298897856964461,-11.115771293724448,-29.095041892122122,17.979270598397676,0.01,0.7995355537575422,-20.767050081801408,-23.034227222548303,2.2671771407468952,0.025,0.8411630279959451,-12.54049364050731,-24.662533512003044,12.122039871495733,0.005,0.6152428472682657,-34.40186974174756,-44.55969280264901,10.15782306090145
15.0,0.03,0.8688775525705218,-10.09282674895023,-47.83196587985263,37.7391391309024,0.01,0.8330524051155813,-20.447173118567147,-30.938534650510377,10.49136153194323,0.0225,0.8849073748983604,-12.86175432117458,-16.42344927335789,3.5616949521833092,0.005,0.7090556297780504,-35.60977294248775,-58.60031688798096,22.990543945493208
16.0,0.0275,0.8577453977414715,-11.913843089156476,-18.042735470085162,6.128892380928686,0.01,0.801027896218994,-20.086090490877165,-23.024723853108156,2.9386333622309913,0.025,0.8454414930955976,-12.152863520300318,-27.183901466740906,15.031037946440588,0.005,0.7604590087451158,-33.92526777667357,-57.812572253029124,23.887304476355553
17.0,0.0275,0.8418716769274488,-11.648368797146249,-27.87123899712073,16.22287019997448,0.01,0.8274560492343606,-20.639941486083227,-33.33993922658528,12.699997740502052,0.025,0.870833641073545,-12.26524460928374,-16.823426024526576,4.558181415242835,0.005,0.7228730375790039,-36.105855540916004,-56.028538553326605,19.9226830124106
18.0,0.0225,0.8469355809568464,-13.047302192787162,-14.05607837453198,1.0087761817448175,0.01,0.8074244725758678,-21.397212329393515,-32.7916315679714,11.394419238577886,0.0225,0.8478741718816364,-13.66338347147521,-25.481392460594193,11.818008989118983,0.005,0.7606134451565577,-37.390918853401466,-43.40401233070572,6.013093477304253
19.0,0.0225,0.8144884989943818,-13.022337598526496,-44.37569489396373,31.353357295437235,0.01,0.7686082143702053,-21.136927549842266,-34.3454178166148,13.208490266772532,0.02,0.8399197486121424,-14.237954265644374,-32.5865929277126,18.348638662068225,0.005,0.7723586105269811,-36.33013666601161,-63.62920149848732,27.299064832475707
