,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.2692447640325492,-69.48114499602985,-84.28839878591472,14.807253789884868,0.005,0.7655917661113044,-83.34910568934083,-83.45742068745402,0.10831499811318679,0.005,0.7317981479732955,-82.35594645758894,-96.46445256370411,14.108506106115172,0.005,0.05242800640118553,-76.55314110270469,-81.82366642223259,5.270525319527906
1.0,0.005,0.8413999866152285,-32.41160556428931,-33.04254149678523,0.6309359324959232,0.005,0.9903417152327006,-53.84475962759262,-59.638527927355156,5.793768299762533,0.005,0.8929505199850613,-39.832145075665515,-45.528544867512764,5.696399791847249,0.005,0.681316980842886,-35.75954063672481,-40.87897997803404,5.119439341309231
2.0,0.0075,0.6135690305142786,-25.74612654723952,-38.159898234900986,12.413771687661466,0.005,0.619762523487192,-49.148146167158714,-77.10000590302104,27.951859735862328,0.005,0.791802884624697,-35.08576655870763,-51.39429184013377,16.308525281426135,0.005,0.5425603817193682,-29.567135099404453,-56.69313989697129,27.126004797566836
3.0,0.01,0.619824500599563,-21.4187345725135,-52.807773431360346,31.389038858846845,0.005,0.5740620476101173,-49.72277064142059,-70.93721031998298,21.214439678562393,0.005,0.5754512607162405,-28.511593773341307,-30.596278358597008,2.084684585255701,0.0075,0.6079520599585103,-25.79080851677648,-42.2586977402727,16.467889223496222
4.0,0.015,0.7599384674611487,-17.595303448249908,-23.964451715665952,6.369148267416044,0.005,0.9285862883388186,-34.76460436337948,-49.602076267296276,14.837471903916793,0.01,0.8964228873676556,-20.52139078516592,-29.88587893170642,9.364488146540499,0.01,0.6281445876902954,-21.62541818205803,-30.84839198261728,9.222973800559249
5.0,0.025,0.8550213198342757,-12.693869808990147,-28.050199177512752,15.356329368522605,0.005,0.9743947520634599,-27.580148231722326,-48.26006520244118,20.679916970718857,0.02,0.9312374374956205,-15.402430110011238,-45.00158548927431,29.599155379263074,0.0125,0.6144091136166965,-19.132346298088187,-30.219304695781688,11.0869583976935
6.0,0.015,0.5950709885755882,-17.398588401076875,-32.534179485536505,15.13559108445963,0.005,0.772986714759284,-37.15510230789032,-50.851420709768405,13.696318401878088,0.01,0.7304940286254092,-20.852131645580204,-52.18623795374468,31.334106308164476,0.01,0.4864058373032047,-23.1020739332388,-28.926819404663348,5.824745471424549
7.0,0.0175,0.880492908169584,-16.20198944148012,-35.36076254146589,19.15877309998577,0.005,0.9856122839947304,-28.238346141952814,-41.697744305973,13.45939816402019,0.015,0.9397034179761637,-18.38246173722658,-41.927591356116444,23.545129618889863,0.01,0.4640648278165743,-24.140651344250173,-37.20033223961404,13.059680895363869
8.0,0.015,0.4815690378510088,-18.45214503657235,-37.72080671713998,19.26866168056763,0.005,0.5625796820226081,-39.33441810201685,-57.08199921298356,17.747581110966713,0.01,0.5858151904862259,-21.766583102857915,-46.838071071170695,25.07148796831278,0.01,0.42767699966821815,-22.91124819459585,-37.035214114997274,14.123965920401425
9.0,0.09,0.9665812120489244,0.0,-23.6440847199551,23.6440847199551,0.0175,0.9960060340667501,-15.568216452273361,-23.540906263758544,7.972689811485182,0.0725,0.9732938243501668,-2.7939424310069816,-27.030505587116185,24.236563156109202,0.065,0.9326998889081327,-3.0819972377443423,-25.209026450444444,22.1270292127001
10.0,0.0525,0.9040294303678712,-5.953005100252011,-22.096827847827,16.14382274757499,0.01,0.9946848924131189,-23.603086484368138,-32.7756327079874,9.17254622361926,0.045,0.9178852877295341,-6.435029711604252,-15.852795427663757,9.417765716059506,0.025,0.7870562937428104,-12.893618497165015,-27.94485429992342,15.051235802758406
11.0,0.04,0.8381609648572328,-8.734788592628833,-18.45214503657235,9.717356443943517,0.005,0.9782027429835655,-27.88266408292534,-39.52104504992341,11.638380966998067,0.0325,0.8667538189906493,-9.298566603741875,-20.30649013133466,11.007923527592784,0.015,0.585413652631497,-17.215253397721696,-50.2002114635294,32.9849580658077
12.0,0.0275,0.7934261307624539,-10.864015979942444,-21.5223448225891,10.658328842646657,0.005,0.9370691299338216,-34.6109553650053,-39.69186504664454,5.080909681639234,0.0225,0.8425928469570187,-12.363252204071241,-23.516464099991353,11.153211895920112,0.01,0.39018358149916327,-20.196049822327925,-30.1893720503885,9.993322228060574
13.0,0.095,0.9695212681475924,-0.46413076565856975,-25.65924137213463,25.19511060647606,0.02,0.9980269851945351,-14.984693662606809,-26.986998324535048,12.002304661928239,0.0875,0.9720968593888456,-0.37537789566260366,-19.22307216841872,18.84769427275612,0.05,0.9302772764518176,-5.623166864433408,-40.19350447251707,34.57033760808366
14.0,0.045,0.8751671597641326,-7.728097501435197,-25.27623429023012,17.548136788794924,0.01,0.9898135860819376,-25.13880463438211,-31.714772356710334,6.5759677223282225,0.035,0.9025611489223051,-10.329486240454532,-20.22124385477045,9.891757614315917,0.02,0.752998716310962,-14.192542336695642,-61.04480414965024,46.852261812954595
15.0,0.0325,0.8066194216030322,-9.767717456173449,-20.428691204051482,10.660973747878034,0.005,0.9749989806292062,-28.03022344779798,-35.34432002002445,7.314096572226468,0.0325,0.8343872793597509,-10.351714764676295,-40.81933187590553,30.467617111229238,0.0175,0.6033527302585412,-15.48719563246066,-26.260736759158426,10.773541126697767
16.0,0.025,0.7473442594409367,-12.946694592650017,-19.425156483893705,6.478461891243688,0.005,0.8419291650031584,-33.35729039818004,-45.72409645997399,12.366806061793952,0.0225,0.7819840955559124,-13.752390861266715,-43.81489224591299,30.06250138464628,0.01,0.4896639532432367,-20.194850177286554,-41.98670849107546,21.791858313788907
17.0,0.0875,0.9569257606160495,-0.9441204061504287,-16.503304648941764,15.559184242791336,0.0225,0.9922631499112033,-12.630315323557644,-17.076867699974557,4.446552376416912,0.075,0.9650957811993385,-1.6164162065546668,-23.749931615219992,22.133515408665325,0.0425,0.8491925379971845,-6.1713714106062305,-41.955705778030804,35.78433436742458
18.0,0.04,0.715674557907821,-8.736237931800906,-16.452060313649756,7.7158223818488505,0.0225,0.95367855056178,-13.154624202799958,-28.26879131085173,15.11416710805177,0.02,0.5432975873845081,-14.051047682102219,-22.88077184495863,8.829724162856412,0.01,0.4963205766983902,-21.652725319493822,-33.23223186033812,11.579506540844296
