,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.031100745946189595,-71.22414851040786,-90.30899869919435,19.08485018878649,0.005,0.14400105452440398,-84.56239420188061,-85.58241609511869,1.0200218932380807,0.005,-0.07819887647057058,-82.56341126395478,-88.28874363136534,5.725332367410559,0.005,0.04590618210869572,-76.28941743978399,-91.55964141193422,15.270223972150234
1.0,0.085,0.996700692637536,-1.0562478477468003,-20.83342200625986,19.77717415851306,0.0525,0.9985030698280586,-5.8034037605558275,-46.81840405544091,41.015000294885084,0.0375,0.996384965991668,-8.702729376865397,-16.28140125319845,7.578671876333052,0.0475,0.9748715058148992,-6.669300501628142,-45.974779696507454,39.30547919487931
2.0,0.0475,0.9948644198844016,-4.7001631332260265,-22.625515923053683,17.925352789827656,0.0525,0.9993264668878457,-5.9652798100793785,-18.45437845899869,12.489098648919311,0.0275,0.9896787373606317,-11.412804781743278,-31.833238398206667,20.42043361646339,0.01,0.7701906744147963,-24.451879386993866,-38.402474550822774,13.950595163828908
3.0,0.0425,0.9955288840941685,-7.437462056014436,-15.165634854908907,7.728172798894471,0.0375,0.9962295773397329,-9.014065214282468,-11.452041207115615,2.437975992833147,0.01,0.9619247239499461,-21.86744121883835,-32.49682258459985,10.629381365761496,0.005,0.7880025775272692,-29.071141107962358,-54.18053155688942,25.109390448927062
4.0,0.025,0.9941865662886199,-12.798513420208184,-13.4455894087964,0.6470759885882149,0.03,0.9972763246104897,-9.955309919968679,-13.502193997850608,3.546884077881929,0.005,0.7524548766496632,-29.276047199178848,-49.98713556510131,20.711088365922464,0.005,0.7626030462805863,-33.921883178216646,-65.8002541033326,31.87837092511596
5.0,0.025,0.9974327385651373,-13.351378750286854,-24.499402432580894,11.14802368229404,0.025,0.9984182580723113,-13.398765917207093,-29.98529260624471,16.586526689037616,0.005,0.7191626623568695,-34.08320639622009,-38.73763116827977,4.654424772059677,0.005,0.7548675126101988,-35.34707710271658,-57.48991522944257,22.14283812672599
6.0,0.0225,0.850194129158333,-12.903262119342532,-49.095041892122126,36.1917797727796,0.01,0.9963121132640772,-20.330749340813995,-26.853656132457186,6.522906791643191,0.005,0.8307426383175109,-28.222584020009805,-44.27569675148029,16.053112731470485,0.02,0.6876903301515218,-15.403738720348306,-59.13769152281439,43.733952802466085
7.0,0.0175,0.710405194949193,-15.2266208146861,-20.467766608942377,5.241145794256276,0.005,0.9967160330223842,-26.808574962534188,-37.54642891989581,10.737853957361622,0.005,0.760466826582338,-30.184013184990427,-41.58324487144638,11.399231686455956,0.015,0.6514056024685848,-17.446640916784443,-20.648632343130537,3.201991426346094
8.0,0.02,0.7492619477910816,-15.680446958175395,-26.177877817213762,10.497430859038367,0.005,0.9939394124382409,-28.844038047755177,-29.816150692800214,0.972112645045037,0.005,0.7889296432485435,-29.40411705376798,-46.783418553945175,17.379301500177196,0.015,0.7268560437906932,-17.628394660406556,-38.21302010660035,20.58462544619379
9.0,0.0175,0.7321979754311193,-16.32959861247398,-29.379095412500188,13.049496800026208,0.005,0.9830676752937906,-29.866760358121283,-55.43001280096484,25.563252442843556,0.005,0.8101063315523134,-31.481717520702176,-43.87446154560497,12.392744024902797,0.0175,0.7165659514024583,-16.301783472575107,-34.87798344406674,18.576199971491636
10.0,0.0725,0.9198131310006568,-0.8451005150956031,-8.289188237795063,7.44408772269946,0.005,0.9834234554382216,-30.25161282220712,-30.25161282220712,0.0,0.0575,0.9831903257664891,-4.32222467451023,-19.492199271495814,15.169974596985583,0.05,0.834880987239897,-5.685191571539966,-26.22216841809161,20.536976846551642
11.0,0.0825,0.9828004854378937,-0.9485541693125332,-26.21574846422998,25.267194294917445,0.0525,0.9989865900420408,-5.600831542325658,-28.254948217639104,22.654116675313446,0.0475,0.9690235168728243,-5.8282261333643595,-36.95681548962092,31.128589356256562,0.03,0.7898973898222009,-10.135070112647629,-27.937288099924984,17.802217987277356
12.0,0.055,0.9854685202889086,-5.063300011639472,-10.066601983104091,5.0033019714646185,0.0375,0.998110056182266,-8.92594358366322,-12.969289292322665,4.043345708659446,0.025,0.9539441585330057,-11.606135171663032,-36.2330783573547,24.626943185691665,0.015,0.798348229538444,-17.677906514680153,-33.8050414003379,16.127134885657746
13.0,0.0475,0.987610867371038,-6.349060747251638,-23.86461280451597,17.515552057264333,0.0375,0.9990591494007066,-8.028009987976331,-17.225179242353953,9.197169254377622,0.015,0.9115094231638797,-18.24758232674138,-47.22736912305646,28.979786796315082,0.0125,0.835196495136688,-19.212794386828893,-82.53448295048267,63.32168856365378
14.0,0.0325,0.9878114123614021,-9.945811228376154,-61.06103874121523,51.11522751283907,0.025,0.9983441703481516,-13.49352016216248,-18.966060882401795,5.472540720239316,0.0125,0.9527843945661967,-18.28372697638953,-35.57464448684877,17.290917510459238,0.01,0.8628548192147141,-21.94731597306149,-39.32142142269697,17.374105449635483
15.0,0.0275,0.9098189384752081,-12.028485665267784,-31.927436851672873,19.89895118640509,0.0125,0.9947059838508076,-19.000863597482308,-32.44495307034517,13.444089472862863,0.01,0.9693988633181821,-21.32130913798075,-29.551938951711115,8.230629813730364,0.0175,0.7466880032537356,-16.00706006210966,-26.86140331848206,10.854343256372402
16.0,0.0225,0.8619183914865338,-13.929972466390904,-29.528652259246115,15.598679792855211,0.01,0.9986321298174818,-21.605363286238553,-26.698673243476797,5.093309957238244,0.01,0.9672618763826802,-24.152617948286796,-56.95960206472371,32.806984116436915,0.015,0.716122696374426,-17.808563847086283,-32.27344622809508,14.464882381008799
17.0,0.0175,0.8806528700084432,-16.272460091251567,-20.34278762340235,4.070327532150785,0.0075,0.9952709194827452,-25.445813853027225,-34.6555880260015,9.209774172974278,0.01,0.9769755949503257,-22.656956199602657,-41.97668367337708,19.319727473774424,0.015,0.8113845302927605,-17.801962852132995,-22.965389273707007,5.163426421574012
18.0,0.015,0.8709981075979087,-16.635452722820517,-54.60240199897902,37.9669492761585,0.005,0.9958230370694969,-29.41120414152494,-49.43187445522797,20.02067031370303,0.0075,0.9767905410421438,-25.89542551837262,-38.936860314883475,13.041434796510856,0.01,0.7831906796466878,-20.263957722326484,-26.828396461829275,6.5644387395027906
19.0,0.015,0.80995779957831,-18.98968235026102,-61.06103874121523,42.07135639095421,0.005,0.9711484757135053,-36.80803814315607,-50.72784975249189,13.919811609335824,0.005,0.9701429098731582,-28.215225855608473,-39.94246998810834,11.72724413249987,0.0125,0.7517946292219435,-18.89068018154242,-36.250947635276404,17.360267453733982
20.0,0.0825,0.9957776316340285,-1.212711056527339,-24.288398785914733,23.075687729387393,0.05,0.9990420248738656,-6.0327503374510645,-8.934110771982532,2.901360434531467,0.0375,0.994696261900902,-8.817243060297251,-22.018929008613412,13.201685948316161,0.045,0.9507956322180018,-7.939396622699552,-48.635235258409566,40.69583863571001
21.0,0.04,0.992059564917114,-6.827802544693851,-16.184887861554948,9.357085316861097,0.0375,0.9972953508473696,-7.529148843664611,-49.987508118900024,42.45835927523541,0.015,0.9836869286365706,-16.925086079455138,-41.262645128545174,24.337559049090036,0.005,0.741568720291712,-28.394156059187623,-56.11005381841166,27.715897759224035
22.0,0.0475,0.9973394369302725,-6.626531614400935,-16.301848142741157,9.675316528340222,0.0425,0.9984619876040302,-7.128912865135719,-18.459053847873072,11.330140982737353,0.005,0.9119997053462101,-27.38853554728371,-60.871785653938375,33.483250106654666,0.005,0.764605371222371,-30.272912708830546,-76.4898983178196,46.21698560898905
23.0,0.025,0.9974304078493328,-13.203462622592522,-17.380924174732968,4.177461552140446,0.0225,0.9985613470763922,-13.607882530997415,-18.911182958460678,5.303300427463263,0.005,0.6982739217040729,-34.454091790371926,-39.21332213119107,4.759230340819144,0.005,0.7906986566600012,-33.64141385487828,-53.88058839608612,20.239174541207838
24.0,0.02,0.9358062373243557,-14.475185718791996,-28.454585805512373,13.979400086720377,0.015,0.9970548537094499,-17.192884539897708,-33.199228837997154,16.006344298099446,0.005,0.8774668054846257,-32.412580498920725,-37.127724814362,4.715144315441272,0.0125,0.6644695601781111,-18.893667886130075,-27.486738420287043,8.593070534156968
25.0,0.0225,0.7766784235982033,-13.209525224666018,-25.27623429023012,12.066709065564103,0.01,0.9974603669721983,-22.486558749383832,-36.11309523783252,13.626536488448686,0.005,0.81677562872142,-30.394967657849314,-73.57659020284677,43.18162254499746,0.015,0.6476813369033267,-16.881901806025283,-38.7918615453123,21.909959739287018
26.0,0.0175,0.7593250518942607,-15.493852233038945,-21.896683286679057,6.402831053640112,0.005,0.9978100169368975,-27.875778848905476,-45.58459216115932,17.708813312253845,0.005,0.833044514577599,-33.327732570540974,-52.037996239329786,18.710263668788812,0.0175,0.7386430180934812,-16.474731504206737,-32.85206889225353,16.37733738804679
27.0,0.0175,0.8223169028268617,-15.31736400188317,-27.773387158954176,12.456023157071005,0.005,0.988819269405828,-29.765801254670198,-38.44475393879256,8.678952684122361,0.005,0.8691233764459346,-32.17580483082129,-38.16987135449034,5.994066523669048,0.015,0.7953945349507685,-17.699699166564752,-69.1853970053534,51.48569783878864
28.0,0.0125,0.7738654303216999,-18.478802519301272,-28.52503136309138,10.046228843790107,0.005,0.964260098617253,-35.23040381176952,-49.09310598447588,13.862702172706364,0.005,0.762989491480775,-33.929717185762776,-43.352872774101066,9.42315558833829,0.015,0.7702081044878991,-18.375608955513272,-25.524846594440337,7.149237638927065
29.0,0.0875,0.9790519038961855,-0.9458936398356752,-10.203672039738983,9.257778399903307,0.055,0.9987815610364108,-5.426179149772123,-25.264459364387882,19.838280214615757,0.065,0.9492166748509555,-3.4614719788114714,-60.45381792351651,56.992345944705036,0.05,0.8784333434867869,-5.818210248012553,-33.37060803230705,27.55239778429449
30.0,0.0525,0.9796178848743681,-4.598302576793748,-14.082861897567634,9.484559320773887,0.045,0.9993639349381257,-7.077323589668138,-12.091043032651532,5.013719442983394,0.035,0.9641589612143224,-9.161665595553512,-32.17105144641197,23.00938585085846,0.015,0.750574590065809,-16.480047135663675,-32.04001819560665,15.559971059942974
31.0,0.0425,0.9801456395491063,-7.505125127621732,-22.277541785665438,14.772416658043706,0.035,0.9967486590726172,-9.448031951521937,-26.939891521879197,17.49185957035726,0.02,0.9138419915606129,-13.96637245104321,-56.97032220316785,43.00394975212464,0.015,0.8391864759922322,-17.586380889514423,-60.02904079629378,42.442659906779355
32.0,0.0325,0.9858207915143238,-10.424415882840389,-21.62720593083654,11.20279004799615,0.02,0.9987027778531978,-14.679218037246354,-16.74105511327998,2.061837076033626,0.0175,0.9647659422622069,-15.582504814922054,-25.222313657531398,9.639808842609344,0.0125,0.8662881223141321,-18.02631382960215,-37.48885413145349,19.462540301851345
