,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.11849256247194849,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.5444481811563352,-101.75061958835867,-119.97290457226751,18.222284983908835,0.005,-0.10935426655184376,-91.78867702901401,-106.85583590066891,15.067158871654897,0.005,-0.17918568162414666,-89.71909888653487,-93.48356140594984,3.764462519414977
1.0,0.005,0.9442472574563363,-49.40253912346121,-53.787502645177824,4.384963521716614,0.005,0.8999237589117439,-69.06506938360486,-69.78489608838456,0.7198267047796918,0.005,0.9384010985365525,-50.18697964468344,-53.57051617670096,3.383536532017523,0.005,-0.18944722115317603,-83.0523067608681,-93.73458314016078,10.682276379292674
2.0,0.005,0.8942452224086153,-35.92237295951982,-73.40703789890921,37.48466493938939,0.005,0.9021237695507419,-47.560433334033206,-50.44448103294589,2.8840476989126813,0.005,0.9440290227085468,-37.00876311563019,-46.002503343323546,8.993740227693358,0.005,-0.35823516669351146,-83.2964290871322,-121.12379621794213,37.82736713080993
3.0,0.005,0.8473717357556888,-34.433191005377985,-47.83196587985263,13.398774874474647,0.005,0.7859512359122764,-45.080926212434285,-46.91309402606964,1.8321678136353583,0.005,0.8571675457282338,-34.172105163059385,-40.66821229867646,6.496107135617073,0.005,-0.3310187281980836,-84.39147584381102,-94.68878601449478,10.297310170683758
4.0,0.005,0.8208197607131127,-34.86256456473596,-42.280987883563476,7.418423318827514,0.005,0.8094401306514312,-45.99242330527239,-77.71975147811168,31.727328172839286,0.005,0.8177385675821948,-35.21201793971133,-39.931001356631164,4.7189834169198335,0.005,-0.3543937887498791,-84.69136454716218,-94.90586322313787,10.21449867597569
5.0,0.005,0.6255168394024854,-35.08548243607973,-51.128170852772485,16.042688416692755,0.005,0.7974145148243648,-45.15401523479778,-46.313834283651126,1.1598190488533433,0.005,0.6066571479884227,-35.54928890180641,-49.071552315451726,13.522263413645312,0.005,-0.3496777324265692,-84.86716931313626,-99.36998815401866,14.502818840882398
6.0,0.005,0.540527643746593,-34.03737892783052,-37.302848236555626,3.265469308725109,0.005,0.7815022203970846,-44.30378014318136,-52.65098044280225,8.347200299620887,0.005,0.5139964724837196,-35.01556864444449,-35.01556864444449,0.0,0.005,-0.3254646954521293,-85.16407840076059,-98.8873649137762,13.723286513015609
7.0,0.005,0.3692881454500945,-33.22287786317275,-43.1884815553319,9.96560369215915,0.005,0.6521487311141423,-43.71318903703482,-47.406882751303385,3.693693714268562,0.005,0.38581395876327085,-34.05940869557086,-39.96901764862443,5.909608953053571,0.005,-0.39901623687763954,-85.01925691511376,-89.65753999646006,4.638283081346302
8.0,0.005,0.18627748007402226,-34.05073156633725,-39.06314141006486,5.01240984372761,0.005,0.5110471645897499,-44.35750854323373,-45.838278955160035,1.4807704119263079,0.005,0.1986440247871956,-34.55970107143615,-44.14970513207868,9.590004060642528,0.005,-0.42504239009942985,-83.37712915008886,-90.69709716703784,7.319968016948977
9.0,0.005,-0.10712368840105085,-32.912634539607794,-35.645053397062966,2.7324188574551727,0.005,0.23818246191730483,-44.08336710310841,-62.922345231431535,18.838978128323127,0.005,-0.12557249018271974,-34.060003513253456,-34.060003513253456,0.0,0.005,-0.3317397533349198,-83.98508476456387,-98.97670477320658,14.991620008642712
10.0,0.005,-0.31333506415771695,-32.389504052013066,-42.38501175727962,9.995507705266554,0.005,-0.17082607764548832,-43.26961388763298,-43.67596411265502,0.4063502250220452,0.005,-0.30599864410364236,-32.23544569295788,-45.68449695570591,13.449051262748029,0.005,-0.3798936059029888,-83.59695123965795,-91.63342132589881,8.036470086240854
11.0,0.005,-0.5190434966559802,-27.129693491526155,-34.83326979957049,7.703576308044333,0.005,-0.4277644843746273,-40.23516814077023,-46.333526852739986,6.098358711969759,0.005,-0.48540275828400425,-27.863576120603316,-28.78346859292192,0.9198924723186046,0.005,-0.37790636013823964,-82.3629954116913,-106.34511678197,23.982121370278705
12.0,0.01,-0.47996629535567864,-24.733926680137778,-30.40507286725077,5.671146187112992,0.005,-0.43124801747838754,-37.82272847400974,-43.98166701345433,6.158938539444584,0.0075,-0.5236250268770226,-25.791895062647235,-26.537165077303758,0.7452700146565228,0.005,-0.4244931298687494,-79.0400121890973,-96.14661225669009,17.106600067592794
13.0,0.01,-0.3659793428487788,-23.7414066304196,-41.33487230109275,17.59346567067315,0.005,-0.4684414614831281,-36.62509779836145,-36.65292893176178,0.02783113340032628,0.01,-0.4074892441994438,-24.48575223858693,-29.463945513745948,4.978193275159018,0.005,-0.39861544507141244,-78.86702754116028,-96.91582261590275,18.048795074742472
14.0,0.01,-0.26440307126899254,-23.1274741780091,-35.26802974280558,12.140555564796482,0.005,-0.37614394051485245,-35.87302684925728,-38.20982640658893,2.336799557331652,0.01,-0.2522294958153344,-22.46754174720493,-43.83471838284896,21.367176635644032,0.005,-0.4014971014108099,-78.38628545335573,-85.00040911395247,6.614123660596746
15.0,0.01,0.0974705258555919,-21.166506173126184,-38.44327735878521,17.276771185659026,0.005,-0.12003546054687193,-35.69524866958386,-62.43892324765384,26.743674578069978,0.01,0.12282819383982328,-21.40167613086666,-24.565279172536002,3.16360304166934,0.005,-0.28904472813987786,-76.22622253886244,-94.66734986145255,18.441127322590106
16.0,0.01,0.48529944110044854,-20.677279971841912,-30.582523158179047,9.905243186337135,0.005,0.20277370562049749,-36.01985287847543,-39.339824942177245,3.3199720637018117,0.01,0.4542844401384606,-20.60226321913455,-24.908128958993924,4.3058657398593745,0.005,-0.43647362243077786,-72.31774027272293,-84.52988333973119,12.212143067008256
17.0,0.01,0.3978942765857438,-20.671550492981087,-34.18539921951661,13.513848726535524,0.005,0.09683186534895892,-36.7641584586574,-37.27524495989207,0.5110865012346721,0.01,0.38567091445807344,-20.624224884154575,-30.454711069989028,9.830486185834452,0.005,-0.4896864737233513,-69.90988955739789,-85.43204810645551,15.522158549057622
18.0,0.01,0.27253420557132585,-20.714613990402935,-24.23643917151656,3.521825181113627,0.005,-0.2653286849992474,-36.63087920140834,-37.386412986082384,0.7555337846740429,0.0125,0.2851462824646185,-19.966138265082286,-47.740617047844296,27.77447878276201,0.005,-0.4446498112114592,-72.71281112633307,-104.60600830400507,31.893197177672008
19.0,0.015,0.13990722495398986,-17.5912849935689,-20.312508782402766,2.721223788833864,0.005,-0.2928987983657154,-36.50074378750111,-58.286785323020815,21.786041535519708,0.015,0.17836866397378145,-17.97731604525532,-34.89606486443591,16.918748819180585,0.005,-0.5621266586547307,-55.53666368018524,-66.28296333593633,10.746299655751088
20.0,0.02,-0.27832483573147265,-14.705533826342474,-40.09809849506211,25.392564668719636,0.01,-0.5409775648983053,-25.391698586739274,-48.13302364957995,22.741325062840673,0.0175,-0.22519821331120088,-16.381554132689217,-30.59782304008366,14.216268907394443,0.005,-0.7152223939471635,-39.76811242712405,-110.7334562306386,70.96534380351454
21.0,0.015,-0.3101800129229011,-17.50732407173195,-25.0742277521436,7.566903680411649,0.005,0.07410281145629125,-33.959558417990905,-38.01850528260385,4.058946864612942,0.0175,-0.3217071554418849,-16.089456302316023,-24.221564289839268,8.132107987523245,0.005,-0.0669983019411768,-43.69546720731016,-51.76369671422296,8.0682295069128
22.0,0.015,-0.22268339050188765,-17.04252002663011,-24.223497689651794,7.180977663021682,0.005,0.43609357732339893,-32.2323481465125,-59.336566028003055,27.104217881490555,0.015,-0.3453865620084505,-16.978797660658348,-18.067594755416643,1.088797094758295,0.005,0.24617719353072195,-42.127291112074076,-47.03670692925925,4.909415817185177
23.0,0.015,-0.35931246875039424,-17.854359395899976,-33.55722993448413,15.70287053858415,0.005,0.5722934178718753,-32.79092555199184,-35.33266111302251,2.54173556103067,0.015,-0.4161649263801858,-17.0778248368461,-30.412261043293377,13.334436206447275,0.005,0.5484359567331685,-41.2745463582867,-59.58671633590279,18.312169977616094
