,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.18130519740780496,-67.8287457485422,-70.10761273242,2.2788669838777906,0.005,0.014198728577550697,-78.20749756030749,-78.20749756030749,0.0,0.005,-0.05329971982893239,-80.10798159774995,-83.74377176646568,3.6357901687157295,0.005,0.12499195051816592,-73.46339523123072,-79.20273392022827,5.739338688997549
1.0,0.005,0.9457068928854915,-40.5362830813688,-50.107612894293254,9.571329812924454,0.005,0.904645680802821,-56.894424889101174,-89.67444934451794,32.780024455416765,0.005,0.9521169828729654,-47.13872151153456,-65.96304733829767,18.824325826763108,0.005,0.7898588110535937,-50.43506955930172,-50.52397559721917,0.08890603791744667
2.0,0.03,0.9778238247889791,-11.371308428806387,-11.944348439121228,0.5730400103148412,0.01,0.9786535721322422,-25.19428938167955,-50.38880876605235,25.1945193843728,0.015,0.9784206377481277,-19.345853000325263,-29.239373398752466,9.893520398427203,0.0075,0.8035686394655689,-25.37581738149178,-50.42719194127609,25.051374559784314
3.0,0.045,0.9839516910730975,-7.224226805281571,-27.565516946325246,20.341290141043675,0.035,0.99589516836331,-8.124703489715433,-21.955201484371344,13.83049799465591,0.025,0.9486675607125534,-11.69715531940344,-19.98312990010707,8.28597458070363,0.01,0.8022045238560415,-20.662213175919184,-37.61068670518024,16.948473529261058
4.0,0.0275,0.9054093719077567,-11.433818689790805,-45.971095397786435,34.53727670799563,0.015,0.9532087081544715,-16.030992343695505,-33.23224960437015,17.201257260674648,0.015,0.8541729118394688,-16.491428992174786,-30.47193240471849,13.980503412543705,0.0075,0.9840070807878801,-25.861998303908113,-30.393153486411514,4.531155182503401
5.0,0.0175,0.8803255914655862,-16.197979072073107,-43.298730224960664,27.100751152887558,0.0075,0.8022254461643119,-25.314168784767755,-32.77115792105136,7.456989136283607,0.015,0.8737431123351969,-18.091272291234883,-34.21337705726848,16.122104766033598,0.005,0.9876839306597285,-26.46222852883353,-56.46394607930149,30.001717550467962
6.0,0.0175,0.9112505772755903,-16.154309317917978,-25.39704362486678,9.242734306948801,0.0075,0.914338748598663,-25.558223093848035,-33.68682388390611,8.128600790058073,0.0125,0.9251540159935976,-18.195271158150973,-22.209268934403397,4.013997776252424,0.005,0.9850710909493408,-26.6993446701452,-40.24387581509417,13.54453114494897
7.0,0.015,0.9317797684098791,-17.32186791074935,-40.65248360709367,23.33061569634432,0.005,0.7906553262239118,-26.13591145203937,-34.05365342137908,7.917741969339712,0.0125,0.9340674450974537,-18.641639568288973,-25.413085259885186,6.771445691596213,0.005,0.986454208257328,-26.71232682578722,-36.57630364716736,9.863976821380138
8.0,0.015,0.9486862906779339,-18.592312972280688,-29.216817083364916,10.624504111084228,0.005,0.8568900166476171,-28.62789255331481,-48.01860276279206,19.39071020947725,0.0125,0.9668256904551985,-19.84053073092368,-38.66285882345319,18.822328092529514,0.005,0.9521499642589979,-29.64105577196864,-38.79895438003256,9.15789860806392
9.0,0.0125,0.9294154637128583,-16.831710661382978,-27.29116901962625,10.459458358243271,0.005,0.7433982594457473,-28.496324641108988,-38.144470195185804,9.648145554076816,0.015,0.9724616443062809,-19.173940334729732,-34.54960963326906,15.375669298539325,0.005,0.8923325746275798,-31.170697105069458,-42.918405740288215,11.747708635218757
10.0,0.015,0.9534313445212476,-17.464543012931724,-27.462418710210535,9.997875697278811,0.005,0.5541382224157478,-30.46086501627633,-58.65638163796365,28.195516621687318,0.015,0.9797553965095582,-18.525725427929952,-39.21402699109033,20.688301563160376,0.005,0.9700305982717436,-32.5042506970087,-39.75309787519749,7.2488471781887895
11.0,0.0125,0.954627103796119,-18.08815484099839,-32.177088090928365,14.088933249929976,0.005,0.49367183647146223,-34.80809862135465,-39.845311234944816,5.037212613590164,0.015,0.975475515101551,-18.5573717772656,-24.689960283143066,6.1325885058774645,0.005,0.957624435679286,-35.451583831436864,-74.58188755341776,39.130303721980894
12.0,0.0125,0.9680048424783054,-18.05990095276098,-30.66355581470041,12.603654861939429,0.005,0.5433458901546502,-34.15271602396304,-46.101374986959016,11.948658962995978,0.015,0.9813702796367617,-18.841004667610456,-44.976233797438915,26.13522912982846,0.005,0.9515401280331931,-34.935545841798195,-45.433726698042356,10.498180856244161
13.0,0.015,0.9656420355002424,-18.12087001454018,-25.726406001333153,7.605535986792972,0.005,0.47244897576383293,-33.62600908818475,-59.60325239441314,25.977243306228388,0.015,0.9809980298533479,-18.41388386962286,-22.30644066819425,3.8925567985713876,0.005,0.9216574610824091,-36.54245023571714,-60.97834784690774,24.435897611190597
14.0,0.0575,0.9810371389513587,-4.554970355834388,-13.274167862054158,8.719197506219771,0.0375,0.9914604144188914,-8.711889822789392,-8.711889822789392,0.0,0.0325,0.9472420226639207,-10.4495700546543,-34.29542017146008,23.845850116805778,0.0175,0.9138175403050686,-14.352514008658911,-42.685214378410734,28.332700369751823
15.0,0.0475,0.9907008462272553,-5.181088219603333,-21.983624321412684,16.802536101809352,0.04,0.9955834251468253,-6.7390533424242225,-28.38581273791658,21.64675939549236,0.025,0.9764838566132642,-13.032836311258833,-41.11166758892902,28.07883127767019,0.02,0.9097926951909397,-14.693550490597563,-38.53958070836839,23.846030217770828
16.0,0.02,0.9519240633079447,-15.620456619950698,-29.617899214727416,13.997442594776718,0.01,0.9628060517138813,-20.332704364803114,-30.281312812875566,9.948608448072452,0.015,0.957395511009642,-17.36375602131732,-29.588221555174528,12.224465533857206,0.005,0.8290322957200935,-33.992064201493605,-58.0303567600668,24.038292558573197
17.0,0.015,0.945892335064445,-18.92624593802034,-34.372584612197286,15.446338674176946,0.005,0.9215085864937855,-27.38576099123703,-35.0767280512833,7.690967060046265,0.0125,0.964395499826098,-19.837022501179824,-46.03886020177487,26.201837700595043,0.005,0.8146887255835786,-35.14342108047694,-44.33205462430119,9.188633543824253
18.0,0.0125,0.939226911414612,-19.72155600281114,-26.057846603460977,6.336290600649836,0.0075,0.90862636184453,-25.81524218568299,-57.976700735289874,32.161458549606884,0.01,0.9490919028054714,-21.282818376404418,-40.304712642424306,19.02189426601989,0.005,0.8216343886428197,-37.68571612711851,-45.31096905542958,7.62525292831107
19.0,0.0125,0.9218730986161414,-19.8060391957977,-33.78278642984429,13.976747234046595,0.005,0.8862288938349125,-28.07711014130176,-39.45344159569055,11.37633145438879,0.01,0.9535724175870093,-22.09749835886953,-35.420753399946946,13.323255041077417,0.005,0.7461311275609294,-37.70312207950536,-51.28592731546567,13.582805235960308
20.0,0.03,0.9844315747932116,-10.597138333124164,-35.80426533061365,25.20712699748949,0.0175,0.9883714123363978,-15.814100235263913,-25.21057392025201,9.396473684988097,0.02,0.9846012283140178,-14.337909722550265,-45.32580192798867,30.987892205438406,0.01,0.9026796575933352,-20.71612340287291,-32.85534499952028,12.139221596647367
21.0,0.0225,0.9681459817898415,-12.957344521272443,-26.085134499467713,13.12778997819527,0.0125,0.987329108318113,-18.297051986369425,-50.57121806154689,32.27416607517746,0.015,0.9605177170540783,-16.985430137527988,-33.218589826829074,16.233159689301086,0.01,0.8912295534617177,-24.207279323795742,-55.031900097132365,30.824620773336623
22.0,0.015,0.9662587933042723,-17.788611607184922,-40.14140159239257,22.352789985207647,0.0075,0.970720450217478,-24.49372548042866,-32.513236261176964,8.019510780748302,0.0125,0.9578882902143733,-19.281604736528536,-26.940324966900917,7.658720230372381,0.005,0.9066973400254568,-32.58528133011793,-44.96258293033769,12.37730160021976
23.0,0.015,0.9554952712761762,-18.525666179607676,-32.34402281321872,13.818356633611046,0.0075,0.9853790219280217,-25.41380085423232,-29.904637584635623,4.490836730403302,0.01,0.9457310165232348,-21.004262395824448,-39.326265388742584,18.322002992918136,0.005,0.9037855480022844,-32.31573281111688,-47.10220500380486,14.786472192687981
24.0,0.0125,0.957656358141621,-19.376443711587157,-44.954041132188664,25.577597420601506,0.005,0.961786306723783,-27.51986475710464,-38.80037305886832,11.280508301763678,0.01,0.9611405989542909,-22.673607818208993,-41.2183799932907,18.544772175081704,0.005,0.8906838494962194,-33.931521021160044,-60.4510051619596,26.519484140799555
25.0,0.0125,0.9727150945232987,-17.99720240498854,-24.432544962177328,6.43534255718879,0.005,0.9733310288795345,-27.949683640368033,-42.637320351998696,14.687636711630663,0.01,0.972170271996695,-22.565960727387235,-27.96579053258368,5.399829805196443,0.005,0.8749497134557013,-36.64207664297318,-42.58351543452427,5.941438791551093
26.0,0.045,0.9970791015361742,-7.000892045377708,-21.20175700598725,14.200864960609543,0.0375,0.9989638522956781,-8.150505449578297,-30.497895755954694,22.347390306376397,0.025,0.9908893567997107,-11.769105567297686,-29.51447415159343,17.745368584295743,0.0075,0.8556861877340334,-25.258345334991912,-54.8304490449189,29.57210370992699
27.0,0.025,0.9809321591636622,-11.56328582477455,-59.22625219228574,47.66296636751119,0.03,0.9947449541769496,-10.34304443239159,-31.767162695924668,21.424118263533078,0.01,0.9265174790042857,-20.694748887291126,-30.385398030854212,9.690649143563085,0.005,0.7389739706473715,-29.336635325036244,-49.67377725181606,20.337141926779818
28.0,0.015,0.950277589247928,-16.658266465552465,-37.83077630868344,21.172509843130975,0.01,0.9794656597178106,-20.140207370920727,-35.08771133021571,14.947503959294984,0.01,0.8924397769622004,-23.11287782538928,-34.200959532688906,11.088081707299626,0.005,0.8151594676218787,-37.02262920015751,-51.943658413338014,14.921029213180503
29.0,0.01,0.9574900778316753,-21.087243977244693,-29.16990933560629,8.082665358361599,0.005,0.9611366140028407,-26.201603458422976,-49.731643283955364,23.530039825532388,0.01,0.930220006256006,-23.307525452053255,-35.11099013948528,11.803464687432026,0.005,0.8272663060215935,-40.3805226479508,-49.09775809183556,8.71723544388476
30.0,0.01,0.9246167135437818,-23.137621031801622,-31.970142297738025,8.832521265936403,0.0075,0.9585976480870012,-23.17247902123929,-57.07461632687781,33.90213730563852,0.01,0.9377522306346099,-24.021179453010056,-24.5648318296103,0.5436523766002423,0.005,0.8404933633383286,-39.96143730112177,-63.65867300581443,23.69723570469266
31.0,0.01,0.9311190060973252,-21.381178850244915,-35.88835056981515,14.507171719570238,0.005,0.8327974600426419,-30.709640997162523,-30.82561463863863,0.11597364147610634,0.01,0.9634566172250182,-23.059420761222597,-45.977129533502115,22.917708772279518,0.005,0.7647065119085944,-37.477250710225796,-52.936765585466645,15.459514875240849
32.0,0.01,0.8688389572875382,-20.826768631150788,-42.649372439810634,21.822603808659846,0.005,0.8920175182000635,-28.451563421458424,-40.93900820520318,12.487444783744756,0.01,0.942224658272372,-23.22500796019068,-30.94471451601224,7.71970655582156,0.005,0.44977387113125916,-26.118948088045457,-41.40745347272612,15.288505384680661
33.0,0.01,0.8434212782207857,-20.623287673606416,-24.71268550335097,4.089397829744552,0.005,0.49670662166437485,-30.101651610907698,-51.60407059026673,21.50241897935903,0.01,0.8949222216491987,-23.316898988645136,-34.78812122584258,11.471222237197445,0.005,0.49180905941243813,-29.214361299469843,-46.62916468845786,17.41480338898802
