,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.01560516408800252,-64.28839878591474,-71.22414851040786,6.935749724493121,0.005,0.40209278977526747,-72.30819503337375,-78.93866848974395,6.630473456370197,0.005,-0.22600278765298773,-67.71241393163925,-80.3621607846911,12.649746853051852,0.005,-0.23880429418991198,-73.32343742441373,-96.40311951917197,23.07968209475824
1.0,0.005,-0.2353522147646293,-60.48176482250891,-73.40703789890921,12.925273076400302,0.005,0.5229327189184804,-72.53073137033962,-78.02833901749723,5.497607647157608,0.005,-0.5010464728754064,-62.891345545921936,-73.83603132592052,10.94468577999858,0.005,-0.21486798920026773,-69.78877782102201,-83.0043038652908,13.215526044268785
2.0,0.005,-0.13696119878474142,-59.67942035834925,-69.48114499602985,9.801724637680607,0.005,0.7212990167983365,-71.19593182247205,-74.29333171938814,3.0973998969160874,0.005,-0.3938999452218487,-61.66554083040879,-67.16857551582119,5.503034685412402,0.005,-0.24381915985093497,-70.21378939318753,-72.08485973977993,1.8710703465924041
3.0,0.005,0.02807382331087977,-58.713326766858145,-71.22414851040786,12.510821743549712,0.005,0.7979713972770878,-70.14495197323947,-79.77065395608233,9.625701982842855,0.005,-0.19575136837758575,-60.227954424020524,-75.89515606540377,15.667201641383244,0.005,-0.24148502446032666,-68.0300975008162,-113.85131377444975,45.82121627363355
4.0,0.005,-0.08312708727957924,-55.19150158574453,-63.86461280451597,8.673111218771439,0.005,0.8724176431295982,-68.1659153628068,-72.32980342189069,4.163888059083888,0.005,-0.42209313470172866,-58.8130999147663,-68.27517704293652,9.462077128170222,0.005,-0.23726641051368721,-69.01647966191041,-84.99445316708349,15.977973505173082
5.0,0.005,0.14581541846678137,-56.32959861247397,-66.22659904607586,9.897000433601889,0.005,0.9155146627680554,-68.0234240601083,-75.20637455404716,7.182950493938861,0.005,-0.020287039463596116,-59.19322714155374,-71.26654817720122,12.073321035647474,0.005,-0.2614189580714178,-68.25605498491505,-82.87738344895416,14.62132846403911
6.0,0.005,0.3204641481040606,-54.60240199897902,-68.03013165305762,13.427729654078604,0.005,0.9703847880108952,-69.25228605346439,-71.83691207101742,2.5846260175530347,0.005,0.23876986461008456,-57.4857414042914,-62.54402673041048,5.058285326119076,0.005,-0.1917803386239553,-68.4687397933055,-97.72183560083646,29.253095807530954
7.0,0.005,0.23977677827212127,-57.24474842368748,-66.22659904607586,8.981850622388379,0.005,0.9461077321487789,-69.06051263016235,-71.59250268265767,2.531990052495317,0.005,0.04622314236589612,-58.79854021688105,-75.9634476442397,17.164907427358642,0.005,-0.2906042511793936,-66.13333211469687,-83.26743990094343,17.13410778624656
8.0,0.005,0.2106444184044671,-53.04254149678523,-54.745973691521485,1.7034321947362514,0.005,0.9034559912978066,-66.5791035439625,-73.76974969989539,7.190646155932882,0.005,-0.00031092340493470676,-57.261882518362945,-57.261882518362945,0.0,0.005,-0.3051475330007951,-66.81840367706815,-84.69680419803277,17.878400520964618
9.0,0.005,-0.1675083990110577,-54.18539921951661,-66.22659904607586,12.04119982655925,0.005,0.8468652756777654,-65.41163976414603,-71.34121560990238,5.9295758457563466,0.005,-0.48738947329645005,-55.66000064420688,-61.98026432125539,6.3202636770485086,0.005,-0.22619054739009012,-65.46653044886219,-71.52728563271437,6.06075518385218
