,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.5849814147234966,-76.32959861247397,-90.30899869919435,13.979400086720375,0.005,0.997016673516165,-85.650961196932,-90.30386221400332,4.652901017071315,0.005,0.6889167974450806,-89.41493033349401,-96.1854965740329,6.770566240538884,0.005,-0.03942976409669456,-86.60171928190314,-112.76614207163944,26.164422789736292
1.0,0.055,0.9996515317929767,-5.261648409996381,-9.295218144016738,4.033569734020357,0.0375,0.9996419655671953,-7.598235731258206,-12.457033334209832,4.858797602951626,0.03,0.9995397567958136,-10.834114455290857,-13.542675804459378,2.708561349168521,0.005,0.9922463911964409,-58.76609212675878,-59.91205229037292,1.1459601636141414
2.0,0.035,0.9996440309172657,-9.299083521517256,-21.30709718176231,12.008013660245053,0.045,0.9998077902579922,-6.891833530457835,-18.39077667131336,11.498943140855527,0.02,0.9967468587841962,-13.083732356011721,-43.83724250639546,30.75351015038374,0.005,0.9839250261546627,-48.07664416624988,-57.43737789334739,9.36073372709751
3.0,0.0125,0.9867594902825157,-18.34194450180868,-41.42810278083282,23.086158279024144,0.015,0.9997346909040733,-18.430694558978935,-40.50755375200423,22.076859193025292,0.005,0.9141667272722981,-26.160729965853974,-43.77527375717469,17.614543791320713,0.005,0.9374097354202241,-49.55648911511765,-58.19104579348122,8.634556678363573
4.0,0.01,0.9229642709633888,-25.04101207251431,-37.341798479575715,12.300786407061405,0.005,0.9944236385166483,-36.2818316287449,-47.460030971423365,11.178199342678468,0.0075,0.9179044009917018,-25.176071022874638,-35.18451852356995,10.008447500695311,0.005,0.9538032252190287,-46.4958421842428,-52.40621711238462,5.91037492814182
5.0,0.01,0.9503523769315524,-23.733254692103664,-58.713326766858145,34.98007207475448,0.005,0.9962599152732897,-35.16521504905804,-46.551722105015784,11.386507055957743,0.01,0.9447939117843972,-25.514171006856067,-30.74059140221715,5.226420395361082,0.005,0.8871945408776498,-46.351852829259556,-65.2525209194254,18.900668090165837
6.0,0.01,0.931496579274398,-23.539868827102257,-28.198795003794878,4.658926176692621,0.005,0.9956483166269489,-35.50796028828603,-47.240827877601,11.73286758931497,0.01,0.9207676730631638,-23.18508445744644,-47.97559240237934,24.7905079449329,0.005,0.9281285615022644,-43.90467793848185,-49.055694473601065,5.151016535119211
7.0,0.01,0.9470610875728911,-21.853919873167392,-30.300317149607984,8.446397276440592,0.005,0.9911931037505455,-37.32822690758666,-56.21776763280408,18.889540725217422,0.01,0.9478368086923629,-22.480070416396003,-30.83878117051007,8.358710754114067,0.005,0.9172714859967512,-42.96903397702508,-51.7901913648718,8.821157387846725
8.0,0.01,0.9238244854563741,-20.620154546346217,-34.06410476318697,13.44395021684075,0.005,0.9785107727155123,-40.24027910225907,-54.307082155682586,14.066803053423513,0.01,0.9236408302338421,-21.91032489337247,-25.807041789750812,3.8967168963783436,0.005,0.9169535382869383,-40.55739244574221,-47.79942192673567,7.242029480993459
9.0,0.01,0.845364240039233,-24.393259894162167,-37.18703465893772,12.793774764775552,0.005,0.9702991297113893,-43.27986115691672,-76.09804722365205,32.81818606673532,0.01,0.8420443479371255,-24.41628994935215,-41.791668816455534,17.375378867103382,0.005,0.8995540877600182,-39.27805461654801,-47.6178616452131,8.339807028665085
10.0,0.0325,0.9896092387945125,-7.157445888779778,-30.205388449118754,23.047942560338974,0.005,0.9750242219105842,-32.64553150609074,-60.83806379472263,28.192532288631888,0.02,0.9637209371786597,-13.000019542392895,-30.901196835552373,17.901177293159478,0.005,0.8671552283514475,-41.04013573272457,-65.16697520499191,24.126839472267342
11.0,0.06,0.9982866052901112,-5.070425239381519,-12.90911869675952,7.838693457378001,0.045,0.9998108781798893,-6.945286496313848,-15.045709184190713,8.100422687876865,0.03,0.9907916017088766,-10.652924909319342,-37.491140602411846,26.838215693092504,0.005,0.8894076829492059,-39.725408493894285,-49.35463057130022,9.629222077405934
12.0,0.02,0.9681635622102633,-12.992711095834997,-31.137721034755007,18.145009938920012,0.0225,0.9997768372222843,-12.745966881442108,-30.9574610363781,18.21149415493599,0.01,0.7645437886494173,-23.849802909937576,-36.28940870171419,12.43960579177661,0.005,0.871823523046712,-39.790923455725554,-60.26777396467285,20.476850508947294
13.0,0.01,0.794502894794168,-22.388500767022492,-32.32353495284228,9.935034185819788,0.005,0.9948810349137405,-31.066765632361097,-43.78699996804559,12.720234335684495,0.01,0.7502770565951961,-24.315236858208962,-25.309279412580736,0.9940425543717737,0.005,0.7740917838227487,-40.17519050609038,-45.672743678723016,5.497553172632635
14.0,0.0125,0.8654784405046367,-19.110866198472106,-45.39874534291136,26.287879144439255,0.005,0.9772139638732339,-38.05503921265337,-70.85619820594908,32.801158993295715,0.0125,0.8692995131919188,-19.20207375939054,-38.55700133402237,19.354927574631827,0.005,0.8202885708005576,-41.18568638199494,-75.2669043326111,34.081217950616164
15.0,0.1,0.9984558448865956,0.0,-3.4997197954816666,3.4997197954816666,0.085,0.9997866598717536,-0.0006214531189111795,-3.5166175456411852,3.515996092522274,0.0425,0.9849657294553259,-6.9758318200959675,-22.070871916577488,15.09504009648152,0.005,0.8461893179122565,-31.445238021044958,-53.82455761038881,22.37931958934385
16.0,0.0725,0.9957827843070982,-0.449602592784572,-16.34002793888778,15.890425346103207,0.0925,0.9995986430328184,-0.3625673784527359,-15.09309885409796,14.730531475645224,0.01,0.7377655642800636,-20.684444696481105,-27.39116850161713,6.706723805136026,0.005,0.7570556986461768,-42.449605968854094,-57.28387025963543,14.834264290781334
17.0,0.035,0.9812223247091555,-10.12338101408718,-25.359353485653273,15.235972471566093,0.035,0.9977317715945223,-9.622835103530216,-20.394780189002596,10.77194508547238,0.0125,0.7697197234841964,-19.831337834517875,-34.70611179020316,14.874773955685285,0.005,0.6257787451120337,-40.312435864960804,-54.50860928108309,14.196173416122285
18.0,0.0175,0.8313456711892911,-14.709857674256238,-37.88547306369365,23.175615389437414,0.0175,0.9895093451970765,-14.12891570068773,-29.628326586136016,15.499410885448286,0.0125,0.6184050948780928,-19.111778964283754,-44.34587075735578,25.23409179307203,0.005,0.7436730091261572,-39.83313239008111,-48.24719569672486,8.414063306643747
19.0,0.015,0.5902898985535265,-17.569216662949774,-25.912070978707142,8.342854315757368,0.01,0.4548132825427588,-24.714377990296605,-25.712480657874718,0.9981026675781131,0.01,0.7379062376445576,-20.300933375240398,-22.80771949491116,2.506786119670764,0.005,0.7948014464194794,-39.06191585867862,-43.06626335062896,4.004347491950341
20.0,0.1,0.9971764969769836,0.0,-5.295232626279935,5.295232626279935,0.1,0.9990698745296736,0.004238616504780314,-3.2901126668442298,3.2943512833490103,0.0575,0.9760095719791002,-4.486281702400827,-22.16271641233925,17.676434709938423,0.005,0.7573833590117034,-33.12009025453767,-48.31333608147727,15.193245826939595
21.0,0.0475,0.9810614571055666,-4.124488919498343,-10.332482318388639,6.207993398890296,0.065,0.9981500350539342,-3.317211370284582,-17.576226418445692,14.25901504816111,0.015,0.7202364457378898,-17.60970873882979,-36.180398239780665,18.570689500950873,0.005,0.851339404784172,-38.241145802830815,-56.797933808238724,18.55678800540791
22.0,0.0325,0.9449196613217323,-10.451745271413804,-23.265348336967108,12.813603065553304,0.03,0.9892044207998831,-9.946900066396381,-24.139307300588364,14.192407234191982,0.0125,0.7288939493526893,-19.79101408547439,-22.311490818338463,2.520476732864072,0.005,0.7355097184263405,-38.82582972545019,-45.834431409448754,7.008601683998563
23.0,0.025,0.7833162338471722,-11.43416338256808,-41.21210149902416,29.777938116456077,0.015,0.9696351140732445,-14.690375119364054,-28.582581350941716,13.892206231577662,0.015,0.6553546381137176,-18.460571930810886,-24.932813839589883,6.472241908778997,0.005,0.6927351316458296,-39.692674010619314,-69.08398144844868,29.39130743782937
24.0,0.02,0.6599555304739221,-15.235805753474382,-24.508306471943996,9.272500718469614,0.0125,0.723765017544504,-18.10631431745008,-30.921684123038126,12.815369805588045,0.0175,0.7609590386587479,-15.043611272123474,-44.765067207864504,29.72145593574103,0.005,0.7779216121836626,-38.38905631836684,-50.89341371806385,12.504357399697007
25.0,0.02,0.6215085142216531,-16.03079161661525,-24.176209878709123,8.145418262093873,0.01,0.5188138008537577,-21.845078536549188,-21.97914937961613,0.13407084306694017,0.015,0.5528011711131229,-16.925125227320862,-35.34854282928931,18.423417601968445,0.005,0.6695407417096082,-38.00058459928602,-39.54038872554027,1.5398041262542463
26.0,0.02,0.7154943510637319,-14.104348339292676,-25.483050956994493,11.378702617701817,0.01,0.765570563773452,-21.967662719144272,-40.41896910840845,18.451306389264175,0.015,0.6483061404077989,-17.819413435628434,-37.33814423291268,19.51873079728425,0.005,0.8292027487202099,-34.317722168656985,-44.21916499913784,9.901442830480853
27.0,0.0175,0.7470065018371866,-15.619402910682812,-34.01073507369288,18.391332163010066,0.0125,0.8192336666335983,-16.55916657392091,-28.362149963002867,11.802983389081959,0.0175,0.7753439273803029,-16.020516504900655,-31.03189648738786,15.011379982487206,0.005,0.8985774326418152,-34.767423859857686,-44.87262993928525,10.10520607942756
28.0,0.0175,0.5031842010666007,-14.896376143638225,-23.30016156849313,8.403785424854906,0.01,0.5955705291589921,-21.333070278866906,-41.64420256597954,20.311132287112635,0.015,0.5433549779543435,-19.846723129338805,-44.70220763534308,24.855484506004274,0.005,0.8572239519763213,-35.81676204525975,-57.919552521233754,22.102790475974004
29.0,0.0525,0.9900886496907281,-5.764123069133107,-13.132241670622648,7.368118601489541,0.045,0.9912533561326132,-7.275578331494018,-8.825229160640365,1.5496508291463469,0.0325,0.971404078724902,-10.299114623329618,-22.507334440761536,12.208219817431917,0.005,0.807942968243643,-36.61955853620737,-53.17164929389715,16.552090757689776
30.0,0.03,0.9666776673743102,-9.299856803479756,-25.305479737515853,16.005622934036097,0.035,0.9938167890123308,-8.837340162250987,-21.898131196163174,13.060791033912187,0.0125,0.6592624197638414,-18.282517859106452,-48.38493919712139,30.10242133801494,0.005,0.8169082994401443,-38.41195932970684,-38.977868682377085,0.5659093526702463
31.0,0.015,0.7137581772400139,-17.32814601747083,-45.10757093949286,27.77942492202203,0.01,0.8326456752513524,-21.38277951297068,-49.42212003130331,28.03934051833263,0.0125,0.74905536100496,-19.641675679064054,-45.37963797814683,25.737962299082778,0.005,0.7899681359154572,-36.45443415967907,-64.45554982380725,28.00111566412818
32.0,0.015,0.6811954582038774,-18.11711051468996,-27.32461644608676,9.207505931396803,0.0075,0.6890648124895122,-25.405245438140753,-31.379536962301756,5.9742915241610035,0.01,0.6729761173144135,-20.211406820482118,-39.414940927351076,19.203534106868958,0.005,0.7184287294898853,-35.29582057680885,-56.1464553567843,20.85063477997545
33.0,0.0125,0.5465417214030213,-19.527476723338822,-26.781384854328948,7.253908130990126,0.005,0.38382903695053006,-31.55509630360782,-42.16720734242465,10.612111038816835,0.01,0.6162424793323236,-21.173271527210197,-32.108845986710584,10.935574459500387,0.005,0.7502184300062497,-36.635290386606385,-48.27508882221123,11.639798435604845
34.0,0.0125,0.6445977999672313,-18.136338909393615,-28.99740440462539,10.861065495231774,0.005,0.04171325535568212,-28.386159159354342,-48.13758734482016,19.75142818546582,0.01,0.7359182710956754,-20.347248254219647,-48.94112202136568,28.593873767146032,0.005,0.7426443435865739,-34.831680362215394,-58.16481343506914,23.333133072853748
35.0,0.0125,0.6852575932688768,-19.08935758746965,-20.962757439583317,1.8733998521136677,0.005,0.6447887591107505,-31.39055450686542,-33.99330558966713,2.60275108280171,0.01,0.6769966486285217,-20.199822373958746,-39.52728606865001,19.32746369469126,0.005,0.7409884605753205,-34.93805669468152,-48.270110458407636,13.332053763726115
36.0,0.015,0.692917093577483,-17.759633250000167,-41.42810278083282,23.668469530832656,0.005,0.6244671981708375,-28.87658379000915,-48.732901580357854,19.856317790348704,0.0125,0.7161015133272203,-19.674156778576695,-20.37883052590911,0.7046737473324143,0.005,0.8309786008851712,-35.98657325480881,-55.82373657762068,19.83716332281187
37.0,0.015,0.7706284913157366,-17.77193040585984,-43.46054508275023,25.68861467689039,0.005,0.8122726552745193,-29.955527815549125,-33.53627234915222,3.580744533603095,0.0125,0.7622013870567804,-19.936343009386583,-44.21685468700959,24.280511677623004,0.005,0.8134969184864193,-34.554996384129566,-45.69631671138325,11.14132032725368
38.0,0.06,0.9914841951173478,-4.112564185589761,-11.208720638433356,7.096156452843594,0.0475,0.9971317282839035,-6.563004959161076,-9.56754140578757,3.004536446626493,0.03,0.9780019042196746,-10.539130394001328,-17.046879136816816,6.5077487428154885,0.005,0.8446945302954902,-36.57234830057147,-62.66202227785114,26.089673977279674
39.0,0.035,0.9880581964724582,-9.44253922770285,-27.473734093678598,18.03119486597575,0.0375,0.9969001625839976,-7.982732382496702,-44.38929868889619,36.40656630639949,0.015,0.8479322118799627,-16.6742440458909,-40.06814986685762,23.393905820966715,0.005,0.7515666787046594,-36.29498099715087,-42.913554242613884,6.618573245463011
40.0,0.0175,0.8444116688251035,-14.931798682335213,-27.587276751512412,12.6554780691772,0.01,0.975816324586423,-21.245344858008345,-60.76707486424037,39.521730006232026,0.0125,0.7726129998308848,-17.02232900362712,-33.207127991909864,16.184798988282743,0.005,0.7807527063741979,-34.16250011993376,-54.04839672000822,19.88589660007446
41.0,0.0175,0.8568347926961896,-15.440371396260685,-36.9973788788353,21.557007482574612,0.005,0.6690126017983599,-31.66051955684004,-41.751017613881636,10.090498057041597,0.015,0.8554071824469563,-17.038033118222845,-24.528451800388552,7.490418682165707,0.005,0.7743795863022028,-34.8593676945284,-80.09414569077536,45.23477799624696
42.0,0.015,0.8958206367159113,-17.068961111396014,-39.231338166316874,22.16237705492086,0.005,0.8164785140887155,-31.63254791602133,-39.90424575789963,8.2716978418783,0.015,0.912372460245371,-18.07180252024757,-38.753180110242596,20.681377589995027,0.005,0.862977785648174,-32.90822207801896,-41.42720099858467,8.518978920565708
43.0,0.0175,0.8680354166527671,-15.753295215536237,-43.700723232210535,27.947428016674298,0.005,0.8888926391649773,-32.02511961696465,-40.883209433607384,8.858089816642732,0.015,0.8639600668842633,-17.521464132844308,-29.25405677703833,11.732592644194021,0.005,0.7430867013032716,-33.034582077256324,-46.59076766163632,13.556185584379996
44.0,0.015,0.8662449270418311,-16.991752695131254,-24.36692569620923,7.375173001077975,0.005,0.849056784830643,-32.639362079089366,-38.27194224200087,5.632580162911502,0.015,0.8700044409507867,-17.149748135566455,-34.6161988404602,17.466450704893745,0.005,0.8573913880753995,-32.59562206690057,-49.13372652444327,16.5381044575427
45.0,0.0125,0.8575365084596277,-18.620112555890834,-39.20710972762797,20.58699717173714,0.005,0.8017926533851018,-34.736150500733615,-66.00962843806488,31.273477937331265,0.0125,0.857425581147681,-19.029037554820224,-22.777103171479453,3.748065616659229,0.005,0.8203446380508292,-34.88254114747318,-49.15937101345592,14.27682986598274
46.0,0.0125,0.7798169430358654,-18.250444442010572,-23.856344465349892,5.60590002333932,0.005,0.7736248806827555,-36.646801384967446,-54.992353510587904,18.345552125620458,0.0125,0.782001778557429,-17.72360840103364,-17.981586130792433,0.2579777297587924,0.005,0.6830901324591704,-34.24146239472454,-42.143534396890566,7.9020720021660225
47.0,0.05,0.9869899176372585,-4.977309757857092,-19.294650229808703,14.31734047195161,0.0125,0.9883042037039674,-18.2478102108055,-23.719542867599394,5.471732656793893,0.0275,0.9516332887652753,-11.604163323706508,-13.533858926461132,1.9296956027546237,0.005,0.7735615455128764,-31.7200662543976,-48.92039549259313,17.20032923819553
48.0,0.0525,0.9949115143675035,-4.501182510389786,-22.069873940586326,17.56869143019654,0.0475,0.9997612171051314,-6.887269035584617,-18.592791277979305,11.70552224239469,0.0325,0.9745789319900282,-10.134761228461276,-32.22349783449719,22.088736606035912,0.005,0.6889094224205454,-34.726120391638666,-43.78089471809072,9.054774326452055
49.0,0.0225,0.9119609970124867,-13.956369355384052,-22.147592981450646,8.191223626066595,0.0175,0.9979330304687948,-16.153399713176764,-65.19344131094192,49.04004159776515,0.015,0.7941122809256176,-18.64886806688237,-28.2659935659603,9.617125499077932,0.005,0.7000812205875907,-34.88378172984522,-56.184004445847656,21.300222716002438
50.0,0.0125,0.8438017778857594,-17.71265477882404,-31.253149838312517,13.540495059488478,0.005,0.9023492357807182,-32.209457045943914,-43.23827142575908,11.028814379815167,0.0125,0.8496089765995558,-17.46855356289623,-27.22194674904019,9.75339318614396,0.005,0.792979367922895,-35.050449014178504,-46.848210825383134,11.79776181120463
51.0,0.015,0.8540161217099554,-18.377056786665154,-30.370013729286732,11.992956942621579,0.005,0.8419814459735099,-39.29592663770818,-42.51731889841382,3.2213922607056418,0.015,0.8554250904984383,-18.26304433558356,-30.875069332669916,12.612024997086355,0.005,0.8524990752710507,-33.32840109458446,-57.33520374642333,24.006802651838875
52.0,0.1,0.9977648185891506,0.0,-2.824666590626883,2.824666590626883,0.0975,0.9997960005564951,-0.1789076732114765,-2.9219225923232965,2.74301491911182,0.045,0.9685502361063615,-6.610763463702027,-22.977944338951055,16.367180875249026,0.005,0.6175016261616332,-27.202862006902176,-53.70686264579258,26.504000638890407
