,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.1200097688858048,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,0.8854007846933197,-88.209078527723,-100.7735757453864,12.564497217663401,0.005,-0.15911970426463395,-83.89106690480304,-111.86937144127788,27.978304536474838,0.005,-0.11795420471116927,-82.82759469015943,-94.86805215130153,12.040457461142097
1.0,0.015,-0.13394505648674565,-18.483253398024374,-33.12623275330374,14.642979355279365,0.005,0.13270592847237098,-31.433639397371156,-34.471562006293,3.0379226089218427,0.01,0.16244985072900775,-24.64390813371935,-34.449997303910955,9.806089170191605,0.005,0.9928382650425186,-30.75749314968878,-48.769151765063896,18.011658615375115
2.0,0.0175,-0.36054123226350293,-14.928841280318878,-22.550529359725623,7.621688079406745,0.0125,-0.17022825556749024,-19.390289965655807,-28.1959893623228,8.805699396666991,0.015,-0.3492992743299559,-17.09407547678033,-24.367636403296274,7.273560926515945,0.005,0.9463026029655816,-30.516143644162543,-48.566401615104525,18.05025797094198
3.0,0.0225,-0.2531613925742581,-13.944480826915246,-30.699840853672352,16.755360026757106,0.01,-0.4600883366880527,-20.022310997071656,-26.30834250064528,6.286031503573625,0.015,-0.40120240795094225,-18.059676718368266,-28.040865042602828,9.981188324234562,0.005,0.9292727088592175,-36.09860716319528,-55.98893553542659,19.89032837223131
4.0,0.0225,-0.3297709633756254,-13.672882525706537,-32.87753998827678,19.204657462570243,0.01,-0.2790168772444415,-20.09204575471079,-29.016331209354473,8.924285454643684,0.015,-0.23989958129438332,-19.338942674978018,-21.54658909933984,2.2076464243618226,0.005,0.926352287569797,-36.02330763576053,-43.95301584802172,7.92970821226119
5.0,0.0175,-0.14583717359783852,-14.86256456473596,-35.93896492184887,21.07640035711291,0.01,-0.459102100295814,-20.950227651670367,-37.978046982180864,17.027819330510496,0.015,-0.13937415663645195,-16.903472930210576,-26.108745597211943,9.205272667001367,0.005,0.5034946033263483,-35.59597671368769,-42.732001172171934,7.136024458484243
6.0,0.0175,-0.10461784428859083,-16.21055287472632,-24.914071236579012,8.70351836185269,0.01,-0.2727607402370351,-21.05681808438805,-23.340716386230064,2.283898301842015,0.0175,-0.0003532106362272147,-15.642376390019962,-21.778462918328554,6.136086528308592,0.005,0.5427253483600614,-37.021242361037345,-54.07101513515539,17.049772774118047
7.0,0.0175,0.2169850612304583,-15.649871307681863,-24.75223203915341,9.102360731471546,0.01,-0.2232271621754268,-21.571228571607946,-23.84379232436292,2.272563752754973,0.015,0.22327032499644126,-17.415909330273735,-25.279189304817876,7.863279974544142,0.005,0.4310782441191147,-38.22723705440753,-55.99945475842459,17.77221770401706
8.0,0.0175,0.10784253427896014,-14.958460711026717,-27.461209376817635,12.502748665790918,0.01,0.012557598058808638,-21.050459342029843,-31.764038893475025,10.713579551445182,0.0125,0.25767646984215997,-18.418722154571448,-24.105565528379586,5.686843373808138,0.005,0.5505117191795103,-39.11072081848013,-86.9717692136949,47.861048395214766
9.0,0.02,0.21542235044864314,-14.10300387839098,-35.565145845099615,21.462141966708636,0.0125,0.2536610145873661,-18.92289723258851,-23.543119241511306,4.620222008922795,0.0125,0.13622719127072233,-18.941418663650595,-28.508049464407932,9.566630800757338,0.005,0.5345870437574604,-39.54552078848225,-46.86743872474172,7.321917936259467
