,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,-0.04376832197488846,-66.22659904607586,-67.3864379856296,1.1598389395537367,0.005,0.980632541241094,-77.38592425955557,-87.57540725448125,10.189482994925683,0.005,-0.05651390430279141,-73.83456145194062,-87.19572774410793,13.361166292167312,0.005,0.5131627810917764,-78.53041043660723,-86.03588846021341,7.505478023606187
1.0,0.005,-0.5487098707714696,-63.46054508275023,-67.3864379856296,3.9258929028793688,0.005,-0.23972826836665648,-85.99378995887237,-95.4854720230651,9.49168206419273,0.005,-0.60188497575144,-72.34901949570673,-72.34901949570673,0.0,0.005,0.46831970785236704,-79.5372286518292,-86.08782994851593,6.550601296686736
2.0,0.015,0.9903679459115359,-17.455752070353647,-17.455752070353647,0.0,0.005,0.9892697232524771,-26.26096711649928,-30.331212716951654,4.070245600452374,0.0125,0.9949222855128412,-19.796364398120055,-24.30438208144317,4.508017683323114,0.005,0.8919868126846917,-42.00246179070497,-67.25622276974943,25.253760979044458
3.0,0.0175,0.9778363842349164,-15.448215603095692,-43.15030175918528,27.702086156089592,0.0125,0.9754622701630903,-19.293368694832076,-25.10573259687307,5.812363902040996,0.01,0.990149379885613,-20.665005258345957,-26.98558243108498,6.320577172739021,0.005,0.8548156487494627,-46.79539105942218,-56.9985752078414,10.203184148419219
4.0,0.015,0.9643601419432415,-17.617438242116595,-26.36890413873344,8.751465896616846,0.01,0.9447887713899646,-22.222922577867617,-34.212055103639585,11.989132525771968,0.01,0.9887510521373845,-21.381524392922326,-32.863821722770574,11.482297329848247,0.005,0.8179868568002684,-50.60839674241918,-71.17792937214345,20.56953262972427
5.0,0.015,0.9722655260760591,-17.647713245364372,-18.772960782616106,1.1252475372517345,0.01,0.9551946455949024,-21.165362719230316,-34.49821357940411,13.332850860173792,0.01,0.9900910498052056,-21.69323088909127,-46.240770344711194,24.547539455619923,0.005,0.7768516921923437,-52.044025996153096,-64.94347851085094,12.899452514697842
6.0,0.02,0.9694360661697115,-14.630927113739657,-27.039807663794555,12.408880550054898,0.01,0.9484304131554991,-21.27730488930119,-26.48526497903548,5.207960089734293,0.0125,0.9889481093817168,-19.139184477123322,-19.139184477123322,0.0,0.005,0.9078675283219825,-26.687728626517377,-42.1758131160601,15.488084489542722
7.0,0.0175,0.9665840604948719,-15.071944809866695,-35.98893182649837,20.91698701663168,0.01,0.9559483626167856,-21.443649938788578,-25.695423075074547,4.251773136285969,0.0125,0.9829285750993673,-18.984243299611794,-29.001699344166415,10.01745604455462,0.005,0.9032430731761747,-28.65421179882603,-54.67337193905205,26.019160140226024
8.0,0.0175,0.9519685199640764,-16.378376299802216,-26.69501467327366,10.316638373471445,0.01,0.9450831852566212,-21.978893807179777,-22.507856758427973,0.5289629512481966,0.01,0.9666904761927001,-21.388102978437182,-31.711305800249967,10.323202821812785,0.005,0.8844822539385521,-32.43192444856477,-40.98301697053987,8.5510925219751
9.0,0.015,0.9471772939086084,-16.96367631154887,-20.772366128949145,3.808689817400275,0.01,0.9511969437495104,-21.976669613373886,-24.876562256280714,2.8998926429068277,0.01,0.9485349725385429,-20.191462071886342,-21.83613810178759,1.6446760299012482,0.005,0.8709281812256509,-34.074749534264924,-54.75913600815929,20.684386473894364
10.0,0.0175,0.938307583807662,-16.42567278053039,-31.53860419566452,15.112931415134128,0.01,0.9480299158540054,-21.345941488171214,-49.76289144599047,28.416949957819256,0.015,0.923776958140213,-18.03615003840669,-30.275462298630792,12.239312260224104,0.005,0.858713077409315,-32.204047671927945,-51.181097596730964,18.97704992480302
11.0,0.02,0.9579200427032134,-14.646655949385014,-21.406259324928275,6.759603375543261,0.0125,0.969544546609988,-19.284630062573775,-25.48611898918029,6.201488926606515,0.0125,0.940798647758202,-17.60396728055192,-28.04186083148597,10.43789355093405,0.005,0.8219621129876866,-36.078813350249895,-47.55829708012024,11.479483729870346
12.0,0.015,0.928337604782819,-16.535264213511887,-22.93582445134982,6.400560237837933,0.015,0.9615417364547973,-19.136745119566815,-53.21404385422071,34.077298734653894,0.0125,0.8991449151206715,-18.829924565815396,-33.58568095107165,14.755756385256255,0.005,0.7566184399875129,-36.64521739914632,-52.86519565500407,16.219978255857754
13.0,0.0175,0.9056512652694515,-15.377871470986975,-51.82341297795672,36.44554150696975,0.0125,0.95254781538899,-19.364159508796906,-21.876048747578267,2.511889238781361,0.01,0.8171517524359958,-20.833774725378248,-25.410810277701003,4.577035552322755,0.005,0.7895616356912594,-36.29504698064247,-42.396393095758654,6.101346115116186
14.0,0.0275,0.9434879134458378,-11.438119156125271,-18.900475132014904,7.462355975889633,0.015,0.9628559927866711,-19.323019995292587,-25.321894159605844,5.998874164313257,0.0225,0.9470857155768497,-12.490530374107156,-19.05896820609476,6.568437831987605,0.01,0.8611274625704997,-22.523690460813892,-42.37680285454714,19.853112393733245
15.0,0.0225,0.8902302337858257,-13.07233874603546,-16.894806794718416,3.822468048682957,0.01,0.959418300629859,-20.43653972982797,-30.78813150713807,10.351591777310098,0.0175,0.8588759075390596,-15.201255504133744,-28.405070244580344,13.2038147404466,0.01,0.8825157836546642,-25.464528876113704,-41.19797701503416,15.733448138920458
16.0,0.025,0.8667133772837765,-13.061599956736709,-28.405611670559253,15.344011713822544,0.01,0.9548336709378714,-21.993647733976754,-23.02047898353337,1.026831249556615,0.0175,0.8363129021813553,-15.572905850453436,-54.40285441478822,38.829948564334785,0.0075,0.8660087107083744,-25.634829449623236,-56.12623725203561,30.491407802412372
17.0,0.02,0.8769009438669407,-14.034710861571462,-23.672357810469382,9.63764694889792,0.01,0.962854753818656,-21.439791614111865,-24.93646119274729,3.4966695786354265,0.015,0.823972325686378,-16.907989086729398,-24.70082386242987,7.792834775700474,0.005,0.83316826076599,-29.393203661667513,-31.02758183154371,1.6343781698761966
18.0,0.02,0.8156728287355229,-14.992648392995992,-26.649299359122725,11.656650966126733,0.01,0.9561700285709086,-24.08066746371488,-27.966799400494548,3.886131936779666,0.015,0.7831957966456294,-17.003230971840996,-47.88285210847178,30.879621136630785,0.005,0.8170241956331867,-30.057774806845366,-52.14980208582513,22.092027278979764
19.0,0.0225,0.8065015837733187,-13.276494636128175,-30.537819561622044,17.261324925493867,0.01,0.9627352179113285,-23.010649058592527,-27.71593479088734,4.705285732294811,0.0175,0.7469316676310866,-16.47658881254832,-24.467780490306584,7.991191677758263,0.005,0.8123147994346617,-28.830582455457325,-44.12229904189115,15.291716586433822
20.0,0.02,0.7622716296545499,-14.74163183207688,-36.64805793441736,21.90642610234048,0.01,0.9063133256440151,-25.7264537665705,-34.16176248766777,8.435308721097272,0.015,0.7188319165143349,-19.538957738081415,-25.819969296447816,6.2810115583664015,0.005,0.8357316948057765,-29.788612393475574,-49.53255955080336,19.74394715732779
21.0,0.0175,0.8253815701935103,-15.334387577224469,-35.02547605138774,19.691088474163273,0.01,0.9543949483105612,-24.87997922501727,-49.84731915960796,24.967339934590694,0.0125,0.783786771046595,-19.648642256877803,-26.677593941232804,7.028951684355,0.005,0.7828100901948227,-32.24368716564016,-40.66022321242167,8.41653604678151
22.0,0.02,0.8756343552707953,-15.754921025487276,-22.93582445134982,7.180903425862544,0.005,0.954609847904193,-26.612718154082344,-38.1323963702165,11.519678216134153,0.015,0.8287659274978365,-18.39655041343311,-22.40011987643131,4.0035694629982,0.005,0.7607272549019111,-28.790324988473152,-52.971693608848824,24.18136862037567
