,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.8289124248310688,-68.72537377824186,-69.48114499602985,0.7557712177879949,0.005,0.9377010473062288,-94.49642492417489,-113.5402750078069,19.04385008363201,0.005,0.30118975768824263,-79.96253653071535,-87.69842279917455,7.735886268459197,0.005,0.11733807533545067,-76.97407540578968,-119.63847476859104,42.66439936280136
1.0,0.1,0.9468780877276731,0.0,-0.19433530347651173,0.19433530347651173,0.005,0.7526331518853269,-30.099693332817786,-35.026445605940275,4.926752273122489,0.085,0.9568058876984086,0.13942966202533147,-14.867258724487382,15.006688386512714,0.0825,0.916178170252791,-0.5010074586346334,-12.114454837470394,11.61344737883576
2.0,0.1,0.7386475242628137,-0.18593620184164772,-10.71712078221575,10.531184580374102,0.025,0.8807254384390713,-11.203535919463011,-23.767221240666373,12.563685321203362,0.0975,0.8406792173568925,-0.08605478062801215,-41.60979478893569,41.523740008307676,0.05,0.28179823222017114,-5.175766288560237,-16.9853286248106,11.809562336250362
3.0,0.07,0.2873966192530985,-2.6076031725556637,-21.834253699547773,19.22665052699211,0.02,0.6667576625083477,-14.586844003965,-36.174400104890395,21.587556100925397,0.055,0.17697412964614706,-4.025115376033371,-18.287695127804056,14.262579751770685,0.04,0.21067548366117464,-8.550680840017106,-18.959698960542628,10.409018120525522
4.0,0.065,0.3462384187205758,-3.109634382676261,-9.707534084944001,6.59789970226774,0.025,0.73527467445266,-13.241288948185908,-16.19930258331401,2.958013635128104,0.05,0.05559763932955474,-5.9266968544527545,-77.26942096069573,71.34272410624297,0.0325,0.19118857418533447,-9.797284789869101,-23.2325097051497,13.435224915280598
5.0,0.0575,0.41504731287948476,-4.725245130551406,-6.524808907548235,1.7995637769968287,0.025,0.9298301759584514,-12.71645248943307,-31.500075940164468,18.783623450731397,0.04,-0.09981263841726169,-7.594605766593655,-16.809446882411216,9.21484111581756,0.03,0.0343248359052991,-11.18378753611356,-38.05650606599181,26.872718529878252
6.0,0.05,0.5633846665333052,-5.337273822092276,-18.79831433279707,13.461040510704795,0.025,0.9543324058824316,-13.321853403838047,-14.169876125821723,0.8480227219836767,0.035,-0.2132500307316223,-8.294509338257674,-16.43244891410474,8.137939575847065,0.03,-0.0009772069663469547,-11.143705629971322,-45.5302561746414,34.38655054467008
7.0,0.06,0.5349538100506032,-4.801850077442395,-21.085032926744493,16.283182849302097,0.0275,0.9292101975066626,-11.479608683154112,-20.202214947474744,8.722606264320632,0.0425,-0.22396101602677032,-7.15445971159093,-18.836480862450877,11.682021150859946,0.0275,-0.04818091503053175,-11.803867283668396,-39.133924844424655,27.33005756075626
8.0,0.1,0.9299874055934336,-0.16267789766608554,-4.380960665351486,4.2182827676854,0.1125,0.9787775464625835,1.572039778430143,-4.395616211151114,5.967655989581257,0.0575,0.751759856028992,-4.1469914498463565,-25.493453549915962,21.346462100069605,0.06,0.5809648103331307,-3.764320704546307,-26.390304157416562,22.625983452870255
9.0,0.055,0.6200854854753246,-4.163357758527439,-11.451978568107608,7.288620809580169,0.055,0.9560381190295417,-4.443774332400375,-33.179259653173716,28.735485320773343,0.0225,0.07359859474516545,-12.128813387196725,-33.15322258080962,21.024409193612893,0.015,-0.30732341653175144,-19.07478156128454,-28.28264804559727,9.207866484312731
10.0,0.0625,0.6859885325430765,-3.6978825179344463,-16.80993973822305,13.112057220288605,0.0475,0.9239830799261902,-6.297553632589939,-19.094169444162638,12.7966158115727,0.0225,0.21740636025023935,-13.932644304228347,-22.16894342109036,8.236299116862014,0.01,-0.2665075435765224,-21.261861676913007,-26.28068103231997,5.018819355406961
