,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.055,0.9641433530563177,-5.254850039048722,-11.24347196584827,5.988621926799548,0.02,0.9942311041507143,-14.892327057955718,-15.56013678562909,0.6678097276733723,0.0425,0.9438868475160731,-7.893917285303376,-17.479021442648815,9.58510415734544,0.01,0.4811956952263132,-21.29113244685953,-34.498360122493835,13.207227675634304
2.0,0.075,0.9811300794566188,-2.5932995223276434,-25.638923492371667,23.045623970044023,0.0675,0.9966210471293844,-3.378594879909043,-26.792780412572252,23.41418553266321,0.025,0.6202699180867622,-11.63373784077201,-19.465368152932164,7.831630312160154,0.01,-0.23217578049340204,-20.15206281016414,-50.69136981635984,30.5393070061957
3.0,0.0625,0.9909111178857755,-3.931878025306239,-9.322311979748681,5.390433954442442,0.06,0.9984219680983379,-4.3928748786707486,-7.279859501200239,2.88698462252949,0.015,0.5446661153369933,-17.553960908031872,-24.484526541949066,6.930565633917194,0.01,-0.0762772568765882,-24.86250034880976,-38.316480515296426,13.453980166486666
4.0,0.06,0.9910512231169087,-4.458118132522765,-21.646408347584646,17.188290215061883,0.0525,0.997584153373798,-5.608496570095092,-6.787153943444299,1.178657373349207,0.0125,0.47760427781411463,-18.527964760556998,-25.30986851961197,6.781903759054973,0.005,-0.187674004356474,-31.087050607550847,-45.48347697850857,14.396426370957723
5.0,0.065,0.99330153172246,-3.7247033830798593,-11.393720236970884,7.669016853891025,0.0575,0.9966769837608788,-4.985108573803454,-19.607708837550646,14.622600263747191,0.0125,0.8107604016883205,-19.41766657882184,-32.186369811344505,12.768703232522665,0.005,-0.16849017086569673,-36.970864856480766,-52.07154967364853,15.100684817167767
6.0,0.06,0.9851052756248047,-4.444400190003033,-12.315871093081645,7.871470903078612,0.0525,0.9903148332328994,-3.915580745396526,-11.2511107724355,7.335530027038973,0.015,0.798010328587008,-17.682994991004616,-26.706124606130363,9.023129615125747,0.005,-0.392310952882061,-28.16030959204779,-58.6264674959833,30.46615790393551
7.0,0.055,0.9739265143640031,-3.8902947898224545,-6.412608907953655,2.5223141181312005,0.055,0.9841804326301234,-5.066714906214271,-23.87700504697357,18.8102901407593,0.0225,0.8774413529671828,-13.195774352860283,-21.08180546405777,7.886031111197486,0.01,0.8670337309111709,-24.55834356478856,-68.73680867139697,44.178465106608414
8.0,0.0625,0.9446480931685056,-4.037559330398018,-20.3070148608799,16.26945553048188,0.0475,0.9748930086509485,-5.294867165612712,-11.663438863349123,6.368571697736411,0.0175,0.6477204483088176,-15.158546317072423,-15.158546317072423,0.0,0.005,0.4204614969251128,-30.35285158142809,-55.48610479163802,25.13325321020993
9.0,0.0475,0.9318739445145195,-5.50900284145693,-12.98798021900886,7.47897737755193,0.04,0.9470505620258381,-8.0276243503947,-12.493068458527032,4.465444108132333,0.02,0.8208851321416958,-15.02554957244797,-19.2954548571508,4.269905284702832,0.005,-0.07827622377447742,-45.88779295527955,-95.44467578141726,49.55688282613771
10.0,0.04,0.9163708166767939,-7.060697977065427,-19.771878956676865,12.711180979611438,0.0375,0.9273272895618311,-8.795719871307321,-10.46460494127556,1.6688850699682387,0.0175,0.736375976850646,-16.454691917516286,-39.60337993080679,23.148688013290503,0.005,-0.14768374037389553,-51.49943888291145,-68.29665045608502,16.79721157317357
11.0,0.0325,0.9516519025793498,-9.368956088824248,-30.17967785420972,20.810721765385473,0.0325,0.9678556618315933,-10.452136195903929,-29.667522342606457,19.215386146702528,0.015,0.6838022372700112,-16.55615952066993,-33.153312531138354,16.597153010468425,0.005,-0.21861263705671927,-31.610219722563198,-72.02132361415893,40.41110389159573
12.0,0.03,0.967478539066322,-9.646959965917402,-16.190014800988443,6.543054835071041,0.025,0.9875618759369401,-12.327285369046523,-13.255348543944255,0.9280631748977317,0.0125,0.8166951170643829,-18.241192363516713,-37.0827503158517,18.841557952334984,0.005,-0.0982536650455003,-48.64754109486413,-50.34402478531004,1.696483690445909
13.0,0.065,0.9799875025656527,-2.2696209452903666,-33.569863958003346,31.30024301271298,0.045,0.9862577515850663,-7.169684000440175,-8.156242279642814,0.9865582792026393,0.0175,0.880290230966049,-15.183431917109349,-30.03140830851524,14.84797639140589,0.0275,0.9844099964216464,-11.105426171774548,-23.846815154299314,12.741388982524766
14.0,0.0675,0.9602412915462292,-3.3269465279337225,-8.354831087561761,5.027884559628038,0.04,0.988623695645508,-7.836041424178504,-23.924287689821394,16.08824626564289,0.0375,0.8535457756383146,-7.219974534423601,-18.580043740112053,11.360069205688452,0.0225,0.9907743433955831,-13.41109307091195,-39.070122734306025,25.659029663394076
15.0,0.0425,0.9623704050237161,-6.865700428375226,-36.522821516721955,29.657121088346727,0.0325,0.9942288282228937,-9.890633684791455,-13.95923176689304,4.068598082101586,0.0125,0.6400263960347294,-18.990707023878045,-25.096379873609752,6.105672849731707,0.01,0.9331727898928219,-20.454461684144704,-61.854676622512166,41.40021493836746
16.0,0.03,0.9584008999298043,-9.967496771673174,-14.146130183964535,4.1786334122913615,0.0275,0.9922505292941436,-11.600078458232762,-16.37514267711406,4.7750642188812975,0.01,0.6650477875837741,-22.379555848838855,-28.201917400328572,5.822361551489717,0.005,-0.2506248689228348,-36.02687863795297,-48.6973158505075,12.670437212554532
17.0,0.0275,0.9519047500344824,-11.539604931841453,-14.856697702210939,3.317092770369486,0.025,0.9896862355722182,-12.63310482533009,-18.436804139943934,5.803699314613844,0.01,0.624179027504271,-20.689819068229177,-29.837876622130945,9.148057553901769,0.005,-0.012385128950450438,-36.24017130661913,-55.41061186566401,19.170440559044877
18.0,0.025,0.940411216783456,-13.109429866353944,-34.475185718792,21.365755852438056,0.0225,0.9828097684557635,-13.538365134934537,-14.94422326811043,1.4058581331758937,0.01,0.7137135716290638,-23.3943601612966,-25.375579951546186,1.981219790249586,0.005,-0.32348885248347214,-49.96579575851257,-62.30502947394364,12.339233715431071
19.0,0.0225,0.9382298934714881,-13.409519936256604,-16.660681465647187,3.2511615293905827,0.02,0.9891734461714774,-14.136384129484941,-46.85931912946198,32.72293499997704,0.01,0.6690800467984861,-24.008819614360746,-37.345126502365915,13.336306888005169,0.005,-0.06481399283675106,-40.28640344403865,-69.98759823185677,29.701194787818118
20.0,0.085,0.9662642456263887,-1.3763916328697734,-2.029599264233133,0.6532076313633595,0.075,0.9917675421090951,-2.0710875038101846,-26.383413118945956,24.312325615135773,0.04,0.8598991304272326,-8.470199196954907,-13.115865560491422,4.645666363536515,0.0175,0.4194208089425641,-16.13548641704567,-37.53636415029793,21.40087773325226
21.0,0.09,0.9857919247518702,-0.25581414010297154,-3.304813892995395,3.0489997528924238,0.0825,0.9923478659738951,-1.5265866192698188,-5.673505388769908,4.14691876950009,0.025,0.7793461045059087,-12.126176756144126,-19.880514005329843,7.754337249185717,0.0075,-0.30022560794605463,-24.38643874224715,-43.561006358943374,19.174567616696223
22.0,0.0625,0.9891223724225594,-3.321116680317009,-6.902590701726766,3.5814740214097567,0.0625,0.9961362328821438,-3.470444758881128,-7.733203490617219,4.262758731736092,0.02,0.8437129032229193,-15.190295115081456,-40.387217289122916,25.19692217404146,0.005,-0.16726092079238958,-32.49355057642671,-66.21217320357357,33.71862262714686
23.0,0.055,0.9935760518504848,-4.80092864428627,-6.056192428497687,1.255263784211417,0.055,0.9970971985487714,-4.052988834452484,-10.980585399902106,6.927596565449622,0.015,0.9337206431322563,-17.37680941375427,-19.562159526897233,2.185350113142963,0.005,-0.2991001877036368,-34.21100452108064,-56.970063014238804,22.759058493158165
24.0,0.0525,0.9932709219270972,-5.190047711215559,-10.684408950794342,5.494361239578783,0.05,0.9975856603044329,-4.502388901697358,-15.345548418310601,10.843159516613243,0.015,0.8774436878201637,-19.439844209280064,-25.315151714344978,5.875307505064914,0.005,-0.02856268993691289,-39.21168003438997,-49.58302596290139,10.371345928511417
