,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.023519688723868587,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.7641451457262455,-102.77058677575315,-119.92388427870559,17.15329750295244,0.005,0.05435462110272632,-97.7757401383621,-124.77372010426151,26.997979965899418,0.005,0.03363406373553096,-90.95905676929979,-122.91993001200788,31.96087324270809
1.0,0.0075,0.9967131869163608,-24.38008281506643,-28.653291292865354,4.273208477798924,0.005,0.9986135321493108,-41.8565606134828,-42.48790247653833,0.6313418630555319,0.005,0.997640863909113,-32.37212518765841,-34.41885260508103,2.046727417422616,0.005,0.9960187796108241,-31.122994780317672,-37.25839047065844,6.1353956903407685
2.0,0.0425,0.99736175747888,-6.613467134177371,-24.078159531170456,17.464692396993087,0.0375,0.9978758086866749,-8.705111595424794,-34.025028288485764,25.319916693060968,0.0175,0.9964982204011166,-15.222073083253386,-19.502815573441442,4.2807424901880555,0.005,0.9948730162874757,-31.73393346505785,-60.12567678827025,28.3917433232124
3.0,0.025,0.9976319154045539,-11.501657779481054,-16.802599032408516,5.300941252927462,0.02,0.9979201625733127,-13.98775019897055,-30.669292967983054,16.681542769012502,0.0175,0.9963563454517631,-16.042869381088966,-26.633789696922115,10.590920315833149,0.005,0.9952737126772601,-32.34054676091028,-40.367402139650146,8.026855378739867
4.0,0.02,0.9971207241099868,-15.732187332394929,-26.55294592482597,10.82075859243104,0.015,0.9982083618316715,-16.915204345421756,-24.36792792053201,7.452723575110255,0.015,0.9966384886182386,-19.154672442793593,-52.69670919809141,33.542036755297815,0.005,0.9943003877920807,-34.67756564821021,-61.37121763758466,26.693651989374445
5.0,0.0125,0.9965269946457919,-17.749398902594756,-21.82116761098881,4.071768708394053,0.01,0.997622378951356,-21.7071111943495,-32.87248844999127,11.165377255641772,0.0125,0.9963927290668796,-19.6270602096064,-23.833519973066362,4.206459763459961,0.005,0.9889350590592944,-35.53413057379365,-51.84401536634178,16.309884792548132
6.0,0.0225,0.7912869214917354,-12.289646220811871,-15.576288745457932,3.2866425246460604,0.005,0.9805288265491641,-26.289639850738414,-57.468536542342285,31.17889669160387,0.0175,0.852430806804256,-14.369297066857708,-14.897965774949773,0.5286687080920647,0.005,0.05564684602809278,-27.556041018922453,-43.60012202270543,16.044081003782974
7.0,0.035,0.5026290697207042,-7.759127804058709,-15.326645452067911,7.567517648009202,0.015,-0.1046118417262049,-18.37642864173507,-51.79780015888204,33.421371517146966,0.025,0.6694336633444636,-12.895280453489022,-13.989175670942826,1.0938952174538041,0.005,-0.1460670554862406,-26.285617999878674,-35.38137244205948,9.095754442180805
8.0,0.0475,0.4842256575217316,-6.095139082834372,-19.86011402906796,13.76497494623359,0.0225,0.07569991306085559,-13.87022386215174,-28.8946510271543,15.02442716500256,0.035,0.6480345754927337,-9.310934959782285,-19.400316420105373,10.089381460323088,0.01,0.0647742360659889,-20.292692094955097,-31.27200951165054,10.979317416695444
9.0,0.075,0.858644766568868,-2.0671831445183204,-4.859634489435288,2.7924513449169672,0.0325,0.9325624817066395,-10.175306796303587,-33.90884898586302,23.73354218955943,0.0625,0.9138277665920275,-3.897860059701767,-18.122516072716742,14.224656013014975,0.015,0.19583207395140023,-16.952797674575343,-32.85485222129422,15.90205454671888
