,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.7339919955169223,-90.30899869919435,-90.30899869919435,0.0,0.005,0.8551008676284254,-92.63477116797262,-100.44343933504364,7.808668167071019,0.005,0.07781288518033107,-92.06380823085881,-115.84488995394045,23.78108172308164,0.005,0.010752603094653666,-92.63627054419418,-133.97940008672037,41.3431295425262
3.0,0.015,0.3066446995486646,-19.277559225709282,-28.475659547280667,9.198100321571385,0.005,0.23743500824870067,-32.81114608586154,-39.25809209924887,6.446946013387333,0.0125,0.3216671292012914,-19.659076270645155,-31.743292494031955,12.0842162233868,0.005,-0.1751549387635341,-38.58056159218769,-56.53121983897405,17.95065824678636
4.0,0.015,-0.44066370236226254,-19.592992882696404,-41.490817057890006,21.897824175193602,0.005,-0.12722560693726778,-33.61106296709641,-35.11254244686255,1.5014794797661395,0.01,-0.4229134374307241,-20.804234202057998,-24.687726088833916,3.883491886775918,0.005,-0.1981593477985038,-37.962346226800925,-57.02065562645479,19.058309399653865
5.0,0.0125,0.05105833153624088,-19.331387446444058,-29.019838914655985,9.688451468211927,0.005,0.13858586390450542,-33.43476370920175,-57.6088569699058,24.174093260704055,0.01,-0.0860482008079971,-21.059511004635,-22.621312668434438,1.5618016637994394,0.005,-0.13111468681108002,-39.19434277504207,-44.94413041720004,5.749787642157976
6.0,0.0125,-0.09910294062031205,-19.608182434171148,-42.49029655712677,22.88211412295562,0.005,0.31959620666181054,-33.66616219612539,-45.92215610260321,12.25599390647782,0.01,-0.010536271603406455,-20.91299411534048,-55.71354903918524,34.80055492384476,0.005,0.0050371994320932666,-37.558507188927365,-62.848262572798404,25.28975538387104
7.0,0.0125,-0.05461217276029881,-19.98622716485287,-36.277638998075815,16.291411833222945,0.005,0.1408306675373232,-33.863564468233044,-34.56646745363935,0.702902985406304,0.01,-0.19615750926855166,-21.30503905699186,-43.60426499623725,22.29922593924539,0.005,-0.12241552920187755,-35.855492497439634,-50.30622146752832,14.450728970088683
8.0,0.01,0.07321339910560846,-20.512640533165346,-32.02213555680554,11.509495023640191,0.005,0.3806470327861779,-34.31271288921823,-67.15618040734026,32.843467518122026,0.01,0.10582423476992092,-21.644512062777217,-41.192881613899324,19.548369551122107,0.005,-0.09711356914006188,-37.527137023342064,-53.5861732224398,16.059036199097733
9.0,0.01,-0.2053610953345819,-20.42034072466638,-21.016227517293697,0.595886792627315,0.005,0.037034161767060175,-34.79867286861215,-50.84371204691644,16.045039178304286,0.01,-0.2711440053554253,-21.839076943572895,-27.167138442570963,5.328061498998068,0.005,-0.13449297257593149,-35.94277208380938,-59.26353893712196,23.320766853312577
10.0,0.01,0.03866992703231995,-20.431476482137896,-50.22257122354151,29.79109474140361,0.005,0.26458647096867377,-34.47621018058114,-46.659807772652194,12.183597592071052,0.01,0.00868103899199917,-21.648713272599565,-25.260534672495275,3.6118213998957103,0.005,-0.13703354148095193,-37.23619887664568,-44.134872386229056,6.898673509583375
11.0,0.01,-0.31894793173683245,-20.442626534552325,-35.454496073100394,15.01186953854807,0.005,-0.055902410752126576,-34.168900390927696,-35.27964031243182,1.110739921504127,0.01,-0.2901966237847933,-21.095860434716137,-28.55977294356483,7.4639125088486935,0.005,-0.18110827387970277,-36.34274422050925,-56.437015379327136,20.094271158817882
12.0,0.01,-0.0305064540275804,-20.445416285544052,-35.517551810192515,15.072135524648463,0.005,0.09405697195091076,-34.14163627835576,-45.12079698775377,10.979160709398009,0.01,-0.1377695968813167,-21.769862566546717,-29.112809817383294,7.342947250836577,0.005,-0.10470756733103218,-37.43971936194423,-52.82137936857522,15.381660006630995
13.0,0.01,-0.3225265177110317,-20.27959725718611,-22.828703893356128,2.5491066361700163,0.005,0.04389942367858668,-34.3366853118662,-55.62505509693774,21.288369785071545,0.01,-0.23789505248190426,-21.103993593104708,-25.245042578453084,4.141048985348377,0.005,-0.1910419106157899,-35.84243732978043,-51.02314594440116,15.180708614620727
