,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,0.7069268397698291,-67.3864379856296,-67.3864379856296,0.0,0.005,0.9985817640509603,-77.20236950256697,-87.3483115716286,10.145942069061633,0.005,0.9550204921946849,-73.71232276292352,-91.49605700974445,17.783734246820927,0.005,0.7734381207638688,-76.83676538307711,-99.77912421385982,22.94235883078271
1.0,0.005,0.7543675768812097,-50.84644162720038,-55.0404388279356,4.193997200735225,0.005,0.4385727482255731,-65.77858705534965,-71.52595998920994,5.747372933860291,0.005,0.6741411603852192,-63.89299776611293,-65.15797895969695,1.2649811935840205,0.005,0.9300799897035692,-56.35269348264768,-62.73792886492363,6.385235382275951
2.0,0.005,0.996128847257858,-26.091931392896495,-30.40507286725077,4.313141474354275,0.005,0.9982571298966364,-30.672619060026154,-32.79332710422312,2.120708044196963,0.005,0.9790064182030062,-39.52187464870935,-46.931485889463886,7.409611240754536,0.005,0.9482416673415677,-37.97717240780224,-42.78053139012249,4.803358982320248
3.0,0.0575,0.9479610296274309,-4.587058122904716,-10.906712253492417,6.319654130587701,0.01,0.9710210464444228,-22.61351002573312,-46.224100838477895,23.610590812744775,0.035,0.959855443894366,-9.706124738033141,-22.46138376444562,12.75525902641248,0.025,0.980512304930153,-12.08376357427947,-33.09330279131918,21.009539217039713
4.0,0.0675,0.8163321356649463,-3.480703929157766,-19.07504804611449,15.594344116956723,0.0325,0.9753306125202172,-10.286705644013951,-20.394923991527744,10.108218347513793,0.0325,0.6731983432870565,-10.320177868770324,-30.851046450229987,20.530868581459664,0.035,0.7435055101691832,-9.265232423357043,-24.955324167562686,15.690091744205644
5.0,0.065,0.8535225763535405,-3.4270506273061594,-25.117121121475382,21.690070494169223,0.0275,0.9763366360072572,-11.873037060848397,-20.21538998017143,8.342352919323034,0.04,0.8130326305808743,-7.804803519830706,-14.512155041981892,6.7073515221511855,0.025,0.6781613211784251,-12.100788379774531,-24.836796363063645,12.736007983289113
6.0,0.055,0.8388450552909094,-5.725092221661471,-17.63760984811252,11.912517626451049,0.0225,0.9951165878702171,-12.991425790768572,-39.76573605666933,26.77431026590076,0.035,0.7983000077413388,-9.207166561326423,-20.156542045953117,10.949375484626694,0.025,0.6513164020857346,-13.74268332605886,-36.4378421329493,22.69515880689044
7.0,0.0425,0.8042515172700071,-7.750712811762494,-27.708759705756272,19.958046893993778,0.015,0.9060135123433329,-17.72129387465245,-26.607741950211796,8.886448075559347,0.0275,0.8026273906297805,-11.085025547843035,-25.99720759852125,14.912182050678215,0.02,0.7231626144127739,-16.220809559266836,-23.711540087022453,7.490730527755616
8.0,0.035,0.7173541586369253,-8.967581578286955,-18.08515748182567,9.117575903538716,0.01,0.8438740872253947,-20.922775713259085,-29.815828885591287,8.893053172332202,0.025,0.6512435822599205,-12.646024460237657,-16.2985695001046,3.6525450398669417,0.015,0.834602336855035,-17.407122400249126,-42.22432409269223,24.817201692443103
9.0,0.035,0.7460514002273528,-9.193025508544743,-84.28839878591472,75.09537327736999,0.01,0.9882699005410461,-20.25039851520049,-31.69064843113283,11.440249915932338,0.0275,0.7212361757493752,-11.642161550388632,-54.95523283577079,43.313071285382165,0.0225,0.7003449043288557,-13.389180643030771,-37.51724104377668,24.12806040074591
