,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.7010513307329113,-80.76657360480111,-84.28839878591472,3.5218251811136128,0.005,0.9366070897498251,-96.99583547982306,-96.99583547982306,0.0,0.005,0.42593818501567954,-90.64425126055328,-93.8703779844044,3.2261267238511238,0.005,0.06951620885637441,-91.76209161012838,-105.01165864042278,13.2495670302944
1.0,0.0275,0.9745524861517464,-10.286444693653658,-14.544216751550996,4.257772057897338,0.005,0.9953313429086817,-31.56580146233635,-31.56580146233635,0.0,0.01,0.9634901034804095,-20.17128189369377,-20.17128189369377,0.0,0.01,0.9621959048223028,-20.539895943354992,-28.36826493767035,7.828368994315358
2.0,0.045,0.9552254688139937,-6.418156870353612,-36.793431865712655,30.375274995359042,0.035,0.9764146136384705,-9.464988737923504,-16.55367332563902,7.088684587715518,0.025,0.9196534737573485,-12.050297325195993,-19.036415455193353,6.98611812999736,0.0075,0.8718589060102604,-25.894101177799115,-86.77048959342498,60.87638841562587
3.0,0.035,0.8920163061634233,-8.303656112042315,-13.665209477824094,5.361553365781779,0.015,0.9074983581017,-16.53796140729972,-53.053074798076096,36.51511339077638,0.0275,0.9105453703620009,-10.775847356578714,-27.341516203928535,16.56566884734982,0.005,0.8777050690558702,-26.34198989008926,-38.754412423075614,12.412422532986355
4.0,0.0325,0.8962366448092427,-10.407708016071526,-21.1453099877891,10.737601971717575,0.0175,0.8479626301874297,-15.661274820362582,-22.19949521824937,6.538220397886789,0.0225,0.9067375764100318,-13.529649390526036,-50.04136403070797,36.511714640181935,0.005,0.8488613346473,-29.207783371586785,-40.31139999285004,11.103616621263257
5.0,0.0275,0.9304080559959944,-11.803788508805651,-35.517551810192515,23.713763301386862,0.02,0.9652265212440414,-13.72897195153697,-25.45121674914221,11.722244797605239,0.02,0.94868937425788,-14.71305705972247,-17.010264589212692,2.2972075294902226,0.005,0.8494854371181465,-31.55928704825226,-46.48169141707888,14.92240436882662
6.0,0.025,0.9767932574036831,-11.346610211583636,-21.26100178096553,9.914391569381893,0.02,0.9573421789536751,-15.833509617299203,-17.05683502717766,1.2233254098784556,0.0175,0.9753050240574406,-15.690026573278171,-24.376595872825458,8.686569299547287,0.005,0.8919545499420926,-28.31126475809147,-34.118657247140966,5.807392489049498
7.0,0.0275,0.9761820785641175,-10.728963729699936,-25.638923492371667,14.90995976267173,0.015,0.97128059808664,-16.511946684340618,-23.515453029534026,7.003506345193408,0.02,0.9877262283011127,-12.490500631779236,-26.50894004783355,14.018439416054315,0.005,0.9475136249188156,-27.904897420109606,-38.20314103757961,10.298243617470007
8.0,0.025,0.9872090389300864,-12.660785011714996,-35.97224423320387,23.31145922148887,0.015,0.9834260393341517,-17.369043767115244,-39.43898980582051,22.069946038705268,0.02,0.9912016739031593,-13.792897129154301,-30.15708587243695,16.36418874328265,0.005,0.9039054427746385,-30.32007539799237,-50.90248428055128,20.58240888255891
9.0,0.025,0.9908356509946545,-13.280162405753256,-29.019838914655985,15.739676508902729,0.015,0.9934888228905864,-19.230216145942684,-25.360110114183755,6.1298939682410705,0.0175,0.9940740801429837,-15.815464477388543,-17.42162237162106,1.6061578942325152,0.005,0.9015886053714608,-33.7758761762237,-69.55811060707097,35.782234430847275
10.0,0.0225,0.9952628388492433,-13.204674804527091,-24.052762174952594,10.848087370425503,0.01,0.995364155285269,-20.151482320515996,-23.46868805988036,3.317205739364365,0.0175,0.9943018779225337,-16.465076027663883,-23.973831653674544,7.508755626010661,0.005,0.9508208342293397,-34.073207571463435,-61.051438373678444,26.97823080221501
11.0,0.025,0.9836071757352737,-12.270029397732678,-49.96833191321875,37.69830251548607,0.015,0.9915735354146892,-18.83884219867732,-20.74155501600989,1.9027128173325707,0.015,0.9918605649800037,-17.138396506837356,-43.588091991661955,26.4496954848246,0.01,0.9728419605694375,-21.49646160390008,-37.514480074104476,16.018018470204396
12.0,0.0275,0.9747564520536363,-10.511996507130748,-14.256260337538144,3.7442638304073963,0.0125,0.9905469839275725,-19.400637783765504,-23.611395489513182,4.210757705747678,0.0225,0.9830442656793765,-13.450250358729773,-37.8122915545637,24.362041195833925,0.01,0.9233034718375188,-22.958046534417832,-37.63628408255704,14.678237548139208
13.0,0.0225,0.9727439353027522,-12.511764274030588,-25.022088558192507,12.51032428416192,0.01,0.9949872123557605,-20.046777873441997,-29.08545995496301,9.038682081521014,0.0175,0.9736876194838914,-16.05984941652183,-18.795602469077636,2.7357530525558076,0.01,0.8307435045965093,-24.303554332196814,-35.99966700963514,11.696112677438325
14.0,0.02,0.985627990599298,-14.129932716076134,-23.142685897550443,9.01275318147431,0.01,0.9968055020685714,-21.444878051058744,-41.689614188712596,20.244736137653852,0.015,0.9870161741241782,-17.270923057029787,-33.9544408601157,16.683517803085916,0.005,0.8259141689594987,-30.595000050967613,-67.43813937682066,36.843139325853045
