,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.9339572468284593,-64.73392668013777,-67.3864379856296,2.652511305491828,0.005,0.8715017167541045,-91.1171463344847,-99.58458482857324,8.46743849408854,0.005,-0.12783397412361983,-81.47459036373758,-87.94571355045342,6.471123186715843,0.005,0.5087009088658357,-78.01048384977821,-103.1438164509975,25.133332601219294
1.0,0.015,0.9991095649217889,-17.12398932374114,-18.02371295202025,0.8997236282791121,0.005,0.999922516957673,-31.02907167923137,-48.66974654277775,17.64067486354638,0.01,0.9996197657953778,-21.511705574507992,-25.703973308862142,4.19226773435415,0.0075,0.9940261006306704,-24.632644072017023,-41.64504418163334,17.012400109616316
2.0,0.0775,0.9893103520045152,-1.455954732343899,-12.602905347415,11.1469506150711,0.06,0.9990804025272232,-3.2787127764450155,-12.842943570293206,9.564230793848191,0.0375,0.9677948032383589,-8.53359861650686,-20.131358342609666,11.597759726102806,0.02,0.7309958394086115,-14.1030536117715,-33.86824111283367,19.765187501062172
3.0,0.0825,0.9024474611189003,-1.8192063970479733,-1.8192063970479733,0.0,0.0675,0.9898389697651894,-3.6774223960485757,-33.75976004851295,30.082337652464375,0.0225,0.3554949063073519,-13.077584521016554,-20.614052180866118,7.5364676598495635,0.0075,-0.6153286160379485,-25.391413843645235,-68.81706179921042,43.42564795556518
4.0,0.075,0.9128678073721863,-1.6965342185560668,-9.436252507342948,7.7397182887868805,0.0675,0.9970016644511559,-3.598532959688936,-9.498114033102112,5.899581073413176,0.02,0.09890347777654815,-13.741129321254185,-35.47759084199893,21.736461520744747,0.005,-0.2868338759833058,-28.735598744534727,-64.97507505595723,36.23947631142251
5.0,0.06,0.8521092705282959,-4.321904000024228,-14.865499482702074,10.543595482677846,0.0525,0.9970222096832686,-5.925780370034619,-8.027214212380601,2.1014338423459815,0.0175,0.04260794979286517,-15.899043124166766,-23.763141370780136,7.86409824661337,0.005,0.10603747925404969,-28.96694770873053,-48.35332065265021,19.38637294391968
6.0,0.0425,0.7490521260389091,-7.224172095848394,-9.505657969537419,2.2814858736890242,0.04,0.9970632434761864,-7.571504975960027,-9.758618758496725,2.1871137825366986,0.015,-0.026998011039873683,-17.379496826313673,-24.248075399178436,6.868578572864763,0.005,0.07485931133953187,-31.268994349209137,-54.28967287162331,23.020678522414173
7.0,0.0425,0.7849382360167928,-7.169539861268413,-11.23477109064325,4.065231229374836,0.035,0.9964802858527538,-9.340912773214534,-12.99649293455094,3.655580161336406,0.015,-0.026473895545318864,-18.580661763212806,-28.360546658781807,9.779884895569001,0.005,-0.03094039274111615,-31.8957025859104,-40.834324354924036,8.938621769013636
8.0,0.0425,0.7405452414541088,-7.818262133168813,-22.395482993795635,14.577220860626824,0.0375,0.9981373266392704,-8.594280028901437,-19.65000386530959,11.055723836408152,0.015,-0.15649509856614485,-17.136841353637337,-48.13169066807695,30.994849314439612,0.005,0.3110567078211814,-29.46006460890651,-42.37722025600427,12.917155647097761
9.0,0.045,0.7360476427227494,-6.703613145816867,-25.880713942347583,19.177100796530716,0.0375,0.9979456145972011,-8.776356231966004,-16.08406211785995,7.307705885893947,0.015,-0.07584365303146369,-17.370644701742112,-21.179154404480318,3.808509702738206,0.005,-0.020175255580236036,-30.690760079144482,-46.25131962030533,15.560559541160849
