,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,0.6102960018760913,-65.70002027162887,-71.22414851040786,5.524128238778985,0.005,0.9980390558800502,-78.20625007884409,-89.18641592794415,10.98016584910006,0.005,0.7230159534212195,-74.1383354841126,-97.11191603645796,22.973580552345354,0.005,0.6875123901276752,-74.08671018607669,-87.5066525297156,13.419942343638908
1.0,0.0475,0.9998143741896377,-4.515436281199711,-16.132085938230777,11.616649657031065,0.005,0.9999970902100304,-32.91039371550786,-32.91039371550786,0.0,0.035,0.9999363255942796,-8.605927739667845,-21.80971205318317,13.203784313515325,0.015,0.9993474173619279,-16.78550169929464,-26.834422739820823,10.048921040526182
2.0,0.0525,0.9795095680718288,-4.696976068456083,-28.036815677733795,23.33983960927771,0.01,0.9957406889596566,-22.827020997414344,-35.57951669876594,12.752495701351599,0.045,0.9801043174039816,-6.685410369989229,-12.924309143947713,6.238898773958485,0.035,0.9846625738718064,-10.272723140396522,-30.32285993822464,20.050136797828117
3.0,0.05,0.9805708879162804,-3.1263343722679373,-38.75916270244985,35.63282833018191,0.005,0.9944222624363191,-32.65121909476996,-44.94036164502732,12.289142550257367,0.0325,0.9819197667451588,-9.613651156564913,-41.12679873801838,31.513147581453467,0.0325,0.9741327138124476,-9.597455577911008,-57.50348216166082,47.906026583749814
4.0,0.0075,0.46140288580491984,-25.344627475392866,-39.75640068176758,14.411773206374715,0.005,0.9790899740464707,-34.98759632269988,-59.3009309897631,24.313334667063224,0.005,0.4617562569147758,-26.29108452215179,-46.2023086352709,19.91122411311911,0.005,0.2361269840558947,-40.854994712599336,-51.993701584654666,11.13870687205533
5.0,0.005,-0.15869684637514866,-31.679841285414255,-37.864718239868445,6.1848769544541895,0.005,0.8212973625257739,-46.312672802589304,-59.85472460188156,13.542051799292253,0.005,-0.1983447084980938,-31.690962063335725,-41.8877297553692,10.196767692033475,0.005,-0.0045529527546676295,-42.728392461032655,-54.185198934963864,11.45680647393121
6.0,0.0075,0.045497703384758864,-23.476351983633272,-41.12114894400974,17.644796960376468,0.005,0.7551430330761059,-48.5434716702449,-76.51352961677972,27.970057946534823,0.005,-0.2679057216587318,-34.16771118308015,-41.47366516870729,7.305953985627141,0.005,0.6203473838843349,-28.285927723637087,-50.051470237992824,21.765542514355737
7.0,0.065,0.98859748234386,-2.149969282540899,-20.927292716731948,18.77732343419105,0.005,0.9840957320285956,-32.70387684025525,-38.823493039314926,6.119616199059678,0.045,0.9884445463294507,-5.451851256288115,-10.912138471028804,5.460287214740689,0.0525,0.9916934470082358,-4.454674573161886,-41.81614213662779,37.3614675634659
8.0,0.0525,0.9876691850719324,-3.114185741920035,-55.34523815907035,52.231052417150316,0.005,0.9899772079031083,-33.61101415017583,-35.69539033995351,2.0843761897776787,0.0525,0.9892843173501729,-3.6674863552408175,-15.936624117089739,12.26913776184892,0.015,0.9406562841614802,-16.974295262241522,-22.821838119718784,5.847542857477261
9.0,0.055,0.9819600075800046,-3.458571241215079,-23.19230878149564,19.73373754028056,0.005,0.9948249475405484,-35.28293257676131,-39.47102725112236,4.1880946743610465,0.05,0.9821303167350733,-3.7999263272895885,-32.190981109320845,28.391054782031254,0.0225,0.9738603755275972,-12.765907590009576,-38.544894096030916,25.77898650602134
10.0,0.06,0.9850925504468884,-2.419965082670033,-25.751264606920884,23.331299524250852,0.005,0.9938667687502092,-35.456316772607245,-42.87865276850332,7.422335995896077,0.05,0.985721161738836,-3.7480987586421763,-19.048069319637904,15.299970560995728,0.02,0.9821183823702282,-14.706634133277658,-50.57161438432672,35.86498025104906
11.0,0.0525,0.9732149504064355,-3.765908451005729,-18.331000957916697,14.565092506910968,0.005,0.9933382255671886,-36.128371085451214,-36.17755092379158,0.04917983834036477,0.05,0.9728166991433299,-4.001653375079832,-16.995566999705872,12.993913624626039,0.0175,0.9794845365529807,-16.40322086605369,-35.72560559942446,19.32238473337077
12.0,0.06,0.9590230269387662,-3.1081177927491357,-30.618452432318502,27.510334639569365,0.01,0.9589785679811796,-23.122821085877455,-24.254935062625247,1.1321139767477923,0.0475,0.9635527185827462,-5.016182639628203,-17.39620088197756,12.380018242349356,0.0325,0.912260839533183,-9.383050630263272,-37.22209091044065,27.83904028017738
13.0,0.08,0.9720872690578627,-1.1009656548632036,-9.566048626543262,8.465082971680058,0.04,0.9916824848041664,-7.442694020867904,-24.094020128693884,16.65132610782598,0.05,0.9754036804593939,-5.0827459546599085,-16.233513744477968,11.150767789818058,0.0225,0.9021348158218521,-13.840058132975845,-38.028643696721225,24.18858556374538
14.0,0.08,0.9689645610635016,-1.493964689610649,-8.561890098113333,7.067925408502683,0.04,0.9979166171366141,-8.160146748433284,-12.44147980166243,4.281333053229146,0.055,0.9691147943464964,-4.582561670787949,-11.396122828784947,6.813561157996998,0.02,0.9730148848442676,-15.391864969360293,-49.08301133395134,33.69114636459105
15.0,0.0725,0.9744375640207127,-2.97344430704275,-21.847359533249737,18.873915226206986,0.0375,0.9987521900697774,-9.09397486992676,-13.396935923775654,4.302961053848895,0.05,0.9610193708607668,-5.991379913678569,-37.21072383923625,31.219343925557684,0.0275,0.9572765067437211,-11.37712656839454,-47.34232551740782,35.965198949013285
16.0,0.0325,0.8944935170114656,-8.374968666994299,-59.67942035834925,51.30445169135495,0.02,0.9709570078691878,-12.684513230831861,-21.886970505794707,9.202457274962846,0.0175,0.7273029886000185,-14.395455880854684,-79.40328645278656,65.00783057193188,0.0175,0.879782523647233,-16.297560891450797,-50.55672098531482,34.259160093864025
17.0,0.0325,0.9696115317715538,-10.335095532961244,-22.298238911355433,11.96314337839419,0.025,0.9775831123179437,-11.899958531882358,-16.75459272571774,4.8546341938353805,0.015,0.657598942531312,-19.12214359994374,-56.31251518216089,37.190371582217146,0.005,0.3685602904794727,-37.36687993344948,-52.2051058144573,14.838225881007816
18.0,0.08,0.9796653782448194,-2.0597877505951323,-8.294696967732726,6.234909217137593,0.0325,0.9859855382579744,-9.727808286299487,-41.3869183266391,31.659110040339613,0.06,0.984293343011979,-3.406649726681803,-6.557296370052217,3.1506466433704143,0.0475,0.9907596381790706,-5.9174739594190005,-29.58746054374362,23.66998658432462
19.0,0.0875,0.9921776114774555,-1.0859339993774995,-11.942100119948858,10.856166120571359,0.06,0.9979025219726293,-4.924030721962921,-23.99288822247856,19.068857500515637,0.0475,0.9836704033357622,-4.772805551096753,-12.019543087866731,7.246737536769978,0.02,0.980464151993822,-15.086457524429374,-23.28976852567287,8.203311001243495
20.0,0.05,0.9759886761299397,-4.136003295566668,-14.824500601815977,10.68849730624931,0.0125,0.990002927824161,-18.461303559656372,-28.478843729847704,10.017540170191332,0.045,0.9790361882021651,-5.264190864772802,-23.40106043795696,18.136869573184157,0.0175,0.9791014519452741,-14.35333547575478,-32.80132375791795,18.447988282163166
21.0,0.05,0.9793623691909231,-5.1142549641690405,-18.322256039344577,13.208001075175536,0.015,0.9966200728311171,-17.25348959598743,-19.386840479291372,2.133350883303944,0.04,0.9896921918743741,-5.736348313166806,-20.051407999804887,14.315059686638081,0.015,0.9723558199741722,-17.69395628063933,-33.02271603282679,15.328759752187462
22.0,0.05,0.9710095831270282,-4.538648663252875,-8.525738711895718,3.987090048642843,0.015,0.9969349374189838,-17.420846409238205,-26.61010295172135,9.189256542483143,0.04,0.9791304765539033,-6.1676378827506,-23.94389795313634,17.77626007038574,0.0175,0.976685254941004,-15.19395404607974,-18.27271446455454,3.0787604184747988
23.0,0.0675,0.9613611239431687,-3.0653831673437586,-29.13288896567622,26.067505798332462,0.0275,0.991146508378484,-10.560562901248405,-23.19831944183116,12.637756540582755,0.0525,0.9777061451984136,-5.056001104983455,-30.037547137197826,24.98154603221437,0.03,0.8447352635400432,-11.478949278792596,-45.37263895558895,33.89368967679635
24.0,0.075,0.9764217203968164,-2.6258745551327705,-18.051203313444663,15.425328758311892,0.045,0.9946871427426864,-6.8654567884458935,-15.028737145977972,8.163280357532079,0.0425,0.9569876805822631,-6.846273544917011,-30.264494555678823,23.418221010761812,0.02,0.9257095419765978,-15.852992714491204,-26.760726362384514,10.90773364789331
25.0,0.0625,0.9629441589454704,-3.201884231300226,-29.347935236882176,26.14605100558195,0.035,0.9956827487276682,-9.505641845848343,-30.24000540102794,20.7343635551796,0.0375,0.9459680703492318,-8.620490098246478,-18.309148682912717,9.68865858466624,0.015,0.9624239854595458,-17.250817824128028,-32.934276351190206,15.683458527062179
26.0,0.0625,0.973248863278902,-4.1646421151315085,-12.805457502900278,8.64081538776877,0.0375,0.9973854921419398,-8.780601296000349,-28.502675543059283,19.722074247058934,0.0375,0.9666054283927871,-8.284146911263115,-18.44332953517236,10.159182623909246,0.015,0.9622040221184812,-16.94057446553545,-59.429660289122516,42.48908582358706
27.0,0.06,0.94226551979033,-3.512023038441617,-8.020782651237619,4.508759612796002,0.0175,0.9488041963488113,-15.739155149901807,-33.00016927205992,17.261014122158116,0.0375,0.9464982701045623,-8.71459071726061,-27.466974794236133,18.752384076975524,0.02,0.9719506622711734,-15.560591048086325,-59.83862337877938,44.27803233069306
28.0,0.075,0.946272722733561,-1.7696694465928606,-15.584256721099782,13.814587274506922,0.03,0.9898103828965683,-10.693370607348049,-13.701372386920522,3.0080017795724725,0.0375,0.9398972762567664,-8.158453816267611,-14.638987828100534,6.480534011832923,0.0425,0.914375459141956,-7.516373794426821,-20.277169241808288,12.760795447381467
29.0,0.095,0.9343525084805008,0.0,-17.432052493200075,17.432052493200075,0.0525,0.9870035517455943,-4.735678779951172,-21.262819831971736,16.527141052020564,0.0475,0.8111694112023938,-6.555560868457306,-44.86983827585756,38.314277407400255,0.045,0.8836832543020862,-6.617589043897159,-34.32584603123776,27.7082569873406
30.0,0.0575,0.8542233206264861,-3.366303040993961,-10.975841015159201,7.6095379741652405,0.055,0.9926941533806444,-4.218235282844361,-19.024768344632108,14.806533061787746,0.04,0.7881452564120971,-7.91574619589843,-31.326687698827595,23.410941502929163,0.015,0.6311632212805415,-18.30526485165254,-37.20137863600239,18.896113784349847
31.0,0.0475,0.8571654225569593,-6.2130379353772565,-20.65724330865901,14.444205373281752,0.02,0.9800356659725673,-14.155788861022351,-16.02083001014136,1.8650411491190084,0.035,0.8057737267572068,-9.159110640454523,-9.989578780713952,0.8304681402594287,0.0125,0.6611103918114969,-19.314574034756458,-39.29337841551978,19.978804380763325
32.0,0.0475,0.8621735403019852,-6.529866848666387,-14.962912350128892,8.433045501462505,0.02,0.986895453472941,-14.56655940645468,-17.75318867366491,3.186629267210229,0.035,0.8385853791160177,-9.651618182394401,-14.970070022028032,5.3184518396336316,0.015,0.6625674571223936,-18.791256609150373,-49.37335183457751,30.58209522542714
33.0,0.05,0.8311467418820803,-5.997304815562062,-17.223542157240146,11.226237341678084,0.0175,0.9933894476522713,-16.124344423749523,-16.124344423749523,0.0,0.0325,0.7852075331301286,-10.051840820730648,-18.733171361748187,8.68133054101754,0.015,0.7407957578155852,-19.0855362302214,-33.67874048748685,14.593204257265448
34.0,0.04,0.7489615371827384,-8.308484097037107,-11.28419169270755,2.9757075956704426,0.0175,0.9826699661854459,-16.123164524592536,-25.482350299446004,9.359185774853469,0.0325,0.6906896094782439,-9.534018195317723,-19.1978009295129,9.663782734195179,0.015,0.6412182628740742,-19.205876844049868,-35.24271310898848,16.036836264938614
35.0,0.05,0.6912366983321877,-5.746640216457454,-31.558640858847422,25.812000642389968,0.0225,0.9543106079866669,-10.903227636682695,-24.774079747033223,13.870852110350528,0.0375,0.6188188031295361,-7.834469451051484,-9.33064359062289,1.4961741395714059,0.0125,0.5108724771172543,-19.754386222670956,-25.227713265633586,5.47332704296263
36.0,0.0475,0.6158211106105943,-6.836533545232728,-26.22659904607586,19.390065500843136,0.0175,0.9490117784207045,-15.85855681836219,-46.822640280450926,30.964083462088738,0.035,0.5378924210460085,-9.04130106285672,-18.88647715285351,9.845176089996789,0.01,0.1502514698186341,-20.421254440531026,-39.82290700040674,19.40165255987571
37.0,0.0375,0.5740027680868147,-8.700076806973382,-70.30899869919435,61.60892189222096,0.0175,0.9404352810666656,-15.575460627771491,-35.278294728446596,19.702834100675105,0.03,0.4841362860538457,-10.361317363251478,-27.682115950614765,17.320798587363285,0.01,0.0873769672852718,-21.507251809893077,-30.982126368657678,9.4748745587646
38.0,0.0325,0.44437677214621113,-9.636503274809154,-19.76929732799444,10.132794053185286,0.015,0.9198355485951838,-18.275974688970223,-19.807852700824927,1.5318780118547046,0.0275,0.2757462487688088,-10.851743791718603,-38.15672932780371,27.304985536085105,0.01,-0.15104314662432067,-22.553349198228183,-30.505020250409732,7.951671052181549
39.0,0.085,0.8784685721688674,-0.18566539825503628,-23.03299978961217,22.847334391357133,0.0175,0.9684902335366907,-14.405829570548082,-30.080778421105165,15.674948850557083,0.06,0.7720116387667062,-4.281639341171149,-15.147408692065369,10.865769350894219,0.0575,0.9364214661265898,-4.049519136198824,-26.899349786659453,22.84983065046063
40.0,0.0825,0.942554661122766,-1.7433864050508228,-25.623716211618568,23.880329806567744,0.0575,0.9968977175038805,-4.974725742060949,-18.269490637448754,13.294764895387805,0.0375,0.7193067076171689,-8.991213904762043,-21.86596857811269,12.874754673350646,0.0175,0.780696828366998,-16.304541668670357,-27.672570966636748,11.368029297966391
41.0,0.0425,0.5793985079448959,-7.405692352181258,-22.378037939451715,14.972345587270457,0.02,0.9755132250560996,-13.607150339006415,-37.06881822886304,23.46166788985662,0.035,0.43987664289955986,-9.850917800098118,-24.710123046742073,14.859205246643954,0.015,0.8480356793590298,-17.292937652372117,-40.35662661309288,23.06368896072076
42.0,0.0375,0.46714274650194776,-8.439864549222285,-23.374117607097382,14.934253057875097,0.0125,0.9753864146505573,-18.89841682892068,-27.793819625517422,8.895402796596741,0.0225,0.22243167839755948,-12.297158926996108,-23.88833453703111,11.591175610035002,0.0125,0.5977113187014612,-19.895704296026967,-54.569241693779475,34.67353739775251
43.0,0.0375,0.4559438700168843,-8.532815369968498,-11.959938860601087,3.4271234906325887,0.015,0.9711047393297353,-16.22816616803194,-27.4064040440891,11.17823787605716,0.025,0.2990561832407803,-11.133163940273242,-15.63716848071872,4.504004540445479,0.005,0.26650250609629905,-26.65120316102299,-37.79984799501635,11.148644833993359
44.0,0.0425,0.4270121460808088,-7.139939485417795,-28.72537377824186,21.585434292824065,0.0125,0.988130127503855,-17.85181377260946,-49.441256064433176,31.589442291823715,0.035,0.30474297870543954,-9.607761360197763,-17.366131901185685,7.758370540987922,0.02,0.5093918924680066,-15.82113980215363,-27.443434121541536,11.622294319387906
