,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.90066148129991,-63.46054508275023,-70.30899869919435,6.848453616444118,0.005,0.9963891575148204,-74.2529199563864,-81.72440072933968,7.471480772953271,0.005,0.9909814111234815,-70.97287075436496,-75.3810423127994,4.408171558434432,0.005,0.48656593202127096,-77.55474224651039,-98.83901342002241,21.284271173512025
1.0,0.005,0.9669450780637167,-33.41945518428073,-47.574587356066225,14.155132171785496,0.005,0.9355025259475319,-57.27005387710769,-74.4132033583667,17.14314948125901,0.005,0.9682536366390592,-32.77485474348273,-42.67858425958273,9.9037295161,0.005,0.007632727576544773,-59.54224026092524,-79.95599591629653,20.41375565537129
2.0,0.005,0.953418916765531,-34.51738445590585,-51.22414851040786,16.70676405450201,0.005,0.8015260240504961,-57.24517255336204,-78.15191478123761,20.90674222787557,0.005,0.9541454860445319,-34.54652586782775,-45.919230139978225,11.372704272150479,0.005,0.19559895773322353,-68.13702961188446,-83.71223670833623,15.575207096451777
3.0,0.005,0.9242261028112159,-35.37631472044278,-52.35645687338553,16.980142152942754,0.005,0.18341654608477115,-69.45693290668117,-78.82403586208524,9.367102955404064,0.005,0.9248846257633776,-35.480388423375246,-62.75133501220403,27.270946588828785,0.005,-0.00026049514288876995,-69.94913772991883,-83.01128420995396,13.062146480035125
4.0,0.005,0.9675082329343846,-34.63092711373966,-48.945281464271126,14.314354350531467,0.005,-0.08918678766062754,-71.19451618174112,-73.60743984882885,2.4129236670877248,0.005,0.9684349236114014,-34.600965820298846,-53.76162903702071,19.160663216721865,0.005,-0.007906391175291084,-69.21631213698255,-77.38973409309519,8.173421956112634
5.0,0.005,0.8860356577603543,-35.25267007542893,-47.44870269411245,12.196032618683518,0.005,-0.045950997642399544,-68.53346310819167,-84.77661780950851,16.24315470131684,0.005,0.8889950468744027,-35.17868770666486,-55.38136867230526,20.202680965640397,0.005,0.313366136463368,-64.71723408763458,-78.86465342575414,14.147419338119562
6.0,0.005,0.8041953583741004,-35.36076254146589,-44.779762615729474,9.419000074263586,0.005,-0.2292809609384749,-69.52097701593318,-79.37795671422126,9.856979698288072,0.005,0.803973828698582,-35.44083960620358,-46.72046314711001,11.279623540906428,0.005,0.27825555970675514,-62.24433574794065,-72.06934676381694,9.825011015876285
7.0,0.005,0.9367708193869536,-34.96588137755075,-39.552616797728874,4.5867354201781225,0.005,0.07855227346808201,-68.56000433944874,-86.12445255984571,17.56444822039697,0.005,0.9350128908381766,-35.236789634567465,-42.031535796766654,6.794746162199189,0.005,0.22196029404258794,-63.11743643024269,-79.27820395170853,16.160767521465843
8.0,0.005,0.9196262524722547,-35.790766053293396,-48.44056499594966,12.649798942656261,0.005,0.06365258420856489,-70.16079544482534,-88.60731395549749,18.44651851067215,0.005,0.9180723704461992,-35.37629930485602,-50.548149985197206,15.171850680341187,0.005,-0.27620226692133104,-60.763988383628785,-77.52889847688827,16.764910093259488
9.0,0.005,0.926483318970212,-39.42763781218884,-44.87216656846438,5.444528756275538,0.005,0.4009449820622922,-70.56376031784737,-75.03322521661462,4.4694648987672565,0.005,0.9312301092965708,-39.13053066680537,-46.467276463031986,7.336745796226616,0.005,-0.22770322252801886,-60.42486846391633,-79.61487311736329,19.190004653446955
10.0,0.005,0.7593760496563836,-37.782191351693506,-45.802813064677096,8.02062171298359,0.005,0.6544367561678412,-68.49442423756048,-83.14423044436758,14.6498062068071,0.005,0.7642794356610854,-38.97573396843198,-55.91874229557114,16.94300832713916,0.005,-0.2748769616711766,-60.03185107697422,-67.66394112919018,7.632090052215958
11.0,0.005,0.4723533528544885,-38.851566655184754,-49.96833191321875,11.116765258033993,0.005,0.21468122019436556,-74.25724660960647,-86.95017343874429,12.692926829137818,0.005,0.4807565887377803,-38.86784148776057,-55.71913292958294,16.85129144182237,0.005,-0.1178841168583852,-57.01229461747748,-61.88577956214216,4.873484944664682
12.0,0.005,0.7235380326862089,-39.80810255845745,-53.28383172481285,13.4757291663554,0.005,-0.15390935772128952,-72.79943929431985,-93.88127180873362,21.08183251441376,0.005,0.7367346740212937,-41.90412073631219,-59.66729950228873,17.76317876597654,0.005,-0.28681454235563064,-59.73620430362688,-76.80762948316013,17.07142517953325
13.0,0.005,0.5112198008446883,-44.87216656846438,-61.36583807234997,16.493671503885594,0.005,0.10976109529891336,-73.07020182000673,-82.90281699480866,9.83261517480193,0.005,0.5459170065448741,-44.240116204918785,-84.24533721403864,40.00522100911986,0.005,-0.1984122704995572,-56.183730216454805,-58.93985934562147,2.7561291291666663
