,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.085,0.962408151905723,-1.4412352706378229,-2.3474194856921247,0.9061842150543018,0.03,0.9985936502564619,-10.411539702936475,-10.411539702936475,0.0,0.07,0.9766175945942981,-2.4602473913208187,-16.324563258910597,13.864315867589779,0.0375,0.8840842318502805,-8.265772657867219,-28.27012456934844,20.004351911481223
2.0,0.085,0.9386008217221532,-0.25062877859527855,-13.190139774548037,12.939510995952759,0.0675,0.9889335444476766,-2.7195542355633755,-6.141596243719169,3.4220420081557936,0.0375,0.7020515208005779,-8.76561095194759,-24.33523124800916,15.569620296061569,0.02,0.5915634315684549,-14.427792074898,-46.60739989530459,32.17960782040659
3.0,0.0675,0.8663966459727362,-1.640963351412931,-20.192438022097633,18.5514746706847,0.0525,0.96485321047409,-4.468076037931949,-25.921533690771792,21.453457652839845,0.035,0.665140167828968,-9.934697420343062,-33.618571729856654,23.68387430951359,0.0225,0.7912183414146239,-12.577410962823832,-32.38082826931166,19.803417306487823
4.0,0.05,0.8478419304651046,-5.882279108517793,-22.185010225928103,16.30273111741031,0.025,0.937002962863809,-12.542118358988354,-13.976633704232938,1.4345153452445842,0.0225,0.7527832910939318,-13.947446339053327,-22.50885813782011,8.561411798766782,0.025,0.7851669280273671,-12.479618758516335,-53.112619938189205,40.633001179672874
5.0,0.035,0.7167851391261968,-8.566153111518203,-29.23974660068525,20.673593489167047,0.015,0.8722066969488455,-13.994535327476623,-25.264977635956505,11.270442308479883,0.0125,0.45222859247865066,-19.084238534987087,-24.947115420274173,5.862876885287086,0.025,0.7015519168826458,-13.192691683730411,-34.37240951986341,21.179717836133
6.0,0.04,0.7756403074972404,-8.348590975001006,-23.063119939909733,14.714528964908727,0.0125,0.9103999536635062,-16.796160655260188,-34.54056581053975,17.744405155279566,0.01,0.7402013046824782,-20.12362333146494,-30.401576577009873,10.277953245544932,0.03,0.7952681647379091,-11.60707035449061,-27.97133176144287,16.36426140695226
7.0,0.035,0.7816014867584427,-8.517961041465275,-21.73334846925527,13.215387427789993,0.01,0.7341062618726226,-22.174843139781114,-32.544839829208144,10.36999668942703,0.0175,0.8178493301083745,-16.18302826990878,-24.099481796750396,7.9164535268416145,0.0225,0.7378972236703084,-12.75850107472696,-18.294744163098088,5.536243088371128
8.0,0.0325,0.8188311521909671,-10.406829544299544,-19.137227037030367,8.730397492730823,0.005,0.8364793348002836,-26.340643797586655,-39.6427946957892,13.302150898202544,0.015,0.8724453189618745,-18.083420614691182,-36.75776365775526,18.67434304306408,0.0275,0.8077884881360385,-11.560928685022368,-31.15075345129462,19.58982476627225
9.0,0.0775,0.909114610134967,-1.2124062724285634,-7.674059797176781,6.461653524748218,0.0075,0.7313078575794614,-24.475463577457838,-37.65052792488505,13.17506434742721,0.0575,0.9315514705963683,-4.462223310833534,-10.043415325245185,5.581192014411651,0.05,0.8540696746603206,-4.263010443570842,-17.417953730093213,13.154943286522371
10.0,0.075,0.8503303894117393,-0.9781705702036676,-27.97684381942939,26.998673249225725,0.01,0.8402255467765771,-21.46957176251935,-27.828910649193478,6.359338886674127,0.0475,0.8804405678911799,-6.079108183970235,-27.104459119203945,21.02535093523371,0.055,0.8624426760338215,-4.842271719937096,-24.621311762193816,19.77904004225672
11.0,0.0325,0.8020399449313782,-8.853710278179348,-26.85694007499716,18.003229796817813,0.005,0.8926983532734046,-27.341459504273438,-29.98870623324565,2.6472467289722132,0.015,0.7064209334308068,-18.11472687726566,-25.731645735097967,7.616918857832307,0.025,0.8187371285542205,-10.037156094568454,-40.48651705140767,30.449360956839215
12.0,0.0125,0.8145557484426243,-18.963764852116867,-43.381939210181585,24.418174358064718,0.005,0.9171606770098271,-28.990823753921042,-32.25991332178336,3.2690895678623164,0.01,0.8528100086253566,-20.091235879120767,-40.78992052497693,20.69868464585616,0.01,0.7625331687980592,-21.757477442108296,-37.918884999499745,16.16140755739145
13.0,0.055,0.9650510932147125,-5.009810345383565,-18.392463157729892,13.382652812346327,0.0075,0.8147212827116226,-24.700260502732704,-36.680518605152486,11.980258102419782,0.0375,0.9616365587477357,-7.669598950475893,-26.729516151682855,19.05991720120696,0.02,0.9258451805660985,-14.248608307400474,-40.50282518811494,26.254216880714466
14.0,0.0875,0.9799263053156868,-0.9763907355665056,-16.62825794946396,15.651867213897455,0.0775,0.9982297841231417,-2.4306123147045122,-15.781659996292499,13.351047681587985,0.04,0.9064882543776831,-8.77801585193444,-9.915624575236418,1.1376087233019785,0.02,0.7966107809126715,-14.619489425172379,-43.926285178956626,29.306795753784247
15.0,0.0625,0.7488477079601296,-3.206484199440607,-14.03204361461727,10.825559415176663,0.06,0.8873894028061338,-3.4466043287801265,-25.02006002953506,21.573455700754934,0.035,0.5130535168710288,-8.904473719235988,-26.49935698611001,17.59488326687402,0.01,0.7148314125177826,-23.629743546008317,-28.929829424826092,5.300085878817775
16.0,0.03,0.820307411086323,-9.747338558837589,-34.545631276371005,24.798292717533414,0.0275,0.8970369547884365,-11.091687135729853,-62.47878798576386,51.387100850034,0.015,0.6024185663894857,-17.572760608658882,-33.327149024019896,15.754388415361014,0.005,0.7995036109384004,-26.474468026709474,-50.63247766117585,24.158009634466374
17.0,0.0225,0.8844128141867135,-13.94580097125065,-17.87716518201,3.93136421075935,0.015,0.8808460866477728,-16.8996243222064,-63.30637791169116,46.40675358948476,0.015,0.8553456265404703,-18.192674182597948,-26.482227938539108,8.28955375594116,0.005,0.7350752123156549,-35.29817443594228,-63.70462543492476,28.40645099898248
18.0,0.0175,0.8832406984566057,-15.738676603999021,-21.459403317905384,5.7207267139063624,0.0125,0.9161938261237342,-19.039493318562528,-46.675954221981684,27.636460903419156,0.015,0.8936353831428072,-18.783942951195513,-35.28621856142377,16.50227561022826,0.005,0.6540469284388201,-42.17248603694572,-53.924679011524994,11.752192974579273
19.0,0.015,0.7653325697788189,-16.497989468987186,-25.528016836390528,9.030027367403342,0.01,0.8688065304362548,-21.69129982741826,-22.381176762027675,0.6898769346094156,0.015,0.6511466463881864,-18.752076810365324,-53.5927441797385,34.84066736937318,0.005,0.7158797806185639,-44.604350053595425,-65.47426298560877,20.86991293201335
20.0,0.01,0.6558835698705064,-23.425084381765657,-23.46054508275023,0.03546070098457221,0.01,0.9507332575337225,-22.433198600752814,-49.75174268605309,27.318544085300278,0.005,0.13615371522817538,-27.83551368784613,-35.79207244827522,7.95655876042909,0.005,0.7191492178153478,-46.313330595229004,-65.6801606584034,19.36683006317439
21.0,0.035,0.8007022214975547,-8.728993653117369,-20.031334986972503,11.302341333855134,0.0075,0.8535144414462849,-25.663932200341783,-57.834251356753946,32.17031915641216,0.0125,0.48534010344422013,-17.456389083623986,-21.93491279947914,4.478523715855154,0.0375,0.9900584060468712,-8.862693921044764,-16.78033937809031,7.917645457045547
22.0,0.025,0.7440445449290881,-12.223345546281799,-27.670212794985865,15.446867248704066,0.005,0.7866014030177864,-26.26873084321234,-49.763977440986686,23.495246597774347,0.01,0.921509499052513,-21.69462959538917,-28.45818217181264,6.763552576423471,0.0225,0.6467856667143211,-13.387511835617193,-31.55947480185737,18.171962966240176
23.0,0.0125,0.854577278634776,-19.64372836362006,-31.548616749670153,11.904888386050093,0.005,0.7883089223704083,-31.242568000690078,-41.473074434812034,10.230506434121956,0.01,0.9332962044121564,-24.135660626674436,-38.05912400700714,13.923463380332706,0.0075,0.37551370251119975,-25.938439275207234,-39.48409252486079,13.545653249653558
24.0,0.01,0.7555612271610052,-24.402055732521998,-36.31224418184944,11.910188449327439,0.005,0.8789132887330252,-29.87805764994818,-41.27665847375789,11.398600823809712,0.005,0.7891768353539779,-27.83072052057861,-76.41680324413355,48.58608272355494,0.005,0.34114399788271804,-34.11778162661735,-52.07681186141996,17.95903023480261
25.0,0.0825,0.9396224250176489,-1.263454036667322,-12.02636844657648,10.762914409909158,0.005,0.8146323524579577,-32.84722669424649,-40.854232236514925,8.007005542268438,0.0475,0.9107493853673745,-5.895539239846301,-22.615426780701235,16.719887540854934,0.055,0.9388287014900227,-4.4286540016680025,-17.029661826627297,12.601007824959295
26.0,0.075,0.9101910578200835,-1.536569738286446,-23.425084381765657,21.888514643479212,0.01,0.9558520153167178,-22.448688336328892,-34.62539938476323,12.176711048434335,0.06,0.9318030810767091,-4.7422928691759045,-22.043997826227123,17.301704957051218,0.0525,0.8964361221863395,-5.308355223462496,-29.808558451602075,24.50020322813958
