,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.34498779971331683,-61.06103874121523,-66.78717351808073,5.726134776865507,0.005,0.5101854449757625,-91.41897123251266,-92.63624663780388,1.2172754052912182,0.005,-0.0685124623558653,-76.32418969681872,-96.82771130675061,20.503521609931894,0.005,-0.10698204797632013,-70.25465685277271,-84.72493682876964,14.470279975996931
1.0,0.005,0.43176951251970175,-61.06103874121523,-62.704773864962235,1.6437351237470068,0.005,0.7349655157007411,-82.54163534264192,-82.54163534264192,0.0,0.005,-0.051456239317282375,-76.68653178609365,-95.53741136109005,18.850879574996398,0.005,-0.03279987014666454,-68.75811054961092,-76.66971255087151,7.91160200126059
2.0,0.055,0.9941713446084436,-5.29328216545367,-11.233804864529784,5.940522699076114,0.0475,0.9980392429941741,-6.418431300207578,-7.423032454943468,1.00460115473589,0.01,0.8917974459630973,-22.67968026656731,-43.40364607179198,20.723965805224672,0.0075,0.8081500801626925,-25.960012204957103,-49.14821298606934,23.188200781112236
3.0,0.0225,0.9296522166957475,-10.699840853672356,-25.628782347450773,14.928941493778417,0.0375,0.9816751088911603,-7.414977922539892,-33.01054529908833,25.595567376548438,0.005,0.8140339374256463,-27.038428185974077,-39.80547336118244,12.767045175208366,0.005,0.5164027066211659,-38.056729828601576,-51.13309639009091,13.076366561489337
4.0,0.0125,0.9147434985339424,-16.554853106697976,-23.292413227535,6.737560120837024,0.0125,0.9082182161842088,-17.098666093844322,-33.54588966067398,16.447223566829656,0.005,0.9033426569450854,-31.241659858421368,-48.366006095071974,17.124346236650606,0.005,0.6300894202061003,-41.88647325448402,-52.318908484773274,10.432435230289258
5.0,0.0175,0.9710548136333481,-15.577881755941638,-23.745485470427905,8.167603714486267,0.015,0.9779173215269337,-16.227980534616645,-22.509435052951126,6.281454518334481,0.005,0.9073385897808228,-36.659041161761,-61.259689549882935,24.600648388121932,0.005,0.5655902550932397,-45.83181938800535,-73.3635716440055,27.531752256000154
6.0,0.0125,0.9690364671179618,-18.64956011709824,-29.560468740381882,10.910908623283643,0.0125,0.984501483103461,-18.79141446435263,-30.351469017141888,11.560054552789257,0.005,0.3028775677551107,-41.45724143104199,-51.3225212285721,9.865279797530107,0.005,0.36361635279532417,-51.60681849526802,-65.15076521885852,13.543946723590501
7.0,0.0075,0.9348776862870372,-22.079971856435606,-41.9098837293992,19.829911872963592,0.0075,0.9478071556135054,-22.919300687586098,-36.429019576212156,13.509718888626058,0.005,0.6002171982342308,-42.62947187617464,-55.29339622059599,12.663924344421346,0.005,0.4512405863174039,-54.32099083384522,-76.9439200417896,22.622929207944374
8.0,0.0075,0.9191366586312463,-25.098031246454767,-36.522821516721955,11.424790270267188,0.0075,0.9237137149968437,-24.72261945020457,-43.08543913039,18.36281968018543,0.005,0.6476556717597451,-43.41774915898888,-44.19434887051661,0.7765997115277301,0.005,0.362232513219229,-56.22993264622643,-65.8080876847105,9.57815503848407
9.0,0.005,0.8587766535050603,-30.378765256110782,-41.30401653280713,10.92525127669635,0.005,0.868182351556955,-32.41636627473514,-45.680830852336115,13.264464577600975,0.005,0.6072179842042169,-44.21530612776568,-62.3488559794245,18.13354985165882,0.005,0.23157395504544795,-58.24454491764377,-66.0518196427842,7.807274725140424
10.0,0.055,0.9939822070887616,-5.610558070630512,-15.27110493831941,9.660546867688899,0.045,0.997764583134844,-6.326837346019305,-10.027925050314774,3.7010877042954693,0.01,0.8371217632830071,-20.540353575571185,-33.19534991234167,12.654996336770484,0.01,0.7969860705760508,-24.467340866436366,-49.602563032027795,25.13522216559143
11.0,0.025,0.9392597755458129,-9.667911189600977,-21.62400965126485,11.956098461663872,0.0375,0.9898727678599823,-7.0545529631892805,-50.34681835408391,43.29226539089463,0.005,0.6048046218493203,-28.843575970662453,-53.22049731088021,24.37692134021776,0.005,0.7251982887985211,-26.94878130223835,-66.54356862615117,39.594787323912826
12.0,0.015,0.921266580552897,-16.79709757145943,-25.608535509289887,8.811437937830455,0.015,0.9171759667292682,-16.028042343641395,-20.800405073582397,4.772362729941001,0.005,0.2836685920106935,-34.19956003626928,-34.23295206663492,0.03339203036563987,0.005,0.629412112426476,-40.11940523022283,-98.91430368075717,58.79489845053434
13.0,0.0125,0.9297120736280793,-17.14495363145406,-20.836340161717537,3.6913865302634754,0.015,0.9551572539538928,-17.410733086887745,-33.019077975250816,15.60834488836307,0.005,0.2666027696504338,-33.406602005909946,-42.00454166855601,8.597939662646063,0.005,0.5248793045341621,-43.18566781246755,-72.87530786462688,29.689640052159326
14.0,0.01,0.9157554708813288,-20.7318993486211,-26.980396422328702,6.248497073707604,0.01,0.9479901995475443,-21.054658853959666,-31.7764444202231,10.721785566263435,0.005,0.7315998746865536,-33.57855384532376,-53.85804247445297,20.27948862912921,0.005,0.42186634786952626,-48.182380992897535,-61.109950536011084,12.927569543113549
15.0,0.01,0.9438392108014443,-21.59529594036176,-39.91243882367998,18.31714288331822,0.01,0.9610331615248944,-22.908748131180566,-23.984267969509002,1.075519838328436,0.005,0.7714606409964948,-33.635671904209175,-40.36753613694346,6.7318642327342815,0.005,0.3292598364175948,-52.38579295000633,-64.32943140875155,11.943638458745212
16.0,0.01,0.9477202582351122,-22.03294836380733,-40.708859840051346,18.675911476244018,0.01,0.9484530898270831,-23.124931606063658,-29.927640784053196,6.802709177989538,0.005,0.8716225359899155,-34.49487954487126,-36.95291450502458,2.45803496015332,0.005,0.4882661405931496,-55.035042850685905,-60.71663308910183,5.681590238415929
17.0,0.005,0.9288857097790229,-27.461209376817635,-31.399626996557963,3.938417619740328,0.005,0.9306821870450789,-29.186791759423624,-41.27301618422887,12.086224424805248,0.005,0.8771787699377736,-31.798771434077757,-49.113915319108784,17.315143885031027,0.005,0.7867619308192051,-36.11859076476336,-45.60157266651764,9.482981901754279
18.0,0.0575,0.9849588036104288,-4.786198992191513,-10.060691203945698,5.274492211754185,0.05,0.990714775815662,-5.971865762891991,-7.391586079366813,1.4197203164748222,0.015,0.7807049870732697,-18.549237786263674,-31.415909103148756,12.866671316885082,0.01,0.8190184756383132,-23.822623450824302,-44.463054559587746,20.640431108763444
19.0,0.035,0.9304230730930817,-8.636080145282666,-17.215843606203865,8.5797634609212,0.0425,0.9815769562612907,-6.573870979448926,-28.28357296933597,21.709701989887044,0.01,0.8633508411146857,-24.74141762802393,-36.48135090209171,11.73993327406778,0.005,0.7255790867299928,-35.97909802158557,-43.63464395724351,7.6555459356579405
20.0,0.02,0.8976478630453089,-14.925884884906381,-18.660912738813796,3.7350278539074147,0.02,0.9301493845516803,-15.091704470687326,-15.801263790451276,0.7095593197639509,0.005,0.8226440037286676,-30.2752343098868,-38.64296937210063,8.367735062213828,0.005,0.7218018022410903,-36.874905041453395,-76.3649294620991,39.4900244206457
21.0,0.0175,0.9504047273296645,-15.834960819369002,-27.117654834521954,11.282694015152952,0.0175,0.9701561871556136,-15.526321842881119,-24.229913846679626,8.703592003798507,0.005,0.8474056921626599,-30.85848136227968,-44.487994337810804,13.629512975531124,0.005,0.6381162063806006,-41.40976212726268,-57.089748740365636,15.679986613102955
22.0,0.01,0.9323194783315568,-20.84217941547565,-25.906836938393255,5.0646575229176065,0.0125,0.9767727641929542,-18.265818718428612,-26.66778857894503,8.401969860516417,0.005,0.6729081124053868,-32.74408084368972,-39.691989413409345,6.947908569719623,0.005,0.6000015770622591,-45.410242672403676,-61.10673504473604,15.696492372332365
23.0,0.015,0.9558114932422301,-18.21583925823694,-23.089561024675636,4.873721766438695,0.0125,0.9660009153144552,-19.876376978664222,-20.18912989237268,0.3127529137084579,0.005,0.7522766245229074,-33.77200055149515,-50.15118710163833,16.37918655014318,0.005,0.4648452505304944,-49.10261663525097,-57.96749005550577,8.864873420254803
24.0,0.015,0.9744937022622486,-18.57725260575926,-22.843400833644438,4.266148227885179,0.015,0.9740422371587882,-18.49365280419086,-22.75936599598829,4.265713191797431,0.005,0.8222027847406606,-34.01437596000569,-78.38269805359415,44.36832209358847,0.005,0.5305892629924637,-52.59653449883413,-109.45815648708685,56.86162198825272
25.0,0.01,0.9654371014881467,-20.392563631476243,-26.874469626129734,6.481905994653491,0.0125,0.9744999795974288,-19.81879184711295,-33.397017261666406,13.578225414553454,0.005,0.6623734657532915,-36.485221085778704,-46.062967311603025,9.57774622582432,0.005,0.538604110812689,-37.02849950011728,-49.441731383592185,12.413231883474907
26.0,0.065,0.974387989416202,-3.7120953889769908,-9.500116731940828,5.788021342963837,0.06,0.9867494874501256,-4.990602271159417,-6.920392656032415,1.929790384872998,0.0175,0.6200891328460442,-15.255534651066665,-37.09370127176507,21.838166620698406,0.015,0.8487284647410885,-19.097600482651337,-62.6046275468143,43.50702706416296
27.0,0.0325,0.9335333004171038,-9.044583987554468,-19.925569422761175,10.880985435206707,0.0425,0.9833263269188149,-6.922052146362857,-33.473913010782766,26.551860864419908,0.01,0.8236617566585219,-25.57890730594815,-51.215085229880934,25.636177923932784,0.005,0.6801222539671051,-34.28156391230007,-40.67672060439463,6.3951566920945595
28.0,0.025,0.9108042650608783,-12.44708537726979,-20.786864362390528,8.339778985120738,0.0225,0.957584106258455,-12.89203405744197,-26.209605876935136,13.317571819493166,0.005,0.8045454507417058,-29.11332808021877,-37.81712174999943,8.703793669780659,0.005,0.7206364759484859,-36.725430172439346,-50.803648818870755,14.07821864643141
29.0,0.015,0.8662412101274497,-17.69027631791053,-19.930827225366073,2.2405509074555425,0.0125,0.857842443663395,-19.597692332019633,-22.83937483570387,3.2416825036842383,0.005,0.8194236163301933,-30.826368707586965,-44.655432416101505,13.82906370851454,0.005,0.6609185390059631,-38.597406600924955,-54.715263576516975,16.11785697559202
30.0,0.0175,0.918787146264597,-15.929005941619991,-18.620112555890834,2.6911066142708435,0.015,0.941043847567067,-16.685827030339176,-27.696112869307683,11.010285838968507,0.005,0.7051645530146273,-30.43025583806446,-64.41572945940695,33.985473621342486,0.005,0.6497234020592765,-41.66981296251447,-60.77602386179816,19.10621089928369
31.0,0.015,0.91793229376023,-18.692779245975434,-22.222589354759744,3.529810108784311,0.0125,0.9287438891032762,-18.736128755482838,-54.43512146141658,35.69899270593374,0.005,0.6528920116214426,-33.49878499855835,-38.78301885533554,5.284233856777192,0.005,0.6544833898429994,-44.66241974313638,-51.061889085546206,6.399469342409823
