,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.961358318427874,-70.30899869919435,-72.24719895935547,1.9382002601611248,0.005,0.9751466484611722,-89.18982829877856,-97.31190543593719,8.122077137158627,0.005,0.15577174109838499,-84.94333774871552,-91.9265075914376,6.983169842722077,0.005,-0.07054143422815762,-88.67578335614935,-101.09442868200135,12.418645325851998
1.0,0.0025,0.5069677050527742,-65.70002027162887,-66.22659904607586,0.526578774446989,0.005,0.8370248583925315,-93.76611871347293,-99.30568254644263,5.539563832969691,0.005,0.577631144672928,-77.56741843189681,-83.23961040625841,5.672191974361596,0.005,-0.16645652340822897,-82.84291729170832,-96.43139396796346,13.58847667625514
2.0,0.0025,0.2293850855479411,-65.70002027162887,-69.48114499602985,3.781124724400982,0.005,0.8106505338381842,-93.92172340628876,-111.68380792903272,17.76208452274396,0.005,0.3384039239234176,-77.63371343674945,-133.97940008672037,56.34568664997093,0.005,-0.022507035463420786,-82.72157469848388,-89.67667027469359,6.955095576209715
3.0,0.0025,0.08097029138998109,-65.70002027162887,-69.48114499602985,3.781124724400982,0.005,0.24205719639582982,-99.89427801878186,-114.1040895839777,14.209811565195835,0.005,0.19357034597837186,-77.15496813551118,-86.04120782917077,8.88623969365959,0.005,-0.15550968036879043,-83.01947747351784,-97.91577201154303,14.896294538025188
4.0,0.0325,-0.04063057960175629,-9.502491115199879,-17.067069790835887,7.5645786756360085,0.005,0.06927975640323798,-28.56037841011382,-30.908861709179266,2.348483299065446,0.0225,-0.0992073544561812,-13.159637699193507,-31.53832944045472,18.378691741261214,0.01,-0.36504978846157216,-20.27189693246533,-35.601279487843385,15.329382555378054
5.0,0.0275,-0.07645224033949302,-11.199092115511817,-37.782191351693506,26.58309923618169,0.0075,0.2270147782599134,-25.899352220522708,-39.641021929192554,13.741669708669846,0.025,0.016447481983563352,-13.959431865983218,-30.55788676970706,16.59845490372384,0.0125,-0.4268381146883382,-18.977048558845553,-36.66918813276177,17.692139573916215
6.0,0.02,0.07013572858059984,-14.514564819575922,-28.768912163327354,14.254347343751432,0.005,-0.07041174942272907,-34.211095655183954,-41.867740889037336,7.656645233853382,0.015,0.25696849043456066,-16.677379481588044,-24.973089443638194,8.29570996205015,0.01,-0.4469524447128348,-21.003135298401865,-35.553725613073446,14.550590314671581
7.0,0.0175,0.07073627991476816,-14.347040057944637,-30.36127101124809,16.014230953303453,0.005,-0.5214267358870172,-35.4373968082739,-41.535090999985265,6.097694191711362,0.015,0.15551558638034038,-17.32776353100744,-35.93732714632936,18.609563615321917,0.01,-0.40061788661603465,-22.445864943807038,-43.997097511424464,21.551232567617426
8.0,0.0175,0.09301142456322804,-14.3733504651682,-20.82758863489348,6.454238169725281,0.005,-0.7606539698943625,-33.36179064752895,-47.79885352568195,14.437062878153,0.015,0.19247594170733787,-17.697675239413073,-44.9458296793678,27.248154439954725,0.01,-0.4133155959247771,-24.79701064531301,-33.31441610505883,8.517405459745824
9.0,0.0175,0.2102831614715126,-15.83660198888509,-23.786379564978468,7.949777576093378,0.005,-0.8627139062580913,-35.898181612031486,-47.00812368352116,11.109942071489677,0.015,0.3197038232007991,-18.07658660345667,-32.90810304075424,14.831516437297573,0.0075,-0.40775858103830864,-25.768614619103047,-41.34872113984588,15.58010652074283
10.0,0.0125,0.013997795099870298,-18.18782371098807,-29.79469102116754,11.60686731017947,0.005,-0.9245875499929778,-35.91389286121611,-53.250127123794,17.33623426257789,0.0125,0.09741414365950075,-19.88549612373407,-28.325661976275313,8.440165852541242,0.005,-0.32616330054590764,-28.18168803995099,-37.31013133815618,9.128443298205191
11.0,0.0125,-0.10022276424235567,-18.322256039344577,-26.134798301066336,7.8125422617217595,0.005,-0.9464972750209548,-35.970745296370424,-43.060598028963824,7.0898527325934,0.0125,-0.03714352228666805,-19.304111179101948,-40.3795254042231,21.075414225121154,0.005,-0.4125192142477536,-28.67691357901763,-36.30639797239915,7.629484393381517
12.0,0.0125,-0.09121011259329194,-18.08515748182567,-48.164799306236986,30.079641824411315,0.005,-0.9732518680297196,-36.753828529048235,-39.55896659968383,2.805138070635593,0.01,-0.02212538075620068,-20.06931688831908,-32.879699705587704,12.810382817268625,0.005,-0.4610078090781611,-28.497226923423757,-43.43452881555213,14.937301892128371
13.0,0.01,-0.1159980271469057,-20.04464669783558,-50.136995263955995,30.092348566120414,0.005,-0.9743120198160863,-37.637615421155736,-39.22221227749586,1.5845968563401271,0.01,-0.0936561762066536,-20.390970029110463,-33.17946734657926,12.788497317468796,0.005,-0.38258232051019214,-31.223175100939322,-42.39234388292756,11.16916878198824
14.0,0.01,-0.270549330673964,-20.411998265592473,-36.15759517723562,15.745596911643148,0.005,-0.9680572605958584,-38.04007349345778,-41.382923905730976,3.3428504122731937,0.01,-0.202707311817211,-21.751377549849305,-26.067076837828267,4.315699287978962,0.005,-0.48055258818589525,-32.09335339146284,-40.506042915197895,8.412689523735054
15.0,0.01,-0.36672997057169326,-21.681723416014613,-40.17889805109691,18.497174635082295,0.005,-0.965886840770723,-38.61729586308324,-58.982605126726654,20.36530926364341,0.01,-0.35822028341783924,-22.63387801284521,-34.79211652600694,12.158238513161734,0.005,-0.3955027303351809,-34.04893193947906,-37.7477607045665,3.698828765087441
16.0,0.01,-0.39574281735647904,-20.671550492981087,-26.270137431161352,5.598586938180265,0.005,-0.9609791815209134,-38.85923773328243,-44.94063816069467,6.081400427412241,0.01,-0.34848611918029204,-21.37830549531388,-22.413889937076096,1.0355844417622144,0.005,-0.3760956759443976,-34.3181035284854,-51.16090963246591,16.842806103980507
17.0,0.01,-0.34530186173474114,-20.807202631414224,-27.184074891247466,6.376872259833242,0.005,-0.9599220325095671,-39.5154250214883,-40.97377466933147,1.4583496478431712,0.01,-0.3464491764993678,-20.414935668000584,-35.31807617189633,14.903140503895745,0.005,-0.4247373455824988,-36.457291306365185,-81.3480712831646,44.890779976799415
18.0,0.0125,-0.2941428857499782,-19.98093573024629,-23.346797329589602,3.3658615993433116,0.005,-0.953894203193624,-39.65693709873081,-41.14077239939893,1.4838353006681189,0.01,-0.2386274006039169,-20.721886427771878,-23.26922493825912,2.5473385104872435,0.005,-0.5876085571934734,-36.82178221817484,-52.29773975292055,15.47595753474571
19.0,0.025,-0.40956691027991204,-11.301701611671895,-22.458576900555713,11.156875288883818,0.005,-0.581602005885851,-34.55319272318076,-39.90219158845709,5.348998865276336,0.0225,-0.4239587568538972,-12.898331124302402,-25.058381369877196,12.160050245574794,0.005,-0.39600951132833156,-31.811634547408914,-52.74588292227545,20.934248374866534
