,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.03806590923719853,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.7091575049379032,-103.04876887862059,-106.2612806473207,3.212511768700111,0.005,0.2011389915109602,-95.72403747767828,-124.64014297588488,28.916105498206605,0.005,-0.033532403841685196,-88.70398369468657,-104.82764697432387,16.1236632796373
1.0,0.005,0.9106411802881281,-51.619029674323,-64.28839878591474,12.669369111591735,0.005,0.9535551521207194,-65.33541956894534,-65.45352816327161,0.11810859432627296,0.005,0.9894070725835679,-52.30025574968646,-61.09772340247115,8.797467652784697,0.005,0.6264722350520855,-57.95293359013559,-65.1322998360553,7.179366245919702
2.0,0.08,0.9710581758365698,-1.6820451215883843,-1.7836545564022326,0.10160943481384832,0.025,0.998333334506537,-9.567276884884382,-11.926384446334806,2.3591075614504238,0.025,0.8459042158217278,-11.244030234428353,-17.87345998742293,6.629429752994577,0.0175,0.8249288379274095,-15.89291751318913,-28.20611776746897,12.313200254279842
3.0,0.085,0.9240090932950138,-1.3624264286640169,-14.064104763186974,12.701678334522956,0.0725,0.9953122729162833,-2.968012563619692,-16.584630143147777,13.616617579528086,0.0325,0.38546608527569143,-10.424691952410932,-18.31974340525924,7.895051452848307,0.02,0.42654160452952294,-13.632968136480027,-47.24055794792345,33.60758981144342
4.0,0.045,0.7853873721960126,-6.555200828690678,-66.22659904607586,59.67139821738518,0.0275,0.9968859631396498,-10.748976144478386,-20.5579594608172,9.808983316338816,0.0225,0.19539874158001255,-12.872376808150106,-34.93218817229816,22.059811364148054,0.005,0.5312434873612654,-26.702185461539187,-59.16071782677722,32.458532365238035
5.0,0.0225,0.4962039568127383,-12.993894217765325,-28.75437510614651,15.760480888381187,0.0125,0.9936722699151713,-18.738643245190605,-32.07288536739045,13.334242122199843,0.0175,0.2633380892711648,-16.080108780709118,-20.011965980358237,3.9318571996491194,0.005,0.8228165458374928,-26.842956358082457,-50.75387671485079,23.910920356768333
6.0,0.015,0.40750734237177383,-16.78976770635097,-22.73740717687886,5.947639470527893,0.005,0.9782684008650465,-30.316917496373268,-75.46763921450142,45.15072171812815,0.015,0.38741049632464897,-18.791606753167486,-22.979538787647048,4.187932034479562,0.005,0.8878444892891726,-29.371954543486268,-35.842905028626234,6.470950485139966
7.0,0.0375,0.46826654644191096,-7.964898977338701,-13.39835634932285,5.433457371984148,0.005,0.9514030732311822,-36.25342644358925,-37.57078437124402,1.3173579276547684,0.0275,0.4178290597499879,-11.879661072644183,-29.585348254913516,17.705687182269333,0.02,0.6123158411423664,-14.595289341787268,-23.606175472134034,9.010886130346766
8.0,0.0375,0.5116527017976203,-8.703686152397463,-58.053321564799646,49.34963541240218,0.005,0.8633728721162672,-33.333604444350684,-40.82093087895508,7.487326434604398,0.0375,0.5051109479351251,-8.578130986648498,-13.677425536105982,5.099294549457484,0.0125,0.5778465312070861,-19.515559487549027,-55.30402118777804,35.788461700229014
9.0,0.0225,0.3648632918405387,-12.064557568546048,-17.41825754362621,5.353699975080163,0.005,0.5836335592748286,-37.826976446462304,-72.58797507394549,34.76099862748318,0.025,0.3930042933889195,-10.63829775269012,-34.81768330636103,24.17938555367091,0.005,0.3674517790395157,-33.291529470876924,-41.7792220847059,8.487692613828976
10.0,0.02,0.36981401992590923,-14.212585124771111,-22.93582445134982,8.723239326578708,0.005,0.6076947504863927,-40.00493187564723,-45.0874881012986,5.082556225651366,0.0225,0.3617915400440101,-13.935241181629813,-19.880224419717948,5.944983238088135,0.005,0.24613219363658878,-33.47003860568973,-36.14454208168902,2.6745034759992876
11.0,0.0175,0.4636784870061299,-16.212266574966282,-39.9387199016366,23.72645332667032,0.005,0.6049972022270113,-43.47689634724717,-73.0485462829241,29.571649935676923,0.0175,0.4396869176488374,-16.039317832336753,-22.639065059228468,6.599747226891715,0.005,0.2593092461279067,-33.73180642415737,-43.79575154546468,10.063945121307313
12.0,0.065,0.9694484306410264,-2.5051387986160947,-18.394666300325866,15.889527501709772,0.0325,0.9987567762049439,-10.41424731128428,-10.90242594832305,0.48817863703876974,0.0375,0.9075193993353595,-8.14870531034218,-26.603639726061566,18.454934415719386,0.0375,0.9314664696184722,-6.84728565520519,-38.66812911559918,31.820843460393988
